#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
157,2021-08-18T15:00:00Z,3.89,15.96,AAE,Utopia Slough
158,2021-08-18T15:15:00Z,2.97,15.3,AAE,Utopia Slough
159,2021-08-18T15:30:00Z,2.76,15.14,AAE,Utopia Slough
160,2021-08-18T15:45:00Z,2.78,15.18,AAE,Utopia Slough
161,2021-08-18T16:00:00Z,2.78,15.18,AAE,Utopia Slough
162,2021-08-18T16:15:00Z,2.76,15.2,AAE,Utopia Slough
163,2021-08-18T16:30:00Z,2.69,15.2,AAE,Utopia Slough
164,2021-08-18T16:45:00Z,2.73,15.2,AAE,Utopia Slough
165,2021-08-18T17:00:00Z,2.65,15.22,AAE,Utopia Slough
166,2021-08-18T17:15:00Z,2.57,15.22,AAE,Utopia Slough
167,2021-08-18T17:30:00Z,2.46,15.24,AAE,Utopia Slough
168,2021-08-18T17:45:00Z,2.46,15.22,AAE,Utopia Slough
169,2021-08-18T18:00:00Z,2.41,15.22,AAE,Utopia Slough
170,2021-08-18T18:15:00Z,2.34,15.24,AAE,Utopia Slough
171,2021-08-18T18:30:00Z,2.32,15.26,AAE,Utopia Slough
172,2021-08-18T18:45:00Z,2.28,15.28,AAE,Utopia Slough
173,2021-08-18T19:00:00Z,2.26,15.34,AAE,Utopia Slough
174,2021-08-18T19:15:00Z,2.15,15.36,AAE,Utopia Slough
175,2021-08-18T19:30:00Z,2.08,15.36,AAE,Utopia Slough
176,2021-08-18T19:45:00Z,1.98,15.34,AAE,Utopia Slough
177,2021-08-18T20:00:00Z,1.89,15.36,AAE,Utopia Slough
178,2021-08-18T20:15:00Z,1.87,15.34,AAE,Utopia Slough
179,2021-08-18T20:30:00Z,1.93,15.34,AAE,Utopia Slough
180,2021-08-18T20:45:00Z,1.97,15.32,AAE,Utopia Slough
181,2021-08-18T21:00:00Z,2.07,15.34,AAE,Utopia Slough
182,2021-08-18T21:15:00Z,2.13,15.38,AAE,Utopia Slough
183,2021-08-18T21:30:00Z,2.16,15.4,AAE,Utopia Slough
184,2021-08-18T21:45:00Z,2.13,15.4,AAE,Utopia Slough
185,2021-08-18T22:00:00Z,2.1,15.38,AAE,Utopia Slough
186,2021-08-18T22:15:00Z,1.96,15.36,AAE,Utopia Slough
187,2021-08-18T22:30:00Z,1.87,15.36,AAE,Utopia Slough
188,2021-08-18T22:45:00Z,1.72,15.34,AAE,Utopia Slough
189,2021-08-18T23:00:00Z,1.59,15.36,AAE,Utopia Slough
190,2021-08-18T23:15:00Z,1.38,15.34,AAE,Utopia Slough
191,2021-08-18T23:30:00Z,1.39,15.32,AAE,Utopia Slough
192,2021-08-18T23:45:00Z,1.45,15.34,AAE,Utopia Slough
193,2021-08-19T00:00:00Z,1.4,15.34,AAE,Utopia Slough
194,2021-08-19T00:15:00Z,1.24,15.3,AAE,Utopia Slough
195,2021-08-19T00:30:00Z,1.23,15.36,AAE,Utopia Slough
196,2021-08-19T00:45:00Z,1.22,15.36,AAE,Utopia Slough
197,2021-08-19T01:00:00Z,1.15,15.36,AAE,Utopia Slough
198,2021-08-19T01:15:00Z,1.08,15.36,AAE,Utopia Slough
199,2021-08-19T01:30:00Z,1.06,15.38,AAE,Utopia Slough
200,2021-08-19T01:45:00Z,0.92,15.36,AAE,Utopia Slough
201,2021-08-19T02:00:00Z,0.9,15.34,AAE,Utopia Slough
202,2021-08-19T02:15:00Z,1.02,15.34,AAE,Utopia Slough
203,2021-08-19T02:30:00Z,1.23,15.34,AAE,Utopia Slough
204,2021-08-19T02:45:00Z,1.21,15.34,AAE,Utopia Slough
205,2021-08-19T03:00:00Z,1.22,15.34,AAE,Utopia Slough
206,2021-08-19T03:15:00Z,1.2,15.38,AAE,Utopia Slough
207,2021-08-19T03:30:00Z,1.1,15.32,AAE,Utopia Slough
208,2021-08-19T03:45:00Z,1.07,15.32,AAE,Utopia Slough
209,2021-08-19T04:00:00Z,1.03,15.3,AAE,Utopia Slough
210,2021-08-19T04:15:00Z,1.01,15.34,AAE,Utopia Slough
211,2021-08-19T04:30:00Z,1.16,15.38,AAE,Utopia Slough
212,2021-08-19T04:45:00Z,0.97,15.32,AAE,Utopia Slough
213,2021-08-19T05:00:00Z,1.3,15.26,AAE,Utopia Slough
214,2021-08-19T05:15:00Z,3.2,15.24,AAE,Utopia Slough
215,2021-08-19T05:30:00Z,3.06,15.28,AAE,Utopia Slough
216,2021-08-19T05:45:00Z,3.17,15.28,AAE,Utopia Slough
217,2021-08-19T06:00:00Z,3.08,15.26,AAE,Utopia Slough
218,2021-08-19T06:15:00Z,2.86,15.24,AAE,Utopia Slough
219,2021-08-19T06:30:00Z,2.63,15.2,AAE,Utopia Slough
