#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
1,2021-06-08T00:00:00Z,7.45,10.1,AA,James Brown Slough
2,2021-06-08T00:15:00Z,7.18,10.06,AA,James Brown Slough
3,2021-06-08T00:30:00Z,7.18,10.08,AA,James Brown Slough
4,2021-06-08T00:45:00Z,7.22,10.08,AA,James Brown Slough
5,2021-06-08T01:00:00Z,7.26,10.04,AA,James Brown Slough
6,2021-06-08T01:15:00Z,7.16,10,AA,James Brown Slough
7,2021-06-08T01:30:00Z,6.97,9.96,AA,James Brown Slough
8,2021-06-08T01:45:00Z,7.15,9.94,AA,James Brown Slough
9,2021-06-08T02:00:00Z,7.23,9.94,AA,James Brown Slough
10,2021-06-08T02:15:00Z,7.22,9.94,AA,James Brown Slough
11,2021-06-08T02:30:00Z,7.14,9.92,AA,James Brown Slough
12,2021-06-08T02:45:00Z,7.18,9.92,AA,James Brown Slough
13,2021-06-08T03:00:00Z,7.24,9.9,AA,James Brown Slough
14,2021-06-08T03:15:00Z,7.3,9.92,AA,James Brown Slough
15,2021-06-08T03:30:00Z,7.34,9.92,AA,James Brown Slough
16,2021-06-08T03:45:00Z,7.4,9.9,AA,James Brown Slough
17,2021-06-08T04:00:00Z,7.5,9.88,AA,James Brown Slough
18,2021-06-08T04:15:00Z,7.63,9.86,AA,James Brown Slough
19,2021-06-08T04:30:00Z,7.66,9.88,AA,James Brown Slough
20,2021-06-08T04:45:00Z,7.11,9.84,AA,James Brown Slough
21,2021-06-08T05:00:00Z,6.99,9.84,AA,James Brown Slough
22,2021-06-08T05:15:00Z,7.02,9.84,AA,James Brown Slough
23,2021-06-08T05:30:00Z,6.84,9.82,AA,James Brown Slough
24,2021-06-08T05:45:00Z,6.89,9.82,AA,James Brown Slough
25,2021-06-08T06:00:00Z,7.01,9.8,AA,James Brown Slough
26,2021-06-08T06:15:00Z,7.06,9.84,AA,James Brown Slough
27,2021-06-08T06:30:00Z,7.04,9.82,AA,James Brown Slough
28,2021-06-08T06:45:00Z,7.02,9.8,AA,James Brown Slough
29,2021-06-08T07:00:00Z,6.85,9.78,AA,James Brown Slough
30,2021-06-08T07:15:00Z,6.82,9.8,AA,James Brown Slough
31,2021-06-08T07:30:00Z,6.71,9.78,AA,James Brown Slough
32,2021-06-08T07:45:00Z,6.6,9.74,AA,James Brown Slough
33,2021-06-08T08:00:00Z,6.67,9.72,AA,James Brown Slough
34,2021-06-08T08:15:00Z,6.66,9.74,AA,James Brown Slough
35,2021-06-08T08:30:00Z,6.7,9.76,AA,James Brown Slough
36,2021-06-08T08:45:00Z,6.66,9.76,AA,James Brown Slough
37,2021-06-08T09:00:00Z,6.61,9.76,AA,James Brown Slough
38,2021-06-08T09:15:00Z,6.61,9.76,AA,James Brown Slough
39,2021-06-08T09:30:00Z,6.63,9.76,AA,James Brown Slough
40,2021-06-08T09:45:00Z,6.66,9.76,AA,James Brown Slough
41,2021-06-08T10:00:00Z,6.7,9.76,AA,James Brown Slough
42,2021-06-08T10:15:00Z,6.72,9.76,AA,James Brown Slough
43,2021-06-08T10:30:00Z,6.76,9.78,AA,James Brown Slough
44,2021-06-08T10:45:00Z,6.78,9.8,AA,James Brown Slough
45,2021-06-08T11:00:00Z,6.62,9.8,AA,James Brown Slough
46,2021-06-08T11:15:00Z,6.56,9.8,AA,James Brown Slough
47,2021-06-08T11:30:00Z,6.48,9.82,AA,James Brown Slough
48,2021-06-08T11:45:00Z,6.37,9.84,AA,James Brown Slough
49,2021-06-08T12:00:00Z,6.32,9.82,AA,James Brown Slough
50,2021-06-08T12:15:00Z,6.31,9.9,AA,James Brown Slough
51,2021-06-08T12:30:00Z,6.49,9.92,AA,James Brown Slough
52,2021-06-08T12:45:00Z,6.41,10,AA,James Brown Slough
53,2021-06-08T13:00:00Z,6.54,10.1,AA,James Brown Slough
54,2021-06-08T13:15:00Z,6.75,10.18,AA,James Brown Slough
55,2021-06-08T13:30:00Z,6.83,10.28,AA,James Brown Slough
56,2021-06-08T13:45:00Z,6.93,10.34,AA,James Brown Slough
57,2021-06-08T14:00:00Z,7.01,10.54,AA,James Brown Slough
58,2021-06-08T14:15:00Z,6.96,10.6,AA,James Brown Slough
59,2021-06-08T14:30:00Z,6.83,10.44,AA,James Brown Slough
60,2021-06-08T14:45:00Z,6.78,10.28,AA,James Brown Slough
61,2021-06-08T15:00:00Z,6.8,10.26,AA,James Brown Slough
62,2021-06-08T15:15:00Z,6.9,10.26,AA,James Brown Slough
63,2021-06-08T15:30:00Z,6.86,10.26,AA,James Brown Slough
64,2021-06-08T15:45:00Z,6.74,10.28,AA,James Brown Slough
65,2021-06-08T16:00:00Z,6.83,10.28,AA,James Brown Slough
66,2021-06-08T16:15:00Z,6.84,10.24,AA,James Brown Slough
67,2021-06-08T16:30:00Z,6.88,10.22,AA,James Brown Slough
68,2021-06-08T16:45:00Z,6.88,10.18,AA,James Brown Slough
69,2021-06-08T17:00:00Z,7.01,10.14,AA,James Brown Slough
70,2021-06-08T17:15:00Z,6.9,10.14,AA,James Brown Slough
71,2021-06-08T17:30:00Z,6.84,10.16,AA,James Brown Slough
72,2021-06-08T17:45:00Z,6.82,10.2,AA,James Brown Slough
73,2021-06-08T18:00:00Z,6.79,10.2,AA,James Brown Slough
74,2021-06-08T18:15:00Z,6.79,10.18,AA,James Brown Slough
75,2021-06-08T18:30:00Z,6.79,10.18,AA,James Brown Slough
76,2021-06-08T18:45:00Z,6.77,10.22,AA,James Brown Slough
77,2021-06-08T19:00:00Z,6.74,10.24,AA,James Brown Slough
78,2021-06-08T19:15:00Z,6.74,10.24,AA,James Brown Slough
79,2021-06-08T19:30:00Z,6.6,10.22,AA,James Brown Slough
80,2021-06-08T19:45:00Z,6.57,10.18,AA,James Brown Slough
81,2021-06-08T20:00:00Z,6.57,10.18,AA,James Brown Slough
82,2021-06-08T20:15:00Z,6.58,10.16,AA,James Brown Slough
83,2021-06-08T20:30:00Z,6.59,10.18,AA,James Brown Slough
