#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
19,2021-07-12T15:30:00Z,3.06,19.38,AQ,Floral Lane Slough
20,2021-07-12T15:45:00Z,3.2,18.9,AQ,Floral Lane Slough
21,2021-07-12T16:00:00Z,3.09,18.82,AQ,Floral Lane Slough
22,2021-07-12T16:15:00Z,3.04,19.08,AQ,Floral Lane Slough
23,2021-07-12T16:30:00Z,2.93,19.02,AQ,Floral Lane Slough
24,2021-07-12T16:45:00Z,3,18.98,AQ,Floral Lane Slough
25,2021-07-12T17:00:00Z,3,19.02,AQ,Floral Lane Slough
26,2021-07-12T17:15:00Z,3,19.04,AQ,Floral Lane Slough
27,2021-07-12T17:30:00Z,3.03,19.06,AQ,Floral Lane Slough
28,2021-07-12T17:45:00Z,3.04,19.08,AQ,Floral Lane Slough
29,2021-07-12T18:00:00Z,2.99,19.12,AQ,Floral Lane Slough
30,2021-07-12T18:15:00Z,2.88,19.12,AQ,Floral Lane Slough
31,2021-07-12T18:30:00Z,2.82,19.12,AQ,Floral Lane Slough
32,2021-07-12T18:45:00Z,2.72,19.12,AQ,Floral Lane Slough
33,2021-07-12T19:00:00Z,2.78,19.14,AQ,Floral Lane Slough
34,2021-07-12T19:15:00Z,2.78,19.14,AQ,Floral Lane Slough
35,2021-07-12T19:30:00Z,2.76,19.12,AQ,Floral Lane Slough
36,2021-07-12T19:45:00Z,2.75,19.14,AQ,Floral Lane Slough
37,2021-07-12T20:00:00Z,2.75,19.14,AQ,Floral Lane Slough
38,2021-07-12T20:15:00Z,2.72,19.14,AQ,Floral Lane Slough
39,2021-07-12T20:30:00Z,2.73,19.16,AQ,Floral Lane Slough
40,2021-07-12T20:45:00Z,2.69,19.14,AQ,Floral Lane Slough
41,2021-07-12T21:00:00Z,2.68,19.14,AQ,Floral Lane Slough
42,2021-07-12T21:15:00Z,2.66,19.16,AQ,Floral Lane Slough
43,2021-07-12T21:30:00Z,2.62,19.14,AQ,Floral Lane Slough
44,2021-07-12T21:45:00Z,2.59,19.14,AQ,Floral Lane Slough
45,2021-07-12T22:00:00Z,2.56,19.12,AQ,Floral Lane Slough
46,2021-07-12T22:15:00Z,2.53,19.12,AQ,Floral Lane Slough
47,2021-07-12T22:30:00Z,2.5,19.1,AQ,Floral Lane Slough
48,2021-07-12T22:45:00Z,2.48,19.1,AQ,Floral Lane Slough
49,2021-07-12T23:00:00Z,2.44,19.1,AQ,Floral Lane Slough
50,2021-07-12T23:15:00Z,2.42,19.1,AQ,Floral Lane Slough
51,2021-07-12T23:30:00Z,2.33,19.08,AQ,Floral Lane Slough
52,2021-07-12T23:45:00Z,2.33,19.08,AQ,Floral Lane Slough
53,2021-07-13T00:00:00Z,2.32,19.08,AQ,Floral Lane Slough
54,2021-07-13T00:15:00Z,2.27,19.08,AQ,Floral Lane Slough
55,2021-07-13T00:30:00Z,1.99,18.82,AQ,Floral Lane Slough
56,2021-07-13T00:45:00Z,1.96,18.74,AQ,Floral Lane Slough
57,2021-07-13T01:00:00Z,1.97,18.7,AQ,Floral Lane Slough
58,2021-07-13T01:15:00Z,1.91,18.7,AQ,Floral Lane Slough
59,2021-07-13T01:30:00Z,1.9,18.7,AQ,Floral Lane Slough
60,2021-07-13T01:45:00Z,1.9,18.68,AQ,Floral Lane Slough
61,2021-07-13T02:00:00Z,1.84,18.68,AQ,Floral Lane Slough
62,2021-07-13T02:15:00Z,1.76,18.66,AQ,Floral Lane Slough
63,2021-07-13T02:30:00Z,1.66,18.66,AQ,Floral Lane Slough
64,2021-07-13T02:45:00Z,1.53,18.66,AQ,Floral Lane Slough
65,2021-07-13T03:00:00Z,1.43,18.64,AQ,Floral Lane Slough
66,2021-07-13T03:15:00Z,1.33,18.64,AQ,Floral Lane Slough
67,2021-07-13T03:30:00Z,1.2,18.62,AQ,Floral Lane Slough
68,2021-07-13T03:45:00Z,1.13,18.62,AQ,Floral Lane Slough
69,2021-07-13T04:00:00Z,1.07,18.62,AQ,Floral Lane Slough
70,2021-07-13T04:15:00Z,1.03,18.6,AQ,Floral Lane Slough
71,2021-07-13T04:30:00Z,1.01,18.6,AQ,Floral Lane Slough
72,2021-07-13T04:45:00Z,0.96,18.58,AQ,Floral Lane Slough
73,2021-07-13T05:00:00Z,1.01,18.58,AQ,Floral Lane Slough
74,2021-07-13T05:15:00Z,0.95,18.56,AQ,Floral Lane Slough
75,2021-07-13T05:30:00Z,0.95,18.56,AQ,Floral Lane Slough
76,2021-07-13T05:45:00Z,0.99,18.54,AQ,Floral Lane Slough
77,2021-07-13T06:00:00Z,1.08,18.52,AQ,Floral Lane Slough
78,2021-07-13T06:15:00Z,1.2,18.52,AQ,Floral Lane Slough
79,2021-07-13T06:30:00Z,1.36,18.5,AQ,Floral Lane Slough
80,2021-07-13T06:45:00Z,1.31,18.5,AQ,Floral Lane Slough
81,2021-07-13T07:00:00Z,1.3,18.46,AQ,Floral Lane Slough
82,2021-07-13T07:15:00Z,1.23,18.46,AQ,Floral Lane Slough
83,2021-07-13T07:30:00Z,1.19,18.46,AQ,Floral Lane Slough
84,2021-07-13T07:45:00Z,1.08,18.4,AQ,Floral Lane Slough
85,2021-07-13T08:00:00Z,1.08,18.38,AQ,Floral Lane Slough
86,2021-07-13T08:15:00Z,1.05,18.36,AQ,Floral Lane Slough
87,2021-07-13T08:30:00Z,1.03,18.34,AQ,Floral Lane Slough
88,2021-07-13T08:45:00Z,1.07,18.32,AQ,Floral Lane Slough
89,2021-07-13T09:00:00Z,1.08,18.3,AQ,Floral Lane Slough
90,2021-07-13T09:15:00Z,1.31,18.3,AQ,Floral Lane Slough
91,2021-07-13T09:30:00Z,1.15,18.3,AQ,Floral Lane Slough
92,2021-07-13T09:45:00Z,1.12,18.3,AQ,Floral Lane Slough
93,2021-07-13T10:00:00Z,1.12,18.3,AQ,Floral Lane Slough
94,2021-07-13T10:15:00Z,1.09,18.3,AQ,Floral Lane Slough
95,2021-07-13T10:30:00Z,0.94,18.3,AQ,Floral Lane Slough
96,2021-07-13T10:45:00Z,0.78,18.3,AQ,Floral Lane Slough
97,2021-07-13T11:00:00Z,0.81,18.3,AQ,Floral Lane Slough
98,2021-07-13T11:15:00Z,0.75,18.32,AQ,Floral Lane Slough
99,2021-07-13T11:30:00Z,0.79,18.32,AQ,Floral Lane Slough
100,2021-07-13T11:45:00Z,0.89,18.34,AQ,Floral Lane Slough
101,2021-07-13T12:00:00Z,0.86,18.34,AQ,Floral Lane Slough
102,2021-07-13T12:15:00Z,1.32,18.38,AQ,Floral Lane Slough
103,2021-07-13T12:30:00Z,1.91,18.4,AQ,Floral Lane Slough
104,2021-07-13T12:45:00Z,1.94,18.42,AQ,Floral Lane Slough
105,2021-07-13T13:00:00Z,1.9,18.42,AQ,Floral Lane Slough
106,2021-07-13T13:15:00Z,1.96,18.44,AQ,Floral Lane Slough
107,2021-07-13T13:30:00Z,2.25,18.48,AQ,Floral Lane Slough
108,2021-07-13T13:45:00Z,2.34,18.52,AQ,Floral Lane Slough
109,2021-07-13T14:00:00Z,2.34,18.52,AQ,Floral Lane Slough
110,2021-07-13T14:15:00Z,2.27,18.56,AQ,Floral Lane Slough
111,2021-07-13T14:30:00Z,2.37,18.6,AQ,Floral Lane Slough
112,2021-07-13T14:45:00Z,2.51,18.66,AQ,Floral Lane Slough
113,2021-07-13T15:00:00Z,2.41,18.68,AQ,Floral Lane Slough
114,2021-07-13T15:15:00Z,2.42,18.74,AQ,Floral Lane Slough
115,2021-07-13T15:30:00Z,2.57,18.76,AQ,Floral Lane Slough
116,2021-07-13T15:45:00Z,2.52,18.82,AQ,Floral Lane Slough
117,2021-07-13T16:00:00Z,2.61,18.86,AQ,Floral Lane Slough
118,2021-07-13T16:15:00Z,2.6,18.88,AQ,Floral Lane Slough
119,2021-07-13T16:30:00Z,2.64,18.96,AQ,Floral Lane Slough
120,2021-07-13T16:45:00Z,2.67,18.98,AQ,Floral Lane Slough
121,2021-07-13T17:00:00Z,2.67,19.02,AQ,Floral Lane Slough
122,2021-07-13T17:15:00Z,2.71,19.04,AQ,Floral Lane Slough
123,2021-07-13T17:30:00Z,2.71,19.06,AQ,Floral Lane Slough
124,2021-07-13T17:45:00Z,2.63,19.1,AQ,Floral Lane Slough
125,2021-07-13T18:00:00Z,2.56,19.14,AQ,Floral Lane Slough
126,2021-07-13T18:15:00Z,2.44,19.12,AQ,Floral Lane Slough
127,2021-07-13T18:30:00Z,2.32,19.14,AQ,Floral Lane Slough
128,2021-07-13T18:45:00Z,2.21,19.12,AQ,Floral Lane Slough
129,2021-07-13T19:00:00Z,2.19,19.14,AQ,Floral Lane Slough
130,2021-07-13T19:15:00Z,2.16,19.14,AQ,Floral Lane Slough
131,2021-07-13T19:30:00Z,2.08,19.12,AQ,Floral Lane Slough
132,2021-07-13T19:45:00Z,2.04,19.12,AQ,Floral Lane Slough
133,2021-07-13T20:00:00Z,2.04,19.14,AQ,Floral Lane Slough
134,2021-07-13T20:15:00Z,1.99,19.14,AQ,Floral Lane Slough
135,2021-07-13T20:30:00Z,1.97,19.12,AQ,Floral Lane Slough
136,2021-07-13T20:45:00Z,1.99,19.1,AQ,Floral Lane Slough
137,2021-07-13T21:00:00Z,1.97,19.1,AQ,Floral Lane Slough
138,2021-07-13T21:15:00Z,1.88,19.1,AQ,Floral Lane Slough
139,2021-07-13T21:30:00Z,1.87,19.1,AQ,Floral Lane Slough
140,2021-07-13T21:45:00Z,1.72,19.1,AQ,Floral Lane Slough
141,2021-07-13T22:00:00Z,1.76,19.08,AQ,Floral Lane Slough
142,2021-07-13T22:15:00Z,1.73,19.08,AQ,Floral Lane Slough
143,2021-07-13T22:30:00Z,1.69,19.06,AQ,Floral Lane Slough
144,2021-07-13T22:45:00Z,1.63,19.06,AQ,Floral Lane Slough
145,2021-07-13T23:00:00Z,1.58,19.06,AQ,Floral Lane Slough
146,2021-07-13T23:15:00Z,1.58,19.06,AQ,Floral Lane Slough
147,2021-07-13T23:30:00Z,1.57,19.08,AQ,Floral Lane Slough
148,2021-07-13T23:45:00Z,1.51,19.06,AQ,Floral Lane Slough
149,2021-07-14T00:00:00Z,1.47,19.06,AQ,Floral Lane Slough
150,2021-07-14T00:15:00Z,1.42,19.06,AQ,Floral Lane Slough
151,2021-07-14T00:30:00Z,1.46,19.1,AQ,Floral Lane Slough
152,2021-07-14T00:45:00Z,1.44,19.08,AQ,Floral Lane Slough
153,2021-07-14T01:00:00Z,1.44,19.06,AQ,Floral Lane Slough
154,2021-07-14T01:15:00Z,1.42,19.06,AQ,Floral Lane Slough
155,2021-07-14T01:30:00Z,1.4,19.04,AQ,Floral Lane Slough
156,2021-07-14T01:45:00Z,1.37,19.02,AQ,Floral Lane Slough
157,2021-07-14T02:00:00Z,1.32,19.02,AQ,Floral Lane Slough
158,2021-07-14T02:15:00Z,1.26,19.02,AQ,Floral Lane Slough
159,2021-07-14T02:30:00Z,1.24,19,AQ,Floral Lane Slough
160,2021-07-14T02:45:00Z,1.17,18.98,AQ,Floral Lane Slough
161,2021-07-14T03:00:00Z,1.11,18.96,AQ,Floral Lane Slough
162,2021-07-14T03:15:00Z,1.02,18.92,AQ,Floral Lane Slough
163,2021-07-14T03:30:00Z,1.01,18.9,AQ,Floral Lane Slough
164,2021-07-14T03:45:00Z,1,18.88,AQ,Floral Lane Slough
165,2021-07-14T04:00:00Z,0.96,18.86,AQ,Floral Lane Slough
166,2021-07-14T04:15:00Z,0.86,18.84,AQ,Floral Lane Slough
167,2021-07-14T04:30:00Z,0.88,18.78,AQ,Floral Lane Slough
168,2021-07-14T04:45:00Z,0.91,18.74,AQ,Floral Lane Slough
169,2021-07-14T05:00:00Z,1.09,18.7,AQ,Floral Lane Slough
170,2021-07-14T05:15:00Z,1.32,18.64,AQ,Floral Lane Slough
171,2021-07-14T05:30:00Z,2.96,18.58,AQ,Floral Lane Slough
172,2021-07-14T05:45:00Z,3.24,18.52,AQ,Floral Lane Slough
173,2021-07-14T06:00:00Z,2.92,18.46,AQ,Floral Lane Slough
174,2021-07-14T06:15:00Z,2.69,18.42,AQ,Floral Lane Slough
175,2021-07-14T06:30:00Z,2.28,18.36,AQ,Floral Lane Slough
176,2021-07-14T06:45:00Z,1.86,18.32,AQ,Floral Lane Slough
177,2021-07-14T07:00:00Z,2.09,18.26,AQ,Floral Lane Slough
178,2021-07-14T07:15:00Z,2.47,18.22,AQ,Floral Lane Slough
179,2021-07-14T07:30:00Z,1.8,18.18,AQ,Floral Lane Slough
180,2021-07-14T07:45:00Z,2.18,18.14,AQ,Floral Lane Slough
181,2021-07-14T08:00:00Z,1.69,18.1,AQ,Floral Lane Slough
182,2021-07-14T08:15:00Z,1.21,18.06,AQ,Floral Lane Slough
183,2021-07-14T08:30:00Z,1.44,18.04,AQ,Floral Lane Slough
184,2021-07-14T08:45:00Z,0.96,18,AQ,Floral Lane Slough
