#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
208,2021-07-14T14:45:00Z,9.9,10.72,P,Savage Slough
209,2021-07-14T15:00:00Z,9.84,10.46,P,Savage Slough
210,2021-07-14T15:15:00Z,9.61,10.52,P,Savage Slough
211,2021-07-14T15:30:00Z,9.81,10.56,P,Savage Slough
212,2021-07-14T15:45:00Z,9.98,10.62,P,Savage Slough
213,2021-07-14T16:00:00Z,10.11,10.64,P,Savage Slough
214,2021-07-14T16:15:00Z,10.29,10.7,P,Savage Slough
215,2021-07-14T16:30:00Z,10.29,10.78,P,Savage Slough
216,2021-07-14T16:45:00Z,10.58,10.84,P,Savage Slough
217,2021-07-14T17:00:00Z,10.43,10.88,P,Savage Slough
218,2021-07-14T17:15:00Z,10.36,10.94,P,Savage Slough
219,2021-07-14T17:30:00Z,10.3,10.94,P,Savage Slough
220,2021-07-14T17:45:00Z,10.27,10.96,P,Savage Slough
221,2021-07-14T18:00:00Z,10.24,11,P,Savage Slough
222,2021-07-14T18:15:00Z,10.25,10.98,P,Savage Slough
223,2021-07-14T18:30:00Z,10.27,10.96,P,Savage Slough
224,2021-07-14T18:45:00Z,10.25,10.9,P,Savage Slough
225,2021-07-14T19:00:00Z,10.22,10.82,P,Savage Slough
226,2021-07-14T19:15:00Z,10.21,10.74,P,Savage Slough
227,2021-07-14T19:30:00Z,10.17,10.66,P,Savage Slough
228,2021-07-14T19:45:00Z,10.11,10.56,P,Savage Slough
229,2021-07-14T20:00:00Z,10,10.46,P,Savage Slough
230,2021-07-14T20:15:00Z,9.83,10.34,P,Savage Slough
231,2021-07-14T20:30:00Z,9.73,10.2,P,Savage Slough
232,2021-07-14T20:45:00Z,9.61,10.08,P,Savage Slough
233,2021-07-14T21:00:00Z,9.48,9.94,P,Savage Slough
234,2021-07-14T21:15:00Z,9.35,9.8,P,Savage Slough
235,2021-07-14T21:30:00Z,9.19,9.66,P,Savage Slough
236,2021-07-14T21:45:00Z,9.01,9.5,P,Savage Slough
237,2021-07-14T22:00:00Z,8.79,9.34,P,Savage Slough
238,2021-07-14T22:15:00Z,8.6,9.22,P,Savage Slough
239,2021-07-14T22:30:00Z,8.56,9.08,P,Savage Slough
240,2021-07-14T22:45:00Z,8.47,8.98,P,Savage Slough
241,2021-07-14T23:00:00Z,8.47,8.88,P,Savage Slough
242,2021-07-14T23:15:00Z,8.43,8.8,P,Savage Slough
243,2021-07-14T23:30:00Z,8.35,8.7,P,Savage Slough
244,2021-07-14T23:45:00Z,8.34,8.62,P,Savage Slough
245,2021-07-15T00:00:00Z,8.34,8.56,P,Savage Slough
246,2021-07-15T00:15:00Z,8.41,8.48,P,Savage Slough
247,2021-07-15T00:30:00Z,8.42,8.42,P,Savage Slough
248,2021-07-15T00:45:00Z,8.32,8.36,P,Savage Slough
249,2021-07-15T01:00:00Z,8.37,8.3,P,Savage Slough
250,2021-07-15T01:15:00Z,8.3,8.26,P,Savage Slough
251,2021-07-15T01:30:00Z,8.33,8.22,P,Savage Slough
252,2021-07-15T01:45:00Z,8.34,8.18,P,Savage Slough
253,2021-07-15T02:00:00Z,8.37,8.16,P,Savage Slough
254,2021-07-15T02:15:00Z,8.29,8.14,P,Savage Slough
255,2021-07-15T02:30:00Z,8.27,8.1,P,Savage Slough
256,2021-07-15T02:45:00Z,8.28,8.08,P,Savage Slough
257,2021-07-15T03:00:00Z,8.3,8.06,P,Savage Slough
258,2021-07-15T03:15:00Z,8.3,8.02,P,Savage Slough
259,2021-07-15T03:30:00Z,8.34,8,P,Savage Slough
260,2021-07-15T03:45:00Z,8.39,8,P,Savage Slough
261,2021-07-15T04:00:00Z,8.43,7.98,P,Savage Slough
262,2021-07-15T04:15:00Z,8.41,7.96,P,Savage Slough
263,2021-07-15T04:30:00Z,8.48,7.96,P,Savage Slough
264,2021-07-15T04:45:00Z,8.44,7.96,P,Savage Slough
265,2021-07-15T05:00:00Z,8.44,7.94,P,Savage Slough
266,2021-07-15T05:15:00Z,8.46,7.94,P,Savage Slough
267,2021-07-15T05:30:00Z,8.47,7.94,P,Savage Slough
268,2021-07-15T05:45:00Z,8.47,7.94,P,Savage Slough
269,2021-07-15T06:00:00Z,8.47,7.94,P,Savage Slough
270,2021-07-15T06:15:00Z,8.48,7.96,P,Savage Slough
271,2021-07-15T06:30:00Z,8.49,7.96,P,Savage Slough
272,2021-07-15T06:45:00Z,8.52,7.96,P,Savage Slough
273,2021-07-15T07:00:00Z,8.52,7.98,P,Savage Slough
274,2021-07-15T07:15:00Z,8.53,8.02,P,Savage Slough
275,2021-07-15T07:30:00Z,8.59,8.06,P,Savage Slough
276,2021-07-15T07:45:00Z,8.69,8.08,P,Savage Slough
277,2021-07-15T08:00:00Z,8.74,8.14,P,Savage Slough
278,2021-07-15T08:15:00Z,8.82,8.18,P,Savage Slough
279,2021-07-15T08:30:00Z,8.92,8.24,P,Savage Slough
