Date_Time,ms,LEVEL,TEMPERATURE
2021-05-11T00:00:00Z,0,1.0608,13.009
2021-05-11T00:15:00Z,0,1.0619,13.006
2021-05-11T00:30:00Z,0,1.0622,13.003
2021-05-11T00:45:00Z,0,1.0613,13
2021-05-11T01:00:00Z,0,1.0637,13.001
2021-05-11T01:15:00Z,0,1.0638,13.001
2021-05-11T01:30:00Z,0,1.0641,12.999
2021-05-11T01:45:00Z,0,1.0639,12.998
2021-05-11T02:00:00Z,0,1.065,12.998
2021-05-11T02:15:00Z,0,1.0651,12.997
2021-05-11T02:30:00Z,0,1.0635,12.995
2021-05-11T02:45:00Z,0,1.0634,12.994
2021-05-11T03:00:00Z,0,1.0635,12.996
2021-05-11T03:15:00Z,0,1.0618,12.994
2021-05-11T03:30:00Z,0,1.0608,12.997
2021-05-11T03:45:00Z,0,1.0595,13
2021-05-11T04:00:00Z,0,1.0591,13.004
2021-05-11T04:15:00Z,0,1.0585,13.012
2021-05-11T04:30:00Z,0,1.0582,13.017
2021-05-11T04:45:00Z,0,1.0584,13.024
2021-05-11T05:00:00Z,0,1.0583,13.031
2021-05-11T05:15:00Z,0,1.0585,13.034
2021-05-11T05:30:00Z,0,1.0599,13.037
2021-05-11T05:45:00Z,0,1.0582,13.037
2021-05-11T06:00:00Z,0,1.0562,13.036
2021-05-11T06:15:00Z,0,1.0562,13.033
2021-05-11T06:30:00Z,0,1.056,13.029
2021-05-11T06:45:00Z,0,1.0556,13.025
2021-05-11T07:00:00Z,0,1.0558,13.018
2021-05-11T07:15:00Z,0,1.0565,13.012
2021-05-11T07:30:00Z,0,1.0555,13.003
2021-05-11T07:45:00Z,0,1.0563,12.997
2021-05-11T08:00:00Z,0,1.0563,12.989
2021-05-11T08:15:00Z,0,1.0518,12.981
2021-05-11T08:30:00Z,0,1.0564,12.975
2021-05-11T08:45:00Z,0,1.0552,12.971
2021-05-11T09:00:00Z,0,1.0499,12.965
2021-05-11T09:15:00Z,0,1.0535,12.962
2021-05-11T09:30:00Z,0,1.0509,12.961
2021-05-11T09:45:00Z,0,1.0512,12.961
2021-05-11T10:00:00Z,0,1.0501,12.961
2021-05-11T10:15:00Z,0,1.0505,12.962
2021-05-11T10:30:00Z,0,1.051,12.967
2021-05-11T10:45:00Z,0,1.0524,12.971
2021-05-11T11:00:00Z,0,1.0478,12.977
2021-05-11T11:15:00Z,0,1.0498,12.985
2021-05-11T11:30:00Z,0,1.0492,12.992
2021-05-11T11:45:00Z,0,1.0495,13
2021-05-11T12:00:00Z,0,1.0494,13.011
2021-05-11T12:15:00Z,0,1.0473,13.018
2021-05-11T12:30:00Z,0,1.0492,13.03
2021-05-11T12:45:00Z,0,1.0497,13.04
2021-05-11T13:00:00Z,0,1.047,13.048
2021-05-11T13:15:00Z,0,1.0488,13.057
2021-05-11T13:30:00Z,0,1.0482,13.064
2021-05-11T13:45:00Z,0,1.0466,13.072
2021-05-11T14:00:00Z,0,1.0478,13.077
2021-05-11T14:15:00Z,0,1.048,13.082
2021-05-11T14:30:00Z,0,1.0467,13.09
2021-05-11T14:45:00Z,0,1.0468,13.095
2021-05-11T15:00:00Z,0,1.0462,13.102
2021-05-11T15:15:00Z,0,1.0452,13.108
2021-05-11T15:30:00Z,0,1.0451,13.114
2021-05-11T15:45:00Z,0,1.0442,13.117
2021-05-11T16:00:00Z,0,1.0447,13.122
2021-05-11T16:15:00Z,0,1.0455,13.125
2021-05-11T16:30:00Z,0,1.0454,13.129
2021-05-11T16:45:00Z,0,1.0441,13.13
2021-05-11T17:00:00Z,0,1.0436,13.135
2021-05-11T17:15:00Z,0,1.0452,13.199
2021-05-11T17:30:00Z,0,1.0423,13.172
2021-05-11T17:45:00Z,0,1.0432,13.168
2021-05-11T18:00:00Z,0,1.0434,13.167
2021-05-11T18:15:00Z,0,1.0437,13.172
2021-05-11T18:30:00Z,0,1.0435,13.175
2021-05-11T18:45:00Z,0,1.0434,13.177
2021-05-11T19:00:00Z,0,1.043,13.178
2021-05-11T19:15:00Z,0,1.0435,13.181
2021-05-11T19:30:00Z,0,1.043,13.187
2021-05-11T19:45:00Z,0,1.0424,13.187
2021-05-11T20:00:00Z,0,1.0422,13.188
2021-05-11T20:15:00Z,0,1.0424,13.191
2021-05-11T20:30:00Z,0,1.0419,13.192
2021-05-11T20:45:00Z,0,1.0414,13.194
2021-05-11T21:00:00Z,0,1.0411,13.197
2021-05-11T21:15:00Z,0,1.0447,13.195
2021-05-11T21:30:00Z,0,1.0456,13.197
2021-05-11T21:45:00Z,0,1.046,13.196
2021-05-11T22:00:00Z,0,1.0462,13.197
2021-05-11T22:15:00Z,0,1.0465,13.197
2021-05-11T22:30:00Z,0,1.0467,13.195
2021-05-11T22:45:00Z,0,1.0478,13.195
2021-05-11T23:00:00Z,0,1.0482,13.193
2021-05-11T23:15:00Z,0,1.0493,13.193
2021-05-11T23:30:00Z,0,1.0496,13.192
2021-05-11T23:45:00Z,0,1.0503,13.189
2021-05-12T00:00:00Z,0,1.0501,13.189
2021-05-12T00:15:00Z,0,1.0503,13.187
2021-05-12T00:30:00Z,0,1.0505,13.184
2021-05-12T00:45:00Z,0,1.0509,13.182
2021-05-12T01:00:00Z,0,1.051,13.186
2021-05-12T01:15:00Z,0,1.0503,13.184
2021-05-12T01:30:00Z,0,1.0499,13.189
2021-05-12T01:45:00Z,0,1.0498,13.186
2021-05-12T02:00:00Z,0,1.0485,13.186
2021-05-12T02:15:00Z,0,1.0484,13.187
2021-05-12T02:30:00Z,0,1.0487,13.188
2021-05-12T02:45:00Z,0,1.0482,13.187
2021-05-12T03:00:00Z,0,1.0487,13.187
2021-05-12T03:15:00Z,0,1.0481,13.19
2021-05-12T03:30:00Z,0,1.0495,13.19
2021-05-12T03:45:00Z,0,1.0487,13.188
2021-05-12T04:00:00Z,0,1.0485,13.188
2021-05-12T04:15:00Z,0,1.0486,13.187
2021-05-12T04:30:00Z,0,1.048,13.188
2021-05-12T04:45:00Z,0,1.0484,13.187
2021-05-12T05:00:00Z,0,1.0483,13.188
2021-05-12T05:15:00Z,0,1.0472,13.186
2021-05-12T05:30:00Z,0,1.0491,13.184
2021-05-12T05:45:00Z,0,1.0484,13.183
2021-05-12T06:00:00Z,0,1.0567,13.185
2021-05-12T06:15:00Z,0,1.0564,13.183
2021-05-12T06:30:00Z,0,1.0575,13.183
2021-05-12T06:45:00Z,0,1.0587,13.184
2021-05-12T07:00:00Z,0,1.0562,13.182
2021-05-12T07:15:00Z,0,1.0572,13.182
2021-05-12T07:30:00Z,0,1.0572,13.186
2021-05-12T07:45:00Z,0,1.0545,13.188
2021-05-12T08:00:00Z,0,1.0534,13.19
2021-05-12T08:15:00Z,0,1.0531,13.195
2021-05-12T08:30:00Z,0,1.0524,13.203
2021-05-12T08:45:00Z,0,1.0516,13.21
2021-05-12T09:00:00Z,0,1.0521,13.222
2021-05-12T09:15:00Z,0,1.0511,13.235
2021-05-12T09:30:00Z,0,1.052,13.244
2021-05-12T09:45:00Z,0,1.0516,13.258
2021-05-12T10:00:00Z,0,1.0497,13.269
2021-05-12T10:15:00Z,0,1.052,13.281
2021-05-12T10:30:00Z,0,1.05,13.289
2021-05-12T10:45:00Z,0,1.0501,13.299
2021-05-12T11:00:00Z,0,1.0487,13.311
2021-05-12T11:15:00Z,0,1.0488,13.321
2021-05-12T11:30:00Z,0,1.0491,13.33
2021-05-12T11:45:00Z,0,1.051,13.337
2021-05-12T12:00:00Z,0,1.0505,13.349
2021-05-12T12:15:00Z,0,1.0489,13.359
2021-05-12T12:30:00Z,0,1.0497,13.368
2021-05-12T12:45:00Z,0,1.0479,13.376
2021-05-12T13:00:00Z,0,1.0504,13.389
2021-05-12T13:15:00Z,0,1.0497,13.396
2021-05-12T13:30:00Z,0,1.0465,13.406
2021-05-12T13:45:00Z,0,1.0449,13.416
2021-05-12T14:00:00Z,0,1.0454,13.423
2021-05-12T14:15:00Z,0,1.0467,13.432
2021-05-12T14:30:00Z,0,1.046,13.439
2021-05-12T14:45:00Z,0,1.0447,13.449
2021-05-12T15:00:00Z,0,1.0446,13.455
2021-05-12T15:15:00Z,0,1.0444,13.461
2021-05-12T15:30:00Z,0,1.045,13.469
2021-05-12T15:45:00Z,0,1.0431,13.474
2021-05-12T16:00:00Z,0,1.0441,13.48
2021-05-12T16:15:00Z,0,1.0457,13.484
2021-05-12T16:30:00Z,0,1.047,13.491
2021-05-12T16:45:00Z,0,1.0474,13.494
2021-05-12T17:00:00Z,0,1.0472,13.499
2021-05-12T17:15:00Z,0,1.0475,13.502
2021-05-12T17:30:00Z,0,1.0472,13.505
2021-05-12T17:45:00Z,0,1.0472,13.505
2021-05-12T18:00:00Z,0,1.0468,13.511
2021-05-12T18:15:00Z,0,1.0462,13.511
2021-05-12T18:30:00Z,0,1.047,13.513
2021-05-12T18:45:00Z,0,1.0478,13.514
2021-05-12T19:00:00Z,0,1.0489,13.516
2021-05-12T19:15:00Z,0,1.0481,13.518
2021-05-12T19:30:00Z,0,1.0463,13.516
2021-05-12T19:45:00Z,0,1.0457,13.516
2021-05-12T20:00:00Z,0,1.045,13.517
2021-05-12T20:15:00Z,0,1.0453,13.518
2021-05-12T20:30:00Z,0,1.0451,13.517
2021-05-12T20:45:00Z,0,1.0445,13.516
2021-05-12T21:00:00Z,0,1.046,13.515
2021-05-12T21:15:00Z,0,1.0446,13.511
2021-05-12T21:30:00Z,0,1.0443,13.513
2021-05-12T21:45:00Z,0,1.0453,13.51
2021-05-12T22:00:00Z,0,1.045,13.509
2021-05-12T22:15:00Z,0,1.0457,13.505
2021-05-12T22:30:00Z,0,1.0451,13.502
2021-05-12T22:45:00Z,0,1.0461,13.501
2021-05-12T23:00:00Z,0,1.0462,13.497
2021-05-12T23:15:00Z,0,1.0461,13.495
2021-05-12T23:30:00Z,0,1.0462,13.493
2021-05-12T23:45:00Z,0,1.0476,13.49
2021-05-13T00:00:00Z,0,1.0464,13.487
2021-05-13T00:15:00Z,0,1.0477,13.484
2021-05-13T00:30:00Z,0,1.0465,13.482
2021-05-13T00:45:00Z,0,1.0471,13.478
2021-05-13T01:00:00Z,0,1.0464,13.478
2021-05-13T01:15:00Z,0,1.0458,13.476
2021-05-13T01:30:00Z,0,1.0454,13.472
2021-05-13T01:45:00Z,0,1.0451,13.47
2021-05-13T02:00:00Z,0,1.0448,13.467
2021-05-13T02:15:00Z,0,1.0456,13.465
2021-05-13T02:30:00Z,0,1.046,13.463
2021-05-13T02:45:00Z,0,1.0453,13.459
2021-05-13T03:00:00Z,0,1.0454,13.457
2021-05-13T03:15:00Z,0,1.0455,13.454
2021-05-13T03:30:00Z,0,1.0458,13.451
2021-05-13T03:45:00Z,0,1.0451,13.447
2021-05-13T04:00:00Z,0,1.0458,13.445
2021-05-13T04:15:00Z,0,1.0459,13.444
2021-05-13T04:30:00Z,0,1.0457,13.44
2021-05-13T04:45:00Z,0,1.0462,13.438
2021-05-13T05:00:00Z,0,1.0455,13.438
2021-05-13T05:15:00Z,0,1.0457,13.432
2021-05-13T05:30:00Z,0,1.0459,13.431
2021-05-13T05:45:00Z,0,1.0467,13.431
2021-05-13T06:00:00Z,0,1.0464,13.43
2021-05-13T06:15:00Z,0,1.0469,13.429
2021-05-13T06:30:00Z,0,1.0466,13.429
2021-05-13T06:45:00Z,0,1.0469,13.43
2021-05-13T07:00:00Z,0,1.0465,13.432
2021-05-13T07:15:00Z,0,1.0493,13.435
2021-05-13T07:30:00Z,0,1.0498,13.436
2021-05-13T07:45:00Z,0,1.0448,13.44
2021-05-13T08:00:00Z,0,1.05,13.445
2021-05-13T08:15:00Z,0,1.0457,13.449
2021-05-13T08:30:00Z,0,1.0435,13.452
2021-05-13T08:45:00Z,0,1.0436,13.458
2021-05-13T09:00:00Z,0,1.0414,13.463
2021-05-13T09:15:00Z,0,1.0457,13.466
2021-05-13T09:30:00Z,0,1.0432,13.473
2021-05-13T09:45:00Z,0,1.0427,13.48
2021-05-13T10:00:00Z,0,1.0425,13.486
