Date_Time,ms,LEVEL,TEMPERATURE
2021-05-06T00:00:00Z,0,0.9972,8.441
2021-05-06T00:15:00Z,0,0.9986,8.461
2021-05-06T00:30:00Z,0,0.9989,8.448
2021-05-06T00:45:00Z,0,0.9981,8.434
2021-05-06T01:00:00Z,0,0.997,8.434
2021-05-06T01:15:00Z,0,0.9985,8.423
2021-05-06T01:30:00Z,0,0.9987,8.424
2021-05-06T01:45:00Z,0,0.9991,8.423
2021-05-06T02:00:00Z,0,0.9988,8.41
2021-05-06T02:15:00Z,0,1.0001,8.392
2021-05-06T02:30:00Z,0,1.0007,8.393
2021-05-06T02:45:00Z,0,1.0004,8.391
2021-05-06T03:00:00Z,0,0.9998,8.4
2021-05-06T03:15:00Z,0,1.0013,8.397
2021-05-06T03:30:00Z,0,1.0018,8.394
2021-05-06T03:45:00Z,0,1.0015,8.387
2021-05-06T04:00:00Z,0,1.0011,8.384
2021-05-06T04:15:00Z,0,1.0004,8.387
2021-05-06T04:30:00Z,0,1.0021,8.383
2021-05-06T04:45:00Z,0,1.0043,8.379
2021-05-06T05:00:00Z,0,1.0002,8.383
2021-05-06T05:15:00Z,0,1.0018,8.377
2021-05-06T05:30:00Z,0,1.0028,8.371
2021-05-06T05:45:00Z,0,1.0034,8.376
2021-05-06T06:00:00Z,0,1.0035,8.394
2021-05-06T06:15:00Z,0,1.0027,8.388
2021-05-06T06:30:00Z,0,1.0048,8.375
2021-05-06T06:45:00Z,0,0.9999,8.371
2021-05-06T07:00:00Z,0,1.0087,8.376
2021-05-06T07:15:00Z,0,0.996,8.387
2021-05-06T07:30:00Z,0,1.0035,8.391
2021-05-06T07:45:00Z,0,0.9976,8.388
2021-05-06T08:00:00Z,0,0.9968,8.396
2021-05-06T08:15:00Z,0,0.9975,8.402
2021-05-06T08:30:00Z,0,0.9958,8.411
2021-05-06T08:45:00Z,0,0.9988,8.436
2021-05-06T09:00:00Z,0,0.9984,8.481
2021-05-06T09:15:00Z,0,0.998,8.501
2021-05-06T09:30:00Z,0,0.9972,8.511
2021-05-06T09:45:00Z,0,0.9992,8.518
2021-05-06T10:00:00Z,0,0.9973,8.521
2021-05-06T10:15:00Z,0,0.9955,8.53
2021-05-06T10:30:00Z,0,0.9962,8.534
2021-05-06T10:45:00Z,0,0.9962,8.537
2021-05-06T11:00:00Z,0,0.997,8.537
2021-05-06T11:15:00Z,0,0.9968,8.549
2021-05-06T11:30:00Z,0,0.996,8.551
2021-05-06T11:45:00Z,0,1.0026,8.554
2021-05-06T12:00:00Z,0,0.9994,8.562
2021-05-06T12:15:00Z,0,1.0004,8.586
2021-05-06T12:30:00Z,0,1.0026,8.606
2021-05-06T12:45:00Z,0,1.003,8.623
2021-05-06T13:00:00Z,0,1.0035,8.647
2021-05-06T13:15:00Z,0,1.0045,8.674
2021-05-06T13:30:00Z,0,1.0068,8.691
2021-05-06T13:45:00Z,0,1.0054,8.724
2021-05-06T14:00:00Z,0,1.0031,8.75
2021-05-06T14:15:00Z,0,1.0022,8.757
2021-05-06T14:30:00Z,0,1.0006,8.752
2021-05-06T14:45:00Z,0,0.9981,8.753
2021-05-06T15:00:00Z,0,0.9985,8.744
2021-05-06T15:15:00Z,0,0.9977,8.742
2021-05-06T15:30:00Z,0,1.0017,8.783
2021-05-06T15:45:00Z,0,1.0007,8.816
2021-05-06T16:00:00Z,0,1.0003,8.833
2021-05-06T16:15:00Z,0,0.9931,8.833
2021-05-06T16:30:00Z,0,0.996,8.852
2021-05-06T16:45:00Z,0,0.9952,8.848
2021-05-06T17:00:00Z,0,0.9968,8.837
2021-05-06T17:15:00Z,0,1.0021,8.8
2021-05-06T17:30:00Z,0,1.0048,8.781
2021-05-06T17:45:00Z,0,1.0031,8.761
2021-05-06T18:00:00Z,0,1.0044,8.716
2021-05-06T18:15:00Z,0,1.0047,8.704
2021-05-06T18:30:00Z,0,1.0098,8.679
2021-05-06T18:45:00Z,0,1.0094,8.641
2021-05-06T19:00:00Z,0,1.0082,8.628
2021-05-06T19:15:00Z,0,1.0112,8.611
2021-05-06T19:30:00Z,0,1.0103,8.582
2021-05-06T19:45:00Z,0,1.0125,8.559
2021-05-06T20:00:00Z,0,1.012,8.546
2021-05-06T20:15:00Z,0,1.0039,8.522
2021-05-06T20:30:00Z,0,1.0004,8.514
2021-05-06T20:45:00Z,0,0.9991,8.503
2021-05-06T21:00:00Z,0,1.0017,8.488
2021-05-06T21:15:00Z,0,1.0085,8.474
2021-05-06T21:30:00Z,0,1.0069,8.452
2021-05-06T21:45:00Z,0,1.0045,8.438
2021-05-06T22:00:00Z,0,1.0018,8.435
2021-05-06T22:15:00Z,0,1.0003,8.425
2021-05-06T22:30:00Z,0,0.9997,8.427
2021-05-06T22:45:00Z,0,0.9997,8.423
2021-05-06T23:00:00Z,0,0.9989,8.414
2021-05-06T23:15:00Z,0,0.9965,8.402
2021-05-06T23:30:00Z,0,0.9964,8.395
2021-05-06T23:45:00Z,0,0.9973,8.395
2021-05-07T00:00:00Z,0,1.0005,8.403
2021-05-07T00:15:00Z,0,1.0018,8.395
2021-05-07T00:30:00Z,0,1.001,8.391
2021-05-07T00:45:00Z,0,1.002,8.38
2021-05-07T01:00:00Z,0,1.0042,8.374
2021-05-07T01:15:00Z,0,1.0023,8.367
2021-05-07T01:30:00Z,0,1.003,8.362
2021-05-07T01:45:00Z,0,1.0092,8.356
2021-05-07T02:00:00Z,0,1.0114,8.346
2021-05-07T02:15:00Z,0,1.0126,8.34
2021-05-07T02:30:00Z,0,1.0133,8.343
2021-05-07T02:45:00Z,0,1.0141,8.342
2021-05-07T03:00:00Z,0,1.0251,8.336
2021-05-07T03:15:00Z,0,1.0258,8.346
2021-05-07T03:30:00Z,0,1.0279,8.341
2021-05-07T03:45:00Z,0,1.0296,8.335
2021-05-07T04:00:00Z,0,1.0295,8.33
2021-05-07T04:15:00Z,0,1.0297,8.326
2021-05-07T04:30:00Z,0,1.0296,8.328
2021-05-07T04:45:00Z,0,1.0293,8.325
2021-05-07T05:00:00Z,0,1.0304,8.325
2021-05-07T05:15:00Z,0,1.0322,8.323
2021-05-07T05:30:00Z,0,1.0314,8.318
2021-05-07T05:45:00Z,0,1.0324,8.311
2021-05-07T06:00:00Z,0,1.0346,8.306
2021-05-07T06:15:00Z,0,1.0361,8.308
2021-05-07T06:30:00Z,0,1.0372,8.311
2021-05-07T06:45:00Z,0,1.0369,8.315
2021-05-07T07:00:00Z,0,1.0376,8.319
2021-05-07T07:15:00Z,0,1.0368,8.321
