#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
157,8/18/2021 15:00,3.89,15.96,AAE,Utopia Slough
158,8/18/2021 15:15,2.97,15.3,AAE,Utopia Slough
159,8/18/2021 15:30,2.76,15.14,AAE,Utopia Slough
160,8/18/2021 15:45,2.78,15.18,AAE,Utopia Slough
161,8/18/2021 16:00,2.78,15.18,AAE,Utopia Slough
162,8/18/2021 16:15,2.76,15.2,AAE,Utopia Slough
163,8/18/2021 16:30,2.69,15.2,AAE,Utopia Slough
164,8/18/2021 16:45,2.73,15.2,AAE,Utopia Slough
165,8/18/2021 17:00,2.65,15.22,AAE,Utopia Slough
166,8/18/2021 17:15,2.57,15.22,AAE,Utopia Slough
167,8/18/2021 17:30,2.46,15.24,AAE,Utopia Slough
168,8/18/2021 17:45,2.46,15.22,AAE,Utopia Slough
169,8/18/2021 18:00,2.41,15.22,AAE,Utopia Slough
170,8/18/2021 18:15,2.34,15.24,AAE,Utopia Slough
171,8/18/2021 18:30,2.32,15.26,AAE,Utopia Slough
172,8/18/2021 18:45,2.28,15.28,AAE,Utopia Slough
173,8/18/2021 19:00,2.26,15.34,AAE,Utopia Slough
174,8/18/2021 19:15,2.15,15.36,AAE,Utopia Slough
175,8/18/2021 19:30,2.08,15.36,AAE,Utopia Slough
176,8/18/2021 19:45,1.98,15.34,AAE,Utopia Slough
177,8/18/2021 20:00,1.89,15.36,AAE,Utopia Slough
178,8/18/2021 20:15,1.87,15.34,AAE,Utopia Slough
179,8/18/2021 20:30,1.93,15.34,AAE,Utopia Slough
180,8/18/2021 20:45,1.97,15.32,AAE,Utopia Slough
181,8/18/2021 21:00,2.07,15.34,AAE,Utopia Slough
182,8/18/2021 21:15,2.13,15.38,AAE,Utopia Slough
183,8/18/2021 21:30,2.16,15.4,AAE,Utopia Slough
184,8/18/2021 21:45,2.13,15.4,AAE,Utopia Slough
185,8/18/2021 22:00,2.1,15.38,AAE,Utopia Slough
186,8/18/2021 22:15,1.96,15.36,AAE,Utopia Slough
187,8/18/2021 22:30,1.87,15.36,AAE,Utopia Slough
188,8/18/2021 22:45,1.72,15.34,AAE,Utopia Slough
189,8/18/2021 23:00,1.59,15.36,AAE,Utopia Slough
190,8/18/2021 23:15,1.38,15.34,AAE,Utopia Slough
191,8/18/2021 23:30,1.39,15.32,AAE,Utopia Slough
192,8/18/2021 23:45,1.45,15.34,AAE,Utopia Slough
193,8/19/2021 0:00,1.4,15.34,AAE,Utopia Slough
194,8/19/2021 0:15,1.24,15.3,AAE,Utopia Slough
195,8/19/2021 0:30,1.23,15.36,AAE,Utopia Slough
196,8/19/2021 0:45,1.22,15.36,AAE,Utopia Slough
197,8/19/2021 1:00,1.15,15.36,AAE,Utopia Slough
198,8/19/2021 1:15,1.08,15.36,AAE,Utopia Slough
199,8/19/2021 1:30,1.06,15.38,AAE,Utopia Slough
200,8/19/2021 1:45,0.92,15.36,AAE,Utopia Slough
201,8/19/2021 2:00,0.9,15.34,AAE,Utopia Slough
202,8/19/2021 2:15,1.02,15.34,AAE,Utopia Slough
203,8/19/2021 2:30,1.23,15.34,AAE,Utopia Slough
204,8/19/2021 2:45,1.21,15.34,AAE,Utopia Slough
205,8/19/2021 3:00,1.22,15.34,AAE,Utopia Slough
206,8/19/2021 3:15,1.2,15.38,AAE,Utopia Slough
207,8/19/2021 3:30,1.1,15.32,AAE,Utopia Slough
208,8/19/2021 3:45,1.07,15.32,AAE,Utopia Slough
209,8/19/2021 4:00,1.03,15.3,AAE,Utopia Slough
210,8/19/2021 4:15,1.01,15.34,AAE,Utopia Slough
211,8/19/2021 4:30,1.16,15.38,AAE,Utopia Slough
212,8/19/2021 4:45,0.97,15.32,AAE,Utopia Slough
213,8/19/2021 5:00,1.3,15.26,AAE,Utopia Slough
214,8/19/2021 5:15,3.2,15.24,AAE,Utopia Slough
215,8/19/2021 5:30,3.06,15.28,AAE,Utopia Slough
216,8/19/2021 5:45,3.17,15.28,AAE,Utopia Slough
217,8/19/2021 6:00,3.08,15.26,AAE,Utopia Slough
218,8/19/2021 6:15,2.86,15.24,AAE,Utopia Slough
219,8/19/2021 6:30,2.63,15.2,AAE,Utopia Slough
220,8/19/2021 6:45,2.39,15.22,AAE,Utopia Slough
221,8/19/2021 7:00,2.15,15.24,AAE,Utopia Slough
222,8/19/2021 7:15,1.96,15.24,AAE,Utopia Slough
223,8/19/2021 7:30,1.92,15.26,AAE,Utopia Slough
224,8/19/2021 7:45,1.85,15.26,AAE,Utopia Slough
225,8/19/2021 8:00,1.97,15.26,AAE,Utopia Slough
226,8/19/2021 8:15,1.92,15.24,AAE,Utopia Slough
227,8/19/2021 8:30,1.9,15.24,AAE,Utopia Slough
228,8/19/2021 8:45,1.88,15.24,AAE,Utopia Slough
229,8/19/2021 9:00,1.85,15.28,AAE,Utopia Slough
230,8/19/2021 9:15,1.88,15.32,AAE,Utopia Slough
231,8/19/2021 9:30,1.9,15.3,AAE,Utopia Slough
232,8/19/2021 9:45,1.8,15.32,AAE,Utopia Slough
233,8/19/2021 10:00,1.73,15.3,AAE,Utopia Slough
234,8/19/2021 10:15,1.88,15.3,AAE,Utopia Slough
235,8/19/2021 10:30,2.01,15.26,AAE,Utopia Slough
236,8/19/2021 10:45,2.16,15.26,AAE,Utopia Slough
237,8/19/2021 11:00,2.16,15.26,AAE,Utopia Slough
238,8/19/2021 11:15,2.23,15.28,AAE,Utopia Slough
239,8/19/2021 11:30,2.27,15.3,AAE,Utopia Slough
240,8/19/2021 11:45,2.35,15.3,AAE,Utopia Slough
241,8/19/2021 12:00,2.34,15.32,AAE,Utopia Slough
242,8/19/2021 12:15,2.39,15.34,AAE,Utopia Slough
243,8/19/2021 12:30,2.4,15.32,AAE,Utopia Slough
244,8/19/2021 12:45,2.43,15.32,AAE,Utopia Slough
245,8/19/2021 13:00,2.46,15.32,AAE,Utopia Slough
246,8/19/2021 13:15,2.42,15.34,AAE,Utopia Slough
247,8/19/2021 13:30,2.29,15.36,AAE,Utopia Slough
248,8/19/2021 13:45,2.23,15.36,AAE,Utopia Slough
249,8/19/2021 14:00,2.16,15.38,AAE,Utopia Slough
250,8/19/2021 14:15,2.11,15.38,AAE,Utopia Slough
251,8/19/2021 14:30,2.13,15.36,AAE,Utopia Slough
252,8/19/2021 14:45,2.15,15.38,AAE,Utopia Slough
253,8/19/2021 15:00,2.14,15.36,AAE,Utopia Slough
254,8/19/2021 15:15,2.02,15.4,AAE,Utopia Slough
255,8/19/2021 15:30,1.9,15.4,AAE,Utopia Slough
256,8/19/2021 15:45,1.84,15.4,AAE,Utopia Slough
257,8/19/2021 16:00,1.79,15.4,AAE,Utopia Slough
258,8/19/2021 16:15,1.75,15.4,AAE,Utopia Slough
259,8/19/2021 16:30,1.72,15.42,AAE,Utopia Slough
260,8/19/2021 16:45,1.63,15.42,AAE,Utopia Slough
261,8/19/2021 17:00,1.61,15.44,AAE,Utopia Slough
262,8/19/2021 17:15,1.52,15.44,AAE,Utopia Slough
263,8/19/2021 17:30,1.5,15.44,AAE,Utopia Slough
264,8/19/2021 17:45,1.44,15.44,AAE,Utopia Slough
265,8/19/2021 18:00,1.34,15.44,AAE,Utopia Slough
266,8/19/2021 18:15,1.35,15.46,AAE,Utopia Slough
267,8/19/2021 18:30,1.35,15.48,AAE,Utopia Slough
268,8/19/2021 18:45,1.32,15.5,AAE,Utopia Slough
269,8/19/2021 19:00,1.28,15.5,AAE,Utopia Slough
270,8/19/2021 19:15,1.27,15.5,AAE,Utopia Slough
271,8/19/2021 19:30,1.25,15.52,AAE,Utopia Slough
272,8/19/2021 19:45,1.25,15.52,AAE,Utopia Slough
273,8/19/2021 20:00,2.08,15.56,AAE,Utopia Slough
274,8/19/2021 20:15,1.8,15.52,AAE,Utopia Slough
275,8/19/2021 20:30,1.46,15.56,AAE,Utopia Slough
276,8/19/2021 20:45,1.31,15.54,AAE,Utopia Slough
277,8/19/2021 21:00,1.19,15.54,AAE,Utopia Slough
278,8/19/2021 21:15,1.07,15.58,AAE,Utopia Slough
279,8/19/2021 21:30,1.11,15.58,AAE,Utopia Slough
280,8/19/2021 21:45,1.54,15.52,AAE,Utopia Slough
281,8/19/2021 22:00,1.5,15.54,AAE,Utopia Slough
282,8/19/2021 22:15,1.28,15.52,AAE,Utopia Slough
283,8/19/2021 22:30,1.16,15.48,AAE,Utopia Slough
284,8/19/2021 22:45,1.11,15.5,AAE,Utopia Slough
285,8/19/2021 23:00,1.03,15.5,AAE,Utopia Slough
286,8/19/2021 23:15,1.07,15.5,AAE,Utopia Slough
287,8/19/2021 23:30,1.05,15.48,AAE,Utopia Slough
288,8/19/2021 23:45,0.93,15.5,AAE,Utopia Slough
289,8/20/2021 0:00,0.91,15.5,AAE,Utopia Slough
290,8/20/2021 0:15,0.87,15.46,AAE,Utopia Slough
291,8/20/2021 0:30,0.9,15.5,AAE,Utopia Slough
292,8/20/2021 0:45,0.83,15.46,AAE,Utopia Slough
293,8/20/2021 1:00,0.85,15.52,AAE,Utopia Slough
294,8/20/2021 1:15,0.88,15.44,AAE,Utopia Slough
295,8/20/2021 1:30,0.92,15.5,AAE,Utopia Slough
296,8/20/2021 1:45,0.89,15.48,AAE,Utopia Slough
297,8/20/2021 2:00,0.84,15.48,AAE,Utopia Slough
298,8/20/2021 2:15,0.77,15.48,AAE,Utopia Slough
299,8/20/2021 2:30,0.7,15.48,AAE,Utopia Slough
300,8/20/2021 2:45,2.52,15.52,AAE,Utopia Slough
301,8/20/2021 3:00,2.99,15.52,AAE,Utopia Slough
302,8/20/2021 3:15,2.86,15.46,AAE,Utopia Slough
303,8/20/2021 3:30,3.07,15.48,AAE,Utopia Slough
304,8/20/2021 3:45,2.87,15.46,AAE,Utopia Slough
305,8/20/2021 4:00,2.64,15.44,AAE,Utopia Slough
306,8/20/2021 4:15,2.53,15.4,AAE,Utopia Slough
307,8/20/2021 4:30,2.81,15.42,AAE,Utopia Slough
308,8/20/2021 4:45,2.58,15.38,AAE,Utopia Slough
309,8/20/2021 5:00,2.33,15.38,AAE,Utopia Slough
310,8/20/2021 5:15,2.23,15.4,AAE,Utopia Slough
311,8/20/2021 5:30,2.23,15.36,AAE,Utopia Slough
312,8/20/2021 5:45,2.06,15.4,AAE,Utopia Slough
313,8/20/2021 6:00,2.17,15.42,AAE,Utopia Slough
314,8/20/2021 6:15,2.07,15.36,AAE,Utopia Slough
315,8/20/2021 6:30,1.81,15.36,AAE,Utopia Slough
316,8/20/2021 6:45,1.68,15.32,AAE,Utopia Slough
317,8/20/2021 7:00,1.6,15.34,AAE,Utopia Slough
318,8/20/2021 7:15,1.5,15.36,AAE,Utopia Slough
319,8/20/2021 7:30,1.45,15.36,AAE,Utopia Slough
320,8/20/2021 7:45,1.44,15.38,AAE,Utopia Slough
321,8/20/2021 8:00,1.27,15.36,AAE,Utopia Slough
322,8/20/2021 8:15,1.31,15.36,AAE,Utopia Slough
323,8/20/2021 8:30,1.32,15.38,AAE,Utopia Slough
324,8/20/2021 8:45,1.29,15.38,AAE,Utopia Slough
325,8/20/2021 9:00,1.29,15.38,AAE,Utopia Slough
326,8/20/2021 9:15,1.23,15.38,AAE,Utopia Slough
327,8/20/2021 9:30,1.15,15.38,AAE,Utopia Slough
328,8/20/2021 9:45,1.1,15.4,AAE,Utopia Slough
329,8/20/2021 10:00,1.04,15.4,AAE,Utopia Slough
330,8/20/2021 10:15,1,15.4,AAE,Utopia Slough
331,8/20/2021 10:30,0.99,15.4,AAE,Utopia Slough
332,8/20/2021 10:45,1.09,15.4,AAE,Utopia Slough
333,8/20/2021 11:00,1.1,15.4,AAE,Utopia Slough
334,8/20/2021 11:15,1.08,15.4,AAE,Utopia Slough
335,8/20/2021 11:30,1.14,15.38,AAE,Utopia Slough
336,8/20/2021 11:45,1.18,15.4,AAE,Utopia Slough
337,8/20/2021 12:00,1.16,15.38,AAE,Utopia Slough
338,8/20/2021 12:15,1.15,15.38,AAE,Utopia Slough
339,8/20/2021 12:30,1.17,15.36,AAE,Utopia Slough
340,8/20/2021 12:45,1.14,15.36,AAE,Utopia Slough
341,8/20/2021 13:00,1.06,15.36,AAE,Utopia Slough
342,8/20/2021 13:15,1.03,15.36,AAE,Utopia Slough
343,8/20/2021 13:30,0.96,15.34,AAE,Utopia Slough
344,8/20/2021 13:45,0.97,15.34,AAE,Utopia Slough
345,8/20/2021 14:00,1.04,15.32,AAE,Utopia Slough
346,8/20/2021 14:15,1.15,15.34,AAE,Utopia Slough
347,8/20/2021 14:30,1.17,15.32,AAE,Utopia Slough
348,8/20/2021 14:45,1.13,15.34,AAE,Utopia Slough
349,8/20/2021 15:00,1.1,15.36,AAE,Utopia Slough
350,8/20/2021 15:15,1.05,15.36,AAE,Utopia Slough
351,8/20/2021 15:30,1.06,15.36,AAE,Utopia Slough
352,8/20/2021 15:45,1.03,15.36,AAE,Utopia Slough
353,8/20/2021 16:00,0.97,15.34,AAE,Utopia Slough
354,8/20/2021 16:15,1.08,15.34,AAE,Utopia Slough
355,8/20/2021 16:30,1,15.34,AAE,Utopia Slough
356,8/20/2021 16:45,0.93,15.34,AAE,Utopia Slough
357,8/20/2021 17:00,0.85,15.32,AAE,Utopia Slough
