#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
1,6/8/2021 0:00,7.45,10.1,AA,James Brown Slough
2,6/8/2021 0:15,7.18,10.06,AA,James Brown Slough
3,6/8/2021 0:30,7.18,10.08,AA,James Brown Slough
4,6/8/2021 0:45,7.22,10.08,AA,James Brown Slough
5,6/8/2021 1:00,7.26,10.04,AA,James Brown Slough
6,6/8/2021 1:15,7.16,10,AA,James Brown Slough
7,6/8/2021 1:30,6.97,9.96,AA,James Brown Slough
8,6/8/2021 1:45,7.15,9.94,AA,James Brown Slough
9,6/8/2021 2:00,7.23,9.94,AA,James Brown Slough
10,6/8/2021 2:15,7.22,9.94,AA,James Brown Slough
11,6/8/2021 2:30,7.14,9.92,AA,James Brown Slough
12,6/8/2021 2:45,7.18,9.92,AA,James Brown Slough
13,6/8/2021 3:00,7.24,9.9,AA,James Brown Slough
14,6/8/2021 3:15,7.3,9.92,AA,James Brown Slough
15,6/8/2021 3:30,7.34,9.92,AA,James Brown Slough
16,6/8/2021 3:45,7.4,9.9,AA,James Brown Slough
17,6/8/2021 4:00,7.5,9.88,AA,James Brown Slough
18,6/8/2021 4:15,7.63,9.86,AA,James Brown Slough
19,6/8/2021 4:30,7.66,9.88,AA,James Brown Slough
20,6/8/2021 4:45,7.11,9.84,AA,James Brown Slough
21,6/8/2021 5:00,6.99,9.84,AA,James Brown Slough
22,6/8/2021 5:15,7.02,9.84,AA,James Brown Slough
23,6/8/2021 5:30,6.84,9.82,AA,James Brown Slough
24,6/8/2021 5:45,6.89,9.82,AA,James Brown Slough
25,6/8/2021 6:00,7.01,9.8,AA,James Brown Slough
26,6/8/2021 6:15,7.06,9.84,AA,James Brown Slough
27,6/8/2021 6:30,7.04,9.82,AA,James Brown Slough
28,6/8/2021 6:45,7.02,9.8,AA,James Brown Slough
29,6/8/2021 7:00,6.85,9.78,AA,James Brown Slough
30,6/8/2021 7:15,6.82,9.8,AA,James Brown Slough
31,6/8/2021 7:30,6.71,9.78,AA,James Brown Slough
32,6/8/2021 7:45,6.6,9.74,AA,James Brown Slough
33,6/8/2021 8:00,6.67,9.72,AA,James Brown Slough
34,6/8/2021 8:15,6.66,9.74,AA,James Brown Slough
35,6/8/2021 8:30,6.7,9.76,AA,James Brown Slough
36,6/8/2021 8:45,6.66,9.76,AA,James Brown Slough
37,6/8/2021 9:00,6.61,9.76,AA,James Brown Slough
38,6/8/2021 9:15,6.61,9.76,AA,James Brown Slough
39,6/8/2021 9:30,6.63,9.76,AA,James Brown Slough
40,6/8/2021 9:45,6.66,9.76,AA,James Brown Slough
41,6/8/2021 10:00,6.7,9.76,AA,James Brown Slough
42,6/8/2021 10:15,6.72,9.76,AA,James Brown Slough
43,6/8/2021 10:30,6.76,9.78,AA,James Brown Slough
44,6/8/2021 10:45,6.78,9.8,AA,James Brown Slough
45,6/8/2021 11:00,6.62,9.8,AA,James Brown Slough
46,6/8/2021 11:15,6.56,9.8,AA,James Brown Slough
47,6/8/2021 11:30,6.48,9.82,AA,James Brown Slough
48,6/8/2021 11:45,6.37,9.84,AA,James Brown Slough
49,6/8/2021 12:00,6.32,9.82,AA,James Brown Slough
50,6/8/2021 12:15,6.31,9.9,AA,James Brown Slough
51,6/8/2021 12:30,6.49,9.92,AA,James Brown Slough
52,6/8/2021 12:45,6.41,10,AA,James Brown Slough
53,6/8/2021 13:00,6.54,10.1,AA,James Brown Slough
54,6/8/2021 13:15,6.75,10.18,AA,James Brown Slough
55,6/8/2021 13:30,6.83,10.28,AA,James Brown Slough
56,6/8/2021 13:45,6.93,10.34,AA,James Brown Slough
57,6/8/2021 14:00,7.01,10.54,AA,James Brown Slough
58,6/8/2021 14:15,6.96,10.6,AA,James Brown Slough
59,6/8/2021 14:30,6.83,10.44,AA,James Brown Slough
60,6/8/2021 14:45,6.78,10.28,AA,James Brown Slough
61,6/8/2021 15:00,6.8,10.26,AA,James Brown Slough
62,6/8/2021 15:15,6.9,10.26,AA,James Brown Slough
63,6/8/2021 15:30,6.86,10.26,AA,James Brown Slough
64,6/8/2021 15:45,6.74,10.28,AA,James Brown Slough
65,6/8/2021 16:00,6.83,10.28,AA,James Brown Slough
66,6/8/2021 16:15,6.84,10.24,AA,James Brown Slough
67,6/8/2021 16:30,6.88,10.22,AA,James Brown Slough
68,6/8/2021 16:45,6.88,10.18,AA,James Brown Slough
69,6/8/2021 17:00,7.01,10.14,AA,James Brown Slough
70,6/8/2021 17:15,6.9,10.14,AA,James Brown Slough
71,6/8/2021 17:30,6.84,10.16,AA,James Brown Slough
72,6/8/2021 17:45,6.82,10.2,AA,James Brown Slough
73,6/8/2021 18:00,6.79,10.2,AA,James Brown Slough
74,6/8/2021 18:15,6.79,10.18,AA,James Brown Slough
75,6/8/2021 18:30,6.79,10.18,AA,James Brown Slough
76,6/8/2021 18:45,6.77,10.22,AA,James Brown Slough
77,6/8/2021 19:00,6.74,10.24,AA,James Brown Slough
78,6/8/2021 19:15,6.74,10.24,AA,James Brown Slough
79,6/8/2021 19:30,6.6,10.22,AA,James Brown Slough
80,6/8/2021 19:45,6.57,10.18,AA,James Brown Slough
81,6/8/2021 20:00,6.57,10.18,AA,James Brown Slough
82,6/8/2021 20:15,6.58,10.16,AA,James Brown Slough
83,6/8/2021 20:30,6.59,10.18,AA,James Brown Slough
84,6/8/2021 20:45,6.58,10.16,AA,James Brown Slough
85,6/8/2021 21:00,6.6,10.16,AA,James Brown Slough
86,6/8/2021 21:15,6.63,10.16,AA,James Brown Slough
87,6/8/2021 21:30,6.65,10.2,AA,James Brown Slough
88,6/8/2021 21:45,6.65,10.18,AA,James Brown Slough
89,6/8/2021 22:00,6.65,10.18,AA,James Brown Slough
90,6/8/2021 22:15,6.68,10.18,AA,James Brown Slough
91,6/8/2021 22:30,6.73,10.18,AA,James Brown Slough
92,6/8/2021 22:45,6.74,10.18,AA,James Brown Slough
93,6/8/2021 23:00,6.73,10.2,AA,James Brown Slough
94,6/8/2021 23:15,6.76,10.2,AA,James Brown Slough
95,6/8/2021 23:30,6.77,10.18,AA,James Brown Slough
96,6/8/2021 23:45,6.76,10.18,AA,James Brown Slough
97,6/9/2021 0:00,6.78,10.22,AA,James Brown Slough
98,6/9/2021 0:15,6.73,10.18,AA,James Brown Slough
99,6/9/2021 0:30,6.68,10.2,AA,James Brown Slough
100,6/9/2021 0:45,6.65,10.18,AA,James Brown Slough
101,6/9/2021 1:00,6.65,10.16,AA,James Brown Slough
102,6/9/2021 1:15,6.62,10.14,AA,James Brown Slough
103,6/9/2021 1:30,6.56,10.12,AA,James Brown Slough
104,6/9/2021 1:45,6.57,10.14,AA,James Brown Slough
