#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
1389,6/22/2021 11:00,7.29,16.4,AC,HMSP Slough
1390,6/22/2021 11:15,8.46,11.58,AC,HMSP Slough
1391,6/22/2021 11:30,8.51,11.12,AC,HMSP Slough
1392,6/22/2021 11:45,8.59,11.14,AC,HMSP Slough
1393,6/22/2021 12:00,8.64,11.16,AC,HMSP Slough
1394,6/22/2021 12:15,8.57,11.16,AC,HMSP Slough
1395,6/22/2021 12:30,8.48,11.16,AC,HMSP Slough
1396,6/22/2021 12:45,8.42,11.16,AC,HMSP Slough
1397,6/22/2021 13:00,8.36,11.18,AC,HMSP Slough
1398,6/22/2021 13:15,8.27,11.2,AC,HMSP Slough
1399,6/22/2021 13:30,8.21,11.24,AC,HMSP Slough
1400,6/22/2021 13:45,8.17,11.28,AC,HMSP Slough
1401,6/22/2021 14:00,8.12,11.38,AC,HMSP Slough
1402,6/22/2021 14:15,8.09,11.46,AC,HMSP Slough
1403,6/22/2021 14:30,7.92,11.6,AC,HMSP Slough
1404,6/22/2021 14:45,7.79,11.76,AC,HMSP Slough
1405,6/22/2021 15:00,7.75,11.88,AC,HMSP Slough
1406,6/22/2021 15:15,7.82,11.96,AC,HMSP Slough
1407,6/22/2021 15:30,7.82,12.06,AC,HMSP Slough
1408,6/22/2021 15:45,8.34,12.14,AC,HMSP Slough
1409,6/22/2021 16:00,8.19,12.24,AC,HMSP Slough
1410,6/22/2021 16:15,8.1,12.36,AC,HMSP Slough
1411,6/22/2021 16:30,8.08,12.5,AC,HMSP Slough
1412,6/22/2021 16:45,8.02,12.64,AC,HMSP Slough
1413,6/22/2021 17:00,8.25,12.78,AC,HMSP Slough
1414,6/22/2021 17:15,8.13,12.92,AC,HMSP Slough
1415,6/22/2021 17:30,8.05,13.04,AC,HMSP Slough
1416,6/22/2021 17:45,7.98,13.14,AC,HMSP Slough
1417,6/22/2021 18:00,7.97,13.22,AC,HMSP Slough
1418,6/22/2021 18:15,7.92,13.28,AC,HMSP Slough
1419,6/22/2021 18:30,7.87,13.32,AC,HMSP Slough
1420,6/22/2021 18:45,7.95,13.34,AC,HMSP Slough
1421,6/22/2021 19:00,8.13,13.32,AC,HMSP Slough
1422,6/22/2021 19:15,8.32,13.26,AC,HMSP Slough
1423,6/22/2021 19:30,8.36,13.16,AC,HMSP Slough
1424,6/22/2021 19:45,8.35,13.06,AC,HMSP Slough
1425,6/22/2021 20:00,8.31,12.92,AC,HMSP Slough
1426,6/22/2021 20:15,8.33,12.82,AC,HMSP Slough
1427,6/22/2021 20:30,8.32,12.7,AC,HMSP Slough
1428,6/22/2021 20:45,8.27,12.6,AC,HMSP Slough
1429,6/22/2021 21:00,8.31,12.52,AC,HMSP Slough
1430,6/22/2021 21:15,8.28,12.42,AC,HMSP Slough
1431,6/22/2021 21:30,8.3,12.36,AC,HMSP Slough
1432,6/22/2021 21:45,8.35,12.28,AC,HMSP Slough
1433,6/22/2021 22:00,8.35,12.2,AC,HMSP Slough
1434,6/22/2021 22:15,8.36,12.14,AC,HMSP Slough
1435,6/22/2021 22:30,8.37,12.06,AC,HMSP Slough
1436,6/22/2021 22:45,8.36,12,AC,HMSP Slough
1437,6/22/2021 23:00,8.39,11.92,AC,HMSP Slough
1438,6/22/2021 23:15,8.4,11.86,AC,HMSP Slough
1439,6/22/2021 23:30,8.4,11.82,AC,HMSP Slough
1440,6/22/2021 23:45,8.41,11.74,AC,HMSP Slough
1441,6/23/2021 0:00,8.4,11.68,AC,HMSP Slough
1442,6/23/2021 0:15,8.42,11.64,AC,HMSP Slough
1443,6/23/2021 0:30,8.45,11.58,AC,HMSP Slough
1444,6/23/2021 0:45,8.47,11.52,AC,HMSP Slough
1445,6/23/2021 1:00,8.46,11.46,AC,HMSP Slough
1446,6/23/2021 1:15,8.48,11.42,AC,HMSP Slough
1447,6/23/2021 1:30,8.5,11.36,AC,HMSP Slough
1448,6/23/2021 1:45,8.49,11.3,AC,HMSP Slough
1449,6/23/2021 2:00,8.52,11.24,AC,HMSP Slough
1450,6/23/2021 2:15,8.56,11.2,AC,HMSP Slough
1451,6/23/2021 2:30,8.59,11.14,AC,HMSP Slough
1452,6/23/2021 2:45,8.62,11.08,AC,HMSP Slough
1453,6/23/2021 3:00,8.64,11.02,AC,HMSP Slough
1454,6/23/2021 3:15,8.65,10.98,AC,HMSP Slough
1455,6/23/2021 3:30,8.65,10.92,AC,HMSP Slough
1456,6/23/2021 3:45,8.69,10.88,AC,HMSP Slough
1457,6/23/2021 4:00,8.69,10.82,AC,HMSP Slough
1458,6/23/2021 4:15,8.7,10.78,AC,HMSP Slough
1459,6/23/2021 4:30,8.71,10.74,AC,HMSP Slough
1460,6/23/2021 4:45,8.71,10.7,AC,HMSP Slough
1461,6/23/2021 5:00,8.77,10.64,AC,HMSP Slough
1462,6/23/2021 5:15,8.79,10.6,AC,HMSP Slough
1463,6/23/2021 5:30,8.74,10.58,AC,HMSP Slough
1464,6/23/2021 5:45,8.8,10.54,AC,HMSP Slough
1465,6/23/2021 6:00,8.78,10.5,AC,HMSP Slough
1466,6/23/2021 6:15,8.78,10.48,AC,HMSP Slough
1467,6/23/2021 6:30,8.9,10.42,AC,HMSP Slough
1468,6/23/2021 6:45,8.84,10.4,AC,HMSP Slough
1469,6/23/2021 7:00,8.85,10.36,AC,HMSP Slough
1470,6/23/2021 7:15,8.9,10.34,AC,HMSP Slough
1471,6/23/2021 7:30,8.95,10.32,AC,HMSP Slough
1472,6/23/2021 7:45,8.89,10.32,AC,HMSP Slough
1473,6/23/2021 8:00,8.9,10.32,AC,HMSP Slough
1474,6/23/2021 8:15,8.92,10.32,AC,HMSP Slough
1475,6/23/2021 8:30,8.97,10.32,AC,HMSP Slough
1476,6/23/2021 8:45,9,10.3,AC,HMSP Slough
1477,6/23/2021 9:00,9.05,10.3,AC,HMSP Slough
1478,6/23/2021 9:15,9.04,10.3,AC,HMSP Slough
1479,6/23/2021 9:30,8.97,10.3,AC,HMSP Slough
1480,6/23/2021 9:45,8.93,10.3,AC,HMSP Slough
1481,6/23/2021 10:00,8.91,10.32,AC,HMSP Slough
1482,6/23/2021 10:15,8.92,10.34,AC,HMSP Slough
1483,6/23/2021 10:30,8.87,10.38,AC,HMSP Slough
1484,6/23/2021 10:45,8.84,10.42,AC,HMSP Slough
1485,6/23/2021 11:00,8.78,10.46,AC,HMSP Slough
1486,6/23/2021 11:15,8.81,10.48,AC,HMSP Slough
1487,6/23/2021 11:30,8.73,10.52,AC,HMSP Slough
1488,6/23/2021 11:45,8.83,10.54,AC,HMSP Slough
1489,6/23/2021 12:00,8.76,10.56,AC,HMSP Slough
1490,6/23/2021 12:15,8.81,10.6,AC,HMSP Slough
1491,6/23/2021 12:30,8.76,10.64,AC,HMSP Slough
1492,6/23/2021 12:45,8.69,10.66,AC,HMSP Slough
1493,6/23/2021 13:00,8.58,10.76,AC,HMSP Slough
1494,6/23/2021 13:15,8.61,10.78,AC,HMSP Slough
1495,6/23/2021 13:30,8.54,10.8,AC,HMSP Slough
1496,6/23/2021 13:45,8.63,10.92,AC,HMSP Slough
1497,6/23/2021 14:00,8.56,11.06,AC,HMSP Slough
1498,6/23/2021 14:15,8.52,11.14,AC,HMSP Slough
1499,6/23/2021 14:30,8.53,11.28,AC,HMSP Slough
1500,6/23/2021 14:45,8.52,11.42,AC,HMSP Slough
1501,6/23/2021 15:00,8.44,11.48,AC,HMSP Slough
