#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
163,6/9/2021 16:30,5.51,16.14,AH,Martin Slough
164,6/9/2021 16:45,5.52,15.08,AH,Martin Slough
165,6/9/2021 17:00,5.2,14.92,AH,Martin Slough
166,6/9/2021 17:15,5.29,14.88,AH,Martin Slough
167,6/9/2021 17:30,5.36,14.86,AH,Martin Slough
168,6/9/2021 17:45,5.33,14.86,AH,Martin Slough
169,6/9/2021 18:00,5.33,14.86,AH,Martin Slough
170,6/9/2021 18:15,5.2,14.86,AH,Martin Slough
171,6/9/2021 18:30,5.16,14.86,AH,Martin Slough
172,6/9/2021 18:45,5.18,14.86,AH,Martin Slough
173,6/9/2021 19:00,5.24,14.86,AH,Martin Slough
174,6/9/2021 19:15,5.3,14.88,AH,Martin Slough
175,6/9/2021 19:30,5.32,14.88,AH,Martin Slough
176,6/9/2021 19:45,5.3,14.88,AH,Martin Slough
177,6/9/2021 20:00,5.3,14.88,AH,Martin Slough
178,6/9/2021 20:15,5.27,14.88,AH,Martin Slough
179,6/9/2021 20:30,5.27,14.88,AH,Martin Slough
180,6/9/2021 20:45,5.23,14.88,AH,Martin Slough
181,6/9/2021 21:00,5.19,14.88,AH,Martin Slough
182,6/9/2021 21:15,5.19,14.88,AH,Martin Slough
183,6/9/2021 21:30,5.18,14.86,AH,Martin Slough
184,6/9/2021 21:45,5.16,14.86,AH,Martin Slough
185,6/9/2021 22:00,5.15,14.86,AH,Martin Slough
186,6/9/2021 22:15,5.11,14.86,AH,Martin Slough
187,6/9/2021 22:30,5.07,14.86,AH,Martin Slough
188,6/9/2021 22:45,5.05,14.86,AH,Martin Slough
189,6/9/2021 23:00,4.98,14.86,AH,Martin Slough
190,6/9/2021 23:15,4.95,14.86,AH,Martin Slough
191,6/9/2021 23:30,4.91,14.86,AH,Martin Slough
192,6/9/2021 23:45,4.83,14.84,AH,Martin Slough
193,6/10/2021 0:00,4.74,14.84,AH,Martin Slough
194,6/10/2021 0:15,4.64,14.84,AH,Martin Slough
195,6/10/2021 0:30,4.45,14.84,AH,Martin Slough
196,6/10/2021 0:45,4.37,14.84,AH,Martin Slough
197,6/10/2021 1:00,4.28,14.82,AH,Martin Slough
198,6/10/2021 1:15,4.1,14.82,AH,Martin Slough
199,6/10/2021 1:30,3.96,14.82,AH,Martin Slough
200,6/10/2021 1:45,3.76,14.8,AH,Martin Slough
