#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
208,7/14/2021 14:45,9.9,10.72,P,Savage Slough
209,7/14/2021 15:00,9.84,10.46,P,Savage Slough
210,7/14/2021 15:15,9.61,10.52,P,Savage Slough
211,7/14/2021 15:30,9.81,10.56,P,Savage Slough
212,7/14/2021 15:45,9.98,10.62,P,Savage Slough
213,7/14/2021 16:00,10.11,10.64,P,Savage Slough
214,7/14/2021 16:15,10.29,10.7,P,Savage Slough
215,7/14/2021 16:30,10.29,10.78,P,Savage Slough
216,7/14/2021 16:45,10.58,10.84,P,Savage Slough
217,7/14/2021 17:00,10.43,10.88,P,Savage Slough
218,7/14/2021 17:15,10.36,10.94,P,Savage Slough
219,7/14/2021 17:30,10.3,10.94,P,Savage Slough
220,7/14/2021 17:45,10.27,10.96,P,Savage Slough
221,7/14/2021 18:00,10.24,11,P,Savage Slough
222,7/14/2021 18:15,10.25,10.98,P,Savage Slough
223,7/14/2021 18:30,10.27,10.96,P,Savage Slough
224,7/14/2021 18:45,10.25,10.9,P,Savage Slough
225,7/14/2021 19:00,10.22,10.82,P,Savage Slough
226,7/14/2021 19:15,10.21,10.74,P,Savage Slough
227,7/14/2021 19:30,10.17,10.66,P,Savage Slough
228,7/14/2021 19:45,10.11,10.56,P,Savage Slough
229,7/14/2021 20:00,10,10.46,P,Savage Slough
230,7/14/2021 20:15,9.83,10.34,P,Savage Slough
231,7/14/2021 20:30,9.73,10.2,P,Savage Slough
232,7/14/2021 20:45,9.61,10.08,P,Savage Slough
233,7/14/2021 21:00,9.48,9.94,P,Savage Slough
234,7/14/2021 21:15,9.35,9.8,P,Savage Slough
235,7/14/2021 21:30,9.19,9.66,P,Savage Slough
236,7/14/2021 21:45,9.01,9.5,P,Savage Slough
237,7/14/2021 22:00,8.79,9.34,P,Savage Slough
238,7/14/2021 22:15,8.6,9.22,P,Savage Slough
239,7/14/2021 22:30,8.56,9.08,P,Savage Slough
240,7/14/2021 22:45,8.47,8.98,P,Savage Slough
241,7/14/2021 23:00,8.47,8.88,P,Savage Slough
242,7/14/2021 23:15,8.43,8.8,P,Savage Slough
243,7/14/2021 23:30,8.35,8.7,P,Savage Slough
244,7/14/2021 23:45,8.34,8.62,P,Savage Slough
245,7/15/2021 0:00,8.34,8.56,P,Savage Slough
246,7/15/2021 0:15,8.41,8.48,P,Savage Slough
247,7/15/2021 0:30,8.42,8.42,P,Savage Slough
248,7/15/2021 0:45,8.32,8.36,P,Savage Slough
249,7/15/2021 1:00,8.37,8.3,P,Savage Slough
250,7/15/2021 1:15,8.3,8.26,P,Savage Slough
251,7/15/2021 1:30,8.33,8.22,P,Savage Slough
252,7/15/2021 1:45,8.34,8.18,P,Savage Slough
253,7/15/2021 2:00,8.37,8.16,P,Savage Slough
254,7/15/2021 2:15,8.29,8.14,P,Savage Slough
255,7/15/2021 2:30,8.27,8.1,P,Savage Slough
256,7/15/2021 2:45,8.28,8.08,P,Savage Slough
257,7/15/2021 3:00,8.3,8.06,P,Savage Slough
258,7/15/2021 3:15,8.3,8.02,P,Savage Slough
259,7/15/2021 3:30,8.34,8,P,Savage Slough
260,7/15/2021 3:45,8.39,8,P,Savage Slough
261,7/15/2021 4:00,8.43,7.98,P,Savage Slough
262,7/15/2021 4:15,8.41,7.96,P,Savage Slough
263,7/15/2021 4:30,8.48,7.96,P,Savage Slough
264,7/15/2021 4:45,8.44,7.96,P,Savage Slough
265,7/15/2021 5:00,8.44,7.94,P,Savage Slough
266,7/15/2021 5:15,8.46,7.94,P,Savage Slough
267,7/15/2021 5:30,8.47,7.94,P,Savage Slough
268,7/15/2021 5:45,8.47,7.94,P,Savage Slough
269,7/15/2021 6:00,8.47,7.94,P,Savage Slough
270,7/15/2021 6:15,8.48,7.96,P,Savage Slough
271,7/15/2021 6:30,8.49,7.96,P,Savage Slough
272,7/15/2021 6:45,8.52,7.96,P,Savage Slough
273,7/15/2021 7:00,8.52,7.98,P,Savage Slough
274,7/15/2021 7:15,8.53,8.02,P,Savage Slough
275,7/15/2021 7:30,8.59,8.06,P,Savage Slough
276,7/15/2021 7:45,8.69,8.08,P,Savage Slough
277,7/15/2021 8:00,8.74,8.14,P,Savage Slough
278,7/15/2021 8:15,8.82,8.18,P,Savage Slough
279,7/15/2021 8:30,8.92,8.24,P,Savage Slough
280,7/15/2021 8:45,8.99,8.3,P,Savage Slough
281,7/15/2021 9:00,9.09,8.36,P,Savage Slough
282,7/15/2021 9:15,9.14,8.42,P,Savage Slough
283,7/15/2021 9:30,9.22,8.48,P,Savage Slough
284,7/15/2021 9:45,9.26,8.54,P,Savage Slough
285,7/15/2021 10:00,9.31,8.6,P,Savage Slough
286,7/15/2021 10:15,9.33,8.66,P,Savage Slough
287,7/15/2021 10:30,9.42,8.72,P,Savage Slough
288,7/15/2021 10:45,9.49,8.8,P,Savage Slough
289,7/15/2021 11:00,9.59,8.86,P,Savage Slough
290,7/15/2021 11:15,9.65,8.96,P,Savage Slough
291,7/15/2021 11:30,9.77,9.04,P,Savage Slough
