#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
15,9/21/2021 13:30,3.9,15.04,Z,Off-channel LBK Skagit
16,9/21/2021 13:45,3.51,14.92,Z,Off-channel LBK Skagit
17,9/21/2021 14:00,3.28,14.94,Z,Off-channel LBK Skagit
18,9/21/2021 14:15,3.03,14.98,Z,Off-channel LBK Skagit
19,9/21/2021 14:30,2.89,15,Z,Off-channel LBK Skagit
20,9/21/2021 14:45,2.9,15,Z,Off-channel LBK Skagit
21,9/21/2021 15:00,2.81,14.98,Z,Off-channel LBK Skagit
22,9/21/2021 15:15,2.71,14.94,Z,Off-channel LBK Skagit
23,9/21/2021 15:30,2.59,14.9,Z,Off-channel LBK Skagit
24,9/21/2021 15:45,2.56,14.88,Z,Off-channel LBK Skagit
25,9/21/2021 16:00,2.39,14.86,Z,Off-channel LBK Skagit
26,9/21/2021 16:15,2.31,14.86,Z,Off-channel LBK Skagit
27,9/21/2021 16:30,2.18,14.84,Z,Off-channel LBK Skagit
28,9/21/2021 16:45,2.09,14.82,Z,Off-channel LBK Skagit
29,9/21/2021 17:00,1.99,14.82,Z,Off-channel LBK Skagit
30,9/21/2021 17:15,1.87,14.82,Z,Off-channel LBK Skagit
31,9/21/2021 17:30,1.8,14.8,Z,Off-channel LBK Skagit
32,9/21/2021 17:45,1.65,14.8,Z,Off-channel LBK Skagit
33,9/21/2021 18:00,1.47,14.8,Z,Off-channel LBK Skagit
34,9/21/2021 18:15,1.51,14.8,Z,Off-channel LBK Skagit
35,9/21/2021 18:30,1.48,14.8,Z,Off-channel LBK Skagit
36,9/21/2021 18:45,1.38,14.8,Z,Off-channel LBK Skagit
37,9/21/2021 19:00,1.32,14.82,Z,Off-channel LBK Skagit
38,9/21/2021 19:15,1.24,14.84,Z,Off-channel LBK Skagit
39,9/21/2021 19:30,1.18,14.86,Z,Off-channel LBK Skagit
40,9/21/2021 19:45,1.22,14.84,Z,Off-channel LBK Skagit
41,9/21/2021 20:00,1.15,14.84,Z,Off-channel LBK Skagit
42,9/21/2021 20:15,1.07,14.82,Z,Off-channel LBK Skagit
43,9/21/2021 20:30,1.05,14.8,Z,Off-channel LBK Skagit
44,9/21/2021 20:45,1.04,14.78,Z,Off-channel LBK Skagit
45,9/21/2021 21:00,0.97,14.74,Z,Off-channel LBK Skagit
46,9/21/2021 21:15,0.88,14.72,Z,Off-channel LBK Skagit
47,9/21/2021 21:30,0.84,14.7,Z,Off-channel LBK Skagit
48,9/21/2021 21:45,0.86,14.68,Z,Off-channel LBK Skagit
49,9/21/2021 22:00,0.84,14.66,Z,Off-channel LBK Skagit
50,9/21/2021 22:15,0.8,14.62,Z,Off-channel LBK Skagit
51,9/21/2021 22:30,0.76,14.6,Z,Off-channel LBK Skagit
52,9/21/2021 22:45,0.78,14.58,Z,Off-channel LBK Skagit
53,9/21/2021 23:00,0.65,14.56,Z,Off-channel LBK Skagit
54,9/21/2021 23:15,0.76,14.56,Z,Off-channel LBK Skagit
55,9/21/2021 23:30,0.82,14.54,Z,Off-channel LBK Skagit
56,9/21/2021 23:45,0.79,14.52,Z,Off-channel LBK Skagit
57,9/22/2021 0:00,0.73,14.5,Z,Off-channel LBK Skagit
