Date,Time,ms,LEVEL,TEMPERATURE
6/11/2021,4:00:00 PM,0,0.8085,11.74
6/11/2021,4:15:00 PM,0,0.8082,11.744
6/11/2021,4:30:00 PM,0,0.8086,11.75
6/11/2021,4:45:00 PM,0,0.8072,11.758
6/11/2021,5:00:00 PM,0,0.8089,11.767
6/11/2021,5:15:00 PM,0,0.8092,11.773
6/11/2021,5:30:00 PM,0,0.8082,11.782
6/11/2021,5:45:00 PM,0,0.8095,11.789
6/11/2021,6:00:00 PM,0,0.8099,11.8
6/11/2021,6:15:00 PM,0,0.8104,11.808
6/11/2021,6:30:00 PM,0,0.81,11.815
6/11/2021,6:45:00 PM,0,0.8099,11.826
6/11/2021,7:00:00 PM,0,0.8092,11.833
6/11/2021,7:15:00 PM,0,0.8081,11.839
6/11/2021,7:30:00 PM,0,0.8078,11.848
6/11/2021,7:45:00 PM,0,0.8064,11.864
6/11/2021,8:00:00 PM,0,0.807,11.873
6/11/2021,8:15:00 PM,0,0.8061,11.879
6/11/2021,8:30:00 PM,0,0.8062,11.887
6/11/2021,8:45:00 PM,0,0.8065,11.893
6/11/2021,9:00:00 PM,0,0.8067,11.897
6/11/2021,9:15:00 PM,0,0.8052,11.895
6/11/2021,9:30:00 PM,0,0.8037,11.893
6/11/2021,9:45:00 PM,0,0.8051,11.896
6/11/2021,10:00:00 PM,0,0.8035,11.89
6/11/2021,10:15:00 PM,0,0.8024,11.885
6/11/2021,10:30:00 PM,0,0.8032,11.877
6/11/2021,10:45:00 PM,0,0.801,11.864
6/11/2021,11:00:00 PM,0,0.8001,11.849
6/11/2021,11:15:00 PM,0,0.7997,11.833
6/11/2021,11:30:00 PM,0,0.8011,11.812
6/11/2021,11:45:00 PM,0,0.8008,11.793
6/12/2021,12:00:00 AM,0,0.7998,11.772
6/12/2021,12:15:00 AM,0,0.7984,11.75
6/12/2021,12:30:00 AM,0,0.7968,11.721
6/12/2021,12:45:00 AM,0,0.7921,11.685
6/12/2021,1:00:00 AM,0,0.789,11.647
6/12/2021,1:15:00 AM,0,0.8011,11.607
6/12/2021,1:30:00 AM,0,0.8063,11.569
6/12/2021,1:45:00 AM,0,0.8028,11.538
6/12/2021,2:00:00 AM,0,0.8037,11.51
6/12/2021,2:15:00 AM,0,0.8006,11.484
6/12/2021,2:30:00 AM,0,0.8016,11.458
6/12/2021,2:45:00 AM,0,0.8019,11.436
6/12/2021,3:00:00 AM,0,0.8021,11.412
6/12/2021,3:15:00 AM,0,0.8011,11.386
6/12/2021,3:30:00 AM,0,0.8015,11.362
6/12/2021,3:45:00 AM,0,0.8002,11.336
6/12/2021,4:00:00 AM,0,0.8021,11.315
6/12/2021,4:15:00 AM,0,0.8011,11.289
6/12/2021,4:30:00 AM,0,0.801,11.272
6/12/2021,4:45:00 AM,0,0.8011,11.244
6/12/2021,5:00:00 AM,0,0.8018,11.223
6/12/2021,5:15:00 AM,0,0.8011,11.206
6/12/2021,5:30:00 AM,0,0.8006,11.185
6/12/2021,5:45:00 AM,0,0.8015,11.169
6/12/2021,6:00:00 AM,0,0.804,11.149
6/12/2021,6:15:00 AM,0,0.805,11.138
6/12/2021,6:30:00 AM,0,0.8055,11.119
6/12/2021,6:45:00 AM,0,0.8036,11.092
6/12/2021,7:00:00 AM,0,0.8037,11.077
6/12/2021,7:15:00 AM,0,0.8019,11.051
6/12/2021,7:30:00 AM,0,0.8009,11.037
6/12/2021,7:45:00 AM,0,0.7988,11.011
6/12/2021,8:00:00 AM,0,0.798,11.008
6/12/2021,8:15:00 AM,0,0.7974,11.003
6/12/2021,8:30:00 AM,0,0.8007,10.991
6/12/2021,8:45:00 AM,0,0.7953,10.977
6/12/2021,9:00:00 AM,0,0.796,10.974
6/12/2021,9:15:00 AM,0,0.7957,10.974
6/12/2021,9:30:00 AM,0,0.7956,10.97
6/12/2021,9:45:00 AM,0,0.7964,10.969
6/12/2021,10:00:00 AM,0,0.7971,10.987
6/12/2021,10:15:00 AM,0,0.7964,11.002
6/12/2021,10:30:00 AM,0,0.7972,11.019
6/12/2021,10:45:00 AM,0,0.7975,11.048
6/12/2021,11:00:00 AM,0,0.7985,11.074
6/12/2021,11:15:00 AM,0,0.8002,11.095
6/12/2021,11:30:00 AM,0,0.801,11.119
6/12/2021,11:45:00 AM,0,0.802,11.155
6/12/2021,12:00:00 PM,0,0.806,11.202
6/12/2021,12:15:00 PM,0,0.809,11.25
6/12/2021,12:30:00 PM,0,0.8111,11.298
6/12/2021,12:45:00 PM,0,0.81,11.355
6/12/2021,1:00:00 PM,0,0.8104,11.423
6/12/2021,1:15:00 PM,0,0.8082,11.485
6/12/2021,1:30:00 PM,0,0.8089,11.553
6/12/2021,1:45:00 PM,0,0.8088,11.632
6/12/2021,2:00:00 PM,0,0.8081,11.724
6/12/2021,2:15:00 PM,0,0.8073,11.817
6/12/2021,2:30:00 PM,0,0.8077,11.911
6/12/2021,2:45:00 PM,0,0.8073,12.006
6/12/2021,3:00:00 PM,0,0.8059,12.086
6/12/2021,3:15:00 PM,0,0.8057,12.137
6/12/2021,3:30:00 PM,0,0.805,12.173
6/12/2021,3:45:00 PM,0,0.8058,12.203
6/12/2021,4:00:00 PM,0,0.8058,12.223
6/12/2021,4:15:00 PM,0,0.8052,12.242
6/12/2021,4:30:00 PM,0,0.8028,12.279
6/12/2021,4:45:00 PM,0,0.8018,12.315
6/12/2021,5:00:00 PM,0,0.7995,12.359
6/12/2021,5:15:00 PM,0,0.793,12.407
6/12/2021,5:30:00 PM,0,0.7869,12.471
6/12/2021,5:45:00 PM,0,0.7828,12.541
6/12/2021,6:00:00 PM,0,0.7804,12.609
6/12/2021,6:15:00 PM,0,0.7797,12.68
6/12/2021,6:30:00 PM,0,0.7797,12.751
6/12/2021,6:45:00 PM,0,0.7698,12.821
6/12/2021,7:00:00 PM,0,0.7656,12.891
6/12/2021,7:15:00 PM,0,0.7648,12.969
6/12/2021,7:30:00 PM,0,0.7615,13.047
6/12/2021,7:45:00 PM,0,0.7592,13.12
6/12/2021,8:00:00 PM,0,0.759,13.163
6/12/2021,8:15:00 PM,0,0.7585,13.215
6/12/2021,8:30:00 PM,0,0.7562,13.255
6/12/2021,8:45:00 PM,0,0.7563,13.289
6/12/2021,9:00:00 PM,0,0.755,13.325
6/12/2021,9:15:00 PM,0,0.7566,13.361
6/12/2021,9:30:00 PM,0,0.7554,13.441
6/12/2021,9:45:00 PM,0,0.7551,13.488
6/12/2021,10:00:00 PM,0,0.7562,13.488
6/12/2021,10:15:00 PM,0,0.7543,13.492
6/12/2021,10:30:00 PM,0,0.7552,13.471
6/12/2021,10:45:00 PM,0,0.754,13.445
6/12/2021,11:00:00 PM,0,0.7538,13.406
6/12/2021,11:15:00 PM,0,0.749,13.363
6/12/2021,11:30:00 PM,0,0.743,13.319
6/12/2021,11:45:00 PM,0,0.7425,13.277
6/13/2021,12:00:00 AM,0,0.7431,13.236
6/13/2021,12:15:00 AM,0,0.7441,13.206
6/13/2021,12:30:00 AM,0,0.745,13.173
6/13/2021,12:45:00 AM,0,0.7432,13.137
6/13/2021,1:00:00 AM,0,0.7418,13.1
6/13/2021,1:15:00 AM,0,0.7408,13.061
6/13/2021,1:30:00 AM,0,0.7484,13.011
6/13/2021,1:45:00 AM,0,0.7512,12.966
6/13/2021,2:00:00 AM,0,0.7567,12.93
6/13/2021,2:15:00 AM,0,0.7612,12.894
6/13/2021,2:30:00 AM,0,0.7651,12.861
6/13/2021,2:45:00 AM,0,0.7723,12.83
6/13/2021,3:00:00 AM,0,0.7758,12.803
6/13/2021,3:15:00 AM,0,0.7787,12.772
6/13/2021,3:30:00 AM,0,0.7821,12.744
6/13/2021,3:45:00 AM,0,0.7819,12.711
6/13/2021,4:00:00 AM,0,0.7851,12.679
6/13/2021,4:15:00 AM,0,0.785,12.645
6/13/2021,4:30:00 AM,0,0.7873,12.613
6/13/2021,4:45:00 AM,0,0.7904,12.576
6/13/2021,5:00:00 AM,0,0.79,12.536
6/13/2021,5:15:00 AM,0,0.7871,12.496
6/13/2021,5:30:00 AM,0,0.7874,12.462
6/13/2021,5:45:00 AM,0,0.7875,12.431
6/13/2021,6:00:00 AM,0,0.7798,12.405
6/13/2021,6:15:00 AM,0,0.7835,12.385
6/13/2021,6:30:00 AM,0,0.7863,12.36
6/13/2021,6:45:00 AM,0,0.7869,12.344
6/13/2021,7:00:00 AM,0,0.7874,12.324
6/13/2021,7:15:00 AM,0,0.7887,12.307
6/13/2021,7:30:00 AM,0,0.7869,12.294
6/13/2021,7:45:00 AM,0,0.7872,12.279
6/13/2021,8:00:00 AM,0,0.7872,12.267
6/13/2021,8:15:00 AM,0,0.788,12.252
6/13/2021,8:30:00 AM,0,0.7866,12.24
6/13/2021,8:45:00 AM,0,0.7867,12.226
6/13/2021,9:00:00 AM,0,0.7873,12.213
6/13/2021,9:15:00 AM,0,0.7884,12.2
6/13/2021,9:30:00 AM,0,0.7876,12.186
6/13/2021,9:45:00 AM,0,0.786,12.179
6/13/2021,10:00:00 AM,0,0.7864,12.174
6/13/2021,10:15:00 AM,0,0.787,12.169
6/13/2021,10:30:00 AM,0,0.7866,12.16
6/13/2021,10:45:00 AM,0,0.791,12.157
6/13/2021,11:00:00 AM,0,0.7923,12.153
6/13/2021,11:15:00 AM,0,0.796,12.15
6/13/2021,11:30:00 AM,0,0.7871,12.145
6/13/2021,11:45:00 AM,0,0.789,12.147
6/13/2021,12:00:00 PM,0,0.7892,12.147
6/13/2021,12:15:00 PM,0,0.7891,12.158
6/13/2021,12:30:00 PM,0,0.7914,12.175
6/13/2021,12:45:00 PM,0,0.792,12.188
6/13/2021,1:00:00 PM,0,0.7943,12.193
6/13/2021,1:15:00 PM,0,0.7949,12.207
6/13/2021,1:30:00 PM,0,0.7945,12.216
6/13/2021,1:45:00 PM,0,0.7957,12.221
6/13/2021,2:00:00 PM,0,0.796,12.226
6/13/2021,2:15:00 PM,0,0.7953,12.233
6/13/2021,2:30:00 PM,0,0.7963,12.24
6/13/2021,2:45:00 PM,0,0.794,12.251
6/13/2021,3:00:00 PM,0,0.7934,12.26
6/13/2021,3:15:00 PM,0,0.7922,12.267
6/13/2021,3:30:00 PM,0,0.7918,12.274
6/13/2021,3:45:00 PM,0,0.792,12.281
6/13/2021,4:00:00 PM,0,0.7916,12.287
6/13/2021,4:15:00 PM,0,0.7918,12.293
6/13/2021,4:30:00 PM,0,0.791,12.297
6/13/2021,4:45:00 PM,0,0.7906,12.301
6/13/2021,5:00:00 PM,0,0.7876,12.308
6/13/2021,5:15:00 PM,0,0.7897,12.316
6/13/2021,5:30:00 PM,0,0.794,12.321
6/13/2021,5:45:00 PM,0,0.7931,12.33
6/13/2021,6:00:00 PM,0,0.7948,12.335
6/13/2021,6:15:00 PM,0,0.7968,12.341
6/13/2021,6:30:00 PM,0,0.7928,12.351
6/13/2021,6:45:00 PM,0,0.7921,12.361
6/13/2021,7:00:00 PM,0,0.7925,12.38
6/13/2021,7:15:00 PM,0,0.7932,12.385
6/13/2021,7:30:00 PM,0,0.7949,12.391
6/13/2021,7:45:00 PM,0,0.7956,12.393
6/13/2021,8:00:00 PM,0,0.7971,12.394
6/13/2021,8:15:00 PM,0,0.796,12.396
6/13/2021,8:30:00 PM,0,0.7975,12.394
6/13/2021,8:45:00 PM,0,0.7915,12.394
6/13/2021,9:00:00 PM,0,0.7939,12.401
6/13/2021,9:15:00 PM,0,0.7952,12.407
6/13/2021,9:30:00 PM,0,0.7948,12.417
6/13/2021,9:45:00 PM,0,0.7949,12.423
6/13/2021,10:00:00 PM,0,0.7965,12.422
6/13/2021,10:15:00 PM,0,0.793,12.42
6/13/2021,10:30:00 PM,0,0.7948,12.415
6/13/2021,10:45:00 PM,0,0.7906,12.41
6/13/2021,11:00:00 PM,0,0.7916,12.404
6/13/2021,11:15:00 PM,0,0.791,12.397
6/13/2021,11:30:00 PM,0,0.7933,12.392
6/13/2021,11:45:00 PM,0,0.7926,12.384
6/14/2021,12:00:00 AM,0,0.7925,12.374
6/14/2021,12:15:00 AM,0,0.7907,12.369
6/14/2021,12:30:00 AM,0,0.7967,12.361
6/14/2021,12:45:00 AM,0,0.7918,12.355
6/14/2021,1:00:00 AM,0,0.7947,12.345
6/14/2021,1:15:00 AM,0,0.7966,12.34
6/14/2021,1:30:00 AM,0,0.8015,12.328
6/14/2021,1:45:00 AM,0,0.802,12.321
6/14/2021,2:00:00 AM,0,0.7982,12.311
6/14/2021,2:15:00 AM,0,0.7976,12.302
6/14/2021,2:30:00 AM,0,0.7984,12.291
6/14/2021,2:45:00 AM,0,0.8015,12.28
6/14/2021,3:00:00 AM,0,0.7963,12.269
6/14/2021,3:15:00 AM,0,0.7934,12.254
6/14/2021,3:30:00 AM,0,0.7948,12.242
6/14/2021,3:45:00 AM,0,0.7939,12.229
6/14/2021,4:00:00 AM,0,0.7941,12.217
6/14/2021,4:15:00 AM,0,0.801,12.203
6/14/2021,4:30:00 AM,0,0.7966,12.189
6/14/2021,4:45:00 AM,0,0.7986,12.171
6/14/2021,5:00:00 AM,0,0.7994,12.156
6/14/2021,5:15:00 AM,0,0.7967,12.141
6/14/2021,5:30:00 AM,0,0.797,12.13
6/14/2021,5:45:00 AM,0,0.7965,12.115
6/14/2021,6:00:00 AM,0,0.7953,12.101
6/14/2021,6:15:00 AM,0,0.7957,12.086
6/14/2021,6:30:00 AM,0,0.7939,12.075
6/14/2021,6:45:00 AM,0,0.7928,12.061
6/14/2021,7:00:00 AM,0,0.7942,12.052
6/14/2021,7:15:00 AM,0,0.793,12.042
6/14/2021,7:30:00 AM,0,0.7965,12.033
6/14/2021,7:45:00 AM,0,0.7962,12.027
6/14/2021,8:00:00 AM,0,0.7951,12.019
6/14/2021,8:15:00 AM,0,0.7979,12.013
6/14/2021,8:30:00 AM,0,0.7979,12.007
6/14/2021,8:45:00 AM,0,0.8002,12.002
6/14/2021,9:00:00 AM,0,0.7968,12.001
6/14/2021,9:15:00 AM,0,0.7962,11.996
6/14/2021,9:30:00 AM,0,0.7993,11.991
6/14/2021,9:45:00 AM,0,0.7975,11.992
6/14/2021,10:00:00 AM,0,0.7977,12
6/14/2021,10:15:00 AM,0,0.7964,12.003
6/14/2021,10:30:00 AM,0,0.7971,12.017
6/14/2021,10:45:00 AM,0,0.7968,12.036
6/14/2021,11:00:00 AM,0,0.7992,12.032
6/14/2021,11:15:00 AM,0,0.7953,12.03
6/14/2021,11:30:00 AM,0,0.7932,12.029
6/14/2021,11:45:00 AM,0,0.7978,12.028
6/14/2021,12:00:00 PM,0,0.7943,12.031
6/14/2021,12:15:00 PM,0,0.7937,12.033
6/14/2021,12:30:00 PM,0,0.7936,12.036
6/14/2021,12:45:00 PM,0,0.7937,12.04
6/14/2021,1:00:00 PM,0,0.7949,12.043
6/14/2021,1:15:00 PM,0,0.7974,12.044
6/14/2021,1:30:00 PM,0,0.802,12.05
6/14/2021,1:45:00 PM,0,0.8001,12.061
6/14/2021,2:00:00 PM,0,0.7997,12.072
6/14/2021,2:15:00 PM,0,0.7979,12.081
6/14/2021,2:30:00 PM,0,0.8006,12.094
6/14/2021,2:45:00 PM,0,0.8022,12.112
6/14/2021,3:00:00 PM,0,0.8006,12.132
6/14/2021,3:15:00 PM,0,0.8007,12.143
6/14/2021,3:30:00 PM,0,0.8001,12.155
6/14/2021,3:45:00 PM,0,0.7994,12.171
6/14/2021,4:00:00 PM,0,0.7998,12.189
6/14/2021,4:15:00 PM,0,0.7993,12.202
6/14/2021,4:30:00 PM,0,0.8,12.214
6/14/2021,4:45:00 PM,0,0.8021,12.227
6/14/2021,5:00:00 PM,0,0.7994,12.242
6/14/2021,5:15:00 PM,0,0.7992,12.255
6/14/2021,5:30:00 PM,0,0.7985,12.27
6/14/2021,5:45:00 PM,0,0.7991,12.283
6/14/2021,6:00:00 PM,0,0.8043,12.297
6/14/2021,6:15:00 PM,0,0.8004,12.309
6/14/2021,6:30:00 PM,0,0.8011,12.317
6/14/2021,6:45:00 PM,0,0.8003,12.325
6/14/2021,7:00:00 PM,0,0.8008,12.334
6/14/2021,7:15:00 PM,0,0.8014,12.339
6/14/2021,7:30:00 PM,0,0.7991,12.345
6/14/2021,7:45:00 PM,0,0.7998,12.347
6/14/2021,8:00:00 PM,0,0.7998,12.353
6/14/2021,8:15:00 PM,0,0.7997,12.356
6/14/2021,8:30:00 PM,0,0.7994,12.353
6/14/2021,8:45:00 PM,0,0.7985,12.356
6/14/2021,9:00:00 PM,0,0.801,12.354
6/14/2021,9:15:00 PM,0,0.7986,12.362
6/14/2021,9:30:00 PM,0,0.7984,12.367
6/14/2021,9:45:00 PM,0,0.7996,12.376
