Date,Time,ms,LEVEL,TEMPERATURE
6/22/2021,12:00:00 AM,0,1.0271,11.234
6/22/2021,12:15:00 AM,0,1.027,11.233
6/22/2021,12:30:00 AM,0,1.0283,11.231
6/22/2021,12:45:00 AM,0,1.0279,11.23
6/22/2021,1:00:00 AM,0,1.0283,11.228
6/22/2021,1:15:00 AM,0,1.0277,11.226
6/22/2021,1:30:00 AM,0,1.029,11.228
6/22/2021,1:45:00 AM,0,1.0306,11.224
6/22/2021,2:00:00 AM,0,1.03,11.225
6/22/2021,2:15:00 AM,0,1.0307,11.223
6/22/2021,2:30:00 AM,0,1.0325,11.223
6/22/2021,2:45:00 AM,0,1.0309,11.22
6/22/2021,3:00:00 AM,0,1.031,11.22
6/22/2021,3:15:00 AM,0,1.0327,11.219
6/22/2021,3:30:00 AM,0,1.0343,11.22
6/22/2021,3:45:00 AM,0,1.0318,11.221
6/22/2021,4:00:00 AM,0,1.0327,11.219
6/22/2021,4:15:00 AM,0,1.033,11.219
6/22/2021,4:30:00 AM,0,1.0326,11.22
6/22/2021,4:45:00 AM,0,1.0342,11.222
6/22/2021,5:00:00 AM,0,1.0328,11.224
6/22/2021,5:15:00 AM,0,1.0331,11.229
6/22/2021,5:30:00 AM,0,1.0332,11.23
6/22/2021,5:45:00 AM,0,1.0322,11.232
6/22/2021,6:00:00 AM,0,1.0323,11.233
6/22/2021,6:15:00 AM,0,1.0313,11.235
6/22/2021,6:30:00 AM,0,1.0325,11.236
6/22/2021,6:45:00 AM,0,1.035,11.238
6/22/2021,7:00:00 AM,0,1.0345,11.237
6/22/2021,7:15:00 AM,0,1.037,11.234
6/22/2021,7:30:00 AM,0,1.0318,11.236
6/22/2021,7:45:00 AM,0,1.0374,11.237
6/22/2021,8:00:00 AM,0,1.0416,11.236
6/22/2021,8:15:00 AM,0,1.0317,11.232
6/22/2021,8:30:00 AM,0,1.0335,11.23
6/22/2021,8:45:00 AM,0,1.0426,11.224
6/22/2021,9:00:00 AM,0,1.0327,11.219
6/22/2021,9:15:00 AM,0,1.0352,11.214
6/22/2021,9:30:00 AM,0,1.0364,11.21
6/22/2021,9:45:00 AM,0,1.0335,11.203
6/22/2021,10:00:00 AM,0,1.0334,11.198
6/22/2021,10:15:00 AM,0,1.0326,11.194
6/22/2021,10:30:00 AM,0,1.0331,11.19
6/22/2021,10:45:00 AM,0,1.0337,11.186
6/22/2021,11:00:00 AM,0,1.0325,11.183
6/22/2021,11:15:00 AM,0,1.0321,11.186
6/22/2021,11:30:00 AM,0,1.0307,11.195
6/22/2021,11:45:00 AM,0,1.0303,11.216
6/22/2021,12:00:00 PM,0,1.0304,11.253
6/22/2021,12:15:00 PM,0,1.0296,11.301
6/22/2021,12:30:00 PM,0,1.0281,11.344
6/22/2021,12:45:00 PM,0,1.0278,11.386
6/22/2021,1:00:00 PM,0,1.0283,11.425
6/22/2021,1:15:00 PM,0,1.0265,11.447
6/22/2021,1:30:00 PM,0,1.0254,11.452
6/22/2021,1:45:00 PM,0,1.0246,11.446
