Date,Time,ms,LEVEL,TEMPERATURE
6/9/2021,5:00:00 PM,0,1.1937,10.032
6/9/2021,5:15:00 PM,0,1.1934,10.028
6/9/2021,5:30:00 PM,0,1.1931,10.028
6/9/2021,5:45:00 PM,0,1.1929,10.026
6/9/2021,6:00:00 PM,0,1.1911,10.025
6/9/2021,6:15:00 PM,0,1.1905,10.021
6/9/2021,6:30:00 PM,0,1.1906,10.02
6/9/2021,6:45:00 PM,0,1.1892,10.019
6/9/2021,7:00:00 PM,0,1.1891,10.02
6/9/2021,7:15:00 PM,0,1.188,10.02
6/9/2021,7:30:00 PM,0,1.1879,10.018
6/9/2021,7:45:00 PM,0,1.1881,10.02
6/9/2021,8:00:00 PM,0,1.1881,10.019
6/9/2021,8:15:00 PM,0,1.1876,10.018
6/9/2021,8:30:00 PM,0,1.187,10.016
6/9/2021,8:45:00 PM,0,1.187,10.019
6/9/2021,9:00:00 PM,0,1.1859,10.018
6/9/2021,9:15:00 PM,0,1.1851,10.016
6/9/2021,9:30:00 PM,0,1.1863,10.017
6/9/2021,9:45:00 PM,0,1.1869,10.019
6/9/2021,10:00:00 PM,0,1.1856,10.018
6/9/2021,10:15:00 PM,0,1.1863,10.019
6/9/2021,10:30:00 PM,0,1.1841,10.019
6/9/2021,10:45:00 PM,0,1.1838,10.016
6/9/2021,11:00:00 PM,0,1.1849,10.013
6/9/2021,11:15:00 PM,0,1.1854,10.013
6/9/2021,11:30:00 PM,0,1.1834,10.013
6/9/2021,11:45:00 PM,0,1.1845,10.014
6/10/2021,12:00:00 AM,0,1.1828,10.016
6/10/2021,12:15:00 AM,0,1.1841,10.014
6/10/2021,12:30:00 AM,0,1.1821,10.015
6/10/2021,12:45:00 AM,0,1.1821,10.013
6/10/2021,1:00:00 AM,0,1.1804,10.013
6/10/2021,1:15:00 AM,0,1.1818,10.011
6/10/2021,1:30:00 AM,0,1.1806,10.012
6/10/2021,1:45:00 AM,0,1.1815,10.013
6/10/2021,2:00:00 AM,0,1.1804,10.012
6/10/2021,2:15:00 AM,0,1.181,10.014
6/10/2021,2:30:00 AM,0,1.181,10.014
6/10/2021,2:45:00 AM,0,1.1794,10.013
6/10/2021,3:00:00 AM,0,1.1793,10.013
6/10/2021,3:15:00 AM,0,1.1806,10.013
6/10/2021,3:30:00 AM,0,1.1793,10.014
6/10/2021,3:45:00 AM,0,1.1802,10.009
6/10/2021,4:00:00 AM,0,1.1797,10.011
6/10/2021,4:15:00 AM,0,1.1791,10.01
6/10/2021,4:30:00 AM,0,1.179,10.011
6/10/2021,4:45:00 AM,0,1.1774,10.012
6/10/2021,5:00:00 AM,0,1.1758,10.011
6/10/2021,5:15:00 AM,0,1.1762,10.012
6/10/2021,5:30:00 AM,0,1.1768,10.01
