Date,Time,ms,LEVEL,TEMPERATURE
5/28/2021,12:00:00 AM,0,0.6076,13.379
5/28/2021,12:15:00 AM,0,0.6082,13.347
5/28/2021,12:30:00 AM,0,0.6088,13.314
5/28/2021,12:45:00 AM,0,0.6103,13.284
5/28/2021,1:00:00 AM,0,0.6098,13.245
5/28/2021,1:15:00 AM,0,0.6107,13.204
5/28/2021,1:30:00 AM,0,0.6103,13.161
5/28/2021,1:45:00 AM,0,0.6111,13.117
5/28/2021,2:00:00 AM,0,0.6116,13.077
5/28/2021,2:15:00 AM,0,0.6113,13.037
5/28/2021,2:30:00 AM,0,0.613,12.997
5/28/2021,2:45:00 AM,0,0.613,12.959
5/28/2021,3:00:00 AM,0,0.6126,12.917
5/28/2021,3:15:00 AM,0,0.6146,12.882
5/28/2021,3:30:00 AM,0,0.6151,12.852
5/28/2021,3:45:00 AM,0,0.6159,12.82
5/28/2021,4:00:00 AM,0,0.6173,12.788
5/28/2021,4:15:00 AM,0,0.6173,12.755
5/28/2021,4:30:00 AM,0,0.6184,12.726
5/28/2021,4:45:00 AM,0,0.6182,12.701
5/28/2021,5:00:00 AM,0,0.62,12.673
5/28/2021,5:15:00 AM,0,0.6203,12.64
5/28/2021,5:30:00 AM,0,0.6205,12.604
5/28/2021,5:45:00 AM,0,0.6204,12.573
5/28/2021,6:00:00 AM,0,0.6222,12.54
5/28/2021,6:15:00 AM,0,0.6245,12.509
5/28/2021,6:30:00 AM,0,0.6246,12.478
5/28/2021,6:45:00 AM,0,0.6241,12.448
5/28/2021,7:00:00 AM,0,0.6239,12.42
5/28/2021,7:15:00 AM,0,0.6255,12.392
5/28/2021,7:30:00 AM,0,0.6248,12.364
5/28/2021,7:45:00 AM,0,0.6252,12.331
5/28/2021,8:00:00 AM,0,0.6242,12.297
5/28/2021,8:15:00 AM,0,0.6252,12.273
5/28/2021,8:30:00 AM,0,0.6261,12.247
5/28/2021,8:45:00 AM,0,0.6267,12.225
5/28/2021,9:00:00 AM,0,0.6257,12.207
5/28/2021,9:15:00 AM,0,0.626,12.19
5/28/2021,9:30:00 AM,0,0.6267,12.182
5/28/2021,9:45:00 AM,0,0.6269,12.176
5/28/2021,10:00:00 AM,0,0.6279,12.171
5/28/2021,10:15:00 AM,0,0.6297,12.169
5/28/2021,10:30:00 AM,0,0.6304,12.163
5/28/2021,10:45:00 AM,0,0.6304,12.162
5/28/2021,11:00:00 AM,0,0.6315,12.166
5/28/2021,11:15:00 AM,0,0.6313,12.172
5/28/2021,11:30:00 AM,0,0.6312,12.181
5/28/2021,11:45:00 AM,0,0.63,12.191
5/28/2021,12:00:00 PM,0,0.6299,12.201
5/28/2021,12:15:00 PM,0,0.6301,12.214
5/28/2021,12:30:00 PM,0,0.6294,12.229
5/28/2021,12:45:00 PM,0,0.6313,12.249
5/28/2021,1:00:00 PM,0,0.633,12.27
5/28/2021,1:15:00 PM,0,0.6345,12.282
5/28/2021,1:30:00 PM,0,0.6323,12.3
5/28/2021,1:45:00 PM,0,0.6335,12.323
5/28/2021,2:00:00 PM,0,0.6336,12.347
5/28/2021,2:15:00 PM,0,0.635,12.368
5/28/2021,2:30:00 PM,0,0.6364,12.389
5/28/2021,2:45:00 PM,0,0.6348,12.404
5/28/2021,3:00:00 PM,0,0.6364,12.418
5/28/2021,3:15:00 PM,0,0.6349,12.428
5/28/2021,3:30:00 PM,0,0.6352,12.442
5/28/2021,3:45:00 PM,0,0.6367,12.459
5/28/2021,4:00:00 PM,0,0.6376,12.473
5/28/2021,4:15:00 PM,0,0.6374,12.485
5/28/2021,4:30:00 PM,0,0.6375,12.504
5/28/2021,4:45:00 PM,0,0.6377,12.519
5/28/2021,5:00:00 PM,0,0.6394,12.531
5/28/2021,5:15:00 PM,0,0.6377,12.538
5/28/2021,5:30:00 PM,0,0.6382,12.553
5/28/2021,5:45:00 PM,0,0.6385,12.569
5/28/2021,6:00:00 PM,0,0.64,12.574
5/28/2021,6:15:00 PM,0,0.6385,12.576
5/28/2021,6:30:00 PM,0,0.6397,12.583
5/28/2021,6:45:00 PM,0,0.6403,12.593
5/28/2021,7:00:00 PM,0,0.6399,12.599
5/28/2021,7:15:00 PM,0,0.6391,12.606
5/28/2021,7:30:00 PM,0,0.6393,12.605
5/28/2021,7:45:00 PM,0,0.6396,12.611
5/28/2021,8:00:00 PM,0,0.6404,12.617
5/28/2021,8:15:00 PM,0,0.6399,12.618
5/28/2021,8:30:00 PM,0,0.6406,12.619
5/28/2021,8:45:00 PM,0,0.64,12.625
5/28/2021,9:00:00 PM,0,0.6404,12.624
5/28/2021,9:15:00 PM,0,0.642,12.628
5/28/2021,9:30:00 PM,0,0.6422,12.633
5/28/2021,9:45:00 PM,0,0.643,12.64
5/28/2021,10:00:00 PM,0,0.6429,12.643
5/28/2021,10:15:00 PM,0,0.6436,12.65
5/28/2021,10:30:00 PM,0,0.6454,12.659
5/28/2021,10:45:00 PM,0,0.646,12.663
5/28/2021,11:00:00 PM,0,0.645,12.664
5/28/2021,11:15:00 PM,0,0.6447,12.658
5/28/2021,11:30:00 PM,0,0.6466,12.655
5/28/2021,11:45:00 PM,0,0.6465,12.654
5/29/2021,12:00:00 AM,0,0.6467,12.649
5/29/2021,12:15:00 AM,0,0.6464,12.641
5/29/2021,12:30:00 AM,0,0.6479,12.644
5/29/2021,12:45:00 AM,0,0.6481,12.648
5/29/2021,1:00:00 AM,0,0.6487,12.649
5/29/2021,1:15:00 AM,0,0.6493,12.653
5/29/2021,1:30:00 AM,0,0.6492,12.644
5/29/2021,1:45:00 AM,0,0.6496,12.627
5/29/2021,2:00:00 AM,0,0.6495,12.599
5/29/2021,2:15:00 AM,0,0.65,12.567
5/29/2021,2:30:00 AM,0,0.6497,12.544
5/29/2021,2:45:00 AM,0,0.6499,12.512
5/29/2021,3:00:00 AM,0,0.6511,12.471
5/29/2021,3:15:00 AM,0,0.6513,12.442
5/29/2021,3:30:00 AM,0,0.6521,12.42
5/29/2021,3:45:00 AM,0,0.6518,12.388
5/29/2021,4:00:00 AM,0,0.652,12.361
5/29/2021,4:15:00 AM,0,0.6521,12.337
5/29/2021,4:30:00 AM,0,0.6528,12.304
5/29/2021,4:45:00 AM,0,0.6541,12.268
5/29/2021,5:00:00 AM,0,0.6536,12.227
5/29/2021,5:15:00 AM,0,0.6546,12.188
5/29/2021,5:30:00 AM,0,0.6547,12.145
5/29/2021,5:45:00 AM,0,0.6543,12.1
5/29/2021,6:00:00 AM,0,0.6556,12.053
5/29/2021,6:15:00 AM,0,0.655,12.014
5/29/2021,6:30:00 AM,0,0.6555,11.975
5/29/2021,6:45:00 AM,0,0.6581,11.938
5/29/2021,7:00:00 AM,0,0.6553,11.901
5/29/2021,7:15:00 AM,0,0.6562,11.869
5/29/2021,7:30:00 AM,0,0.659,11.838
5/29/2021,7:45:00 AM,0,0.6586,11.803
5/29/2021,8:00:00 AM,0,0.6611,11.779
5/29/2021,8:15:00 AM,0,0.6539,11.757
5/29/2021,8:30:00 AM,0,0.6545,11.739
5/29/2021,8:45:00 AM,0,0.66,11.761
5/29/2021,9:00:00 AM,0,0.6523,11.808
5/29/2021,9:15:00 AM,0,0.6548,11.814
5/29/2021,9:30:00 AM,0,0.6561,11.852
5/29/2021,9:45:00 AM,0,0.6545,11.865
5/29/2021,10:00:00 AM,0,0.6572,11.871
5/29/2021,10:15:00 AM,0,0.6557,11.888
5/29/2021,10:30:00 AM,0,0.655,11.918
5/29/2021,10:45:00 AM,0,0.6558,11.942
5/29/2021,11:00:00 AM,0,0.6546,11.946
5/29/2021,11:15:00 AM,0,0.6533,11.96
5/29/2021,11:30:00 AM,0,0.6549,11.974
5/29/2021,11:45:00 AM,0,0.653,11.997
5/29/2021,12:00:00 PM,0,0.6516,12.013
5/29/2021,12:15:00 PM,0,0.6527,12.044
5/29/2021,12:30:00 PM,0,0.6517,12.072
5/29/2021,12:45:00 PM,0,0.6513,12.091
5/29/2021,1:00:00 PM,0,0.6515,12.116
5/29/2021,1:15:00 PM,0,0.6512,12.135
5/29/2021,1:30:00 PM,0,0.6497,12.146
5/29/2021,1:45:00 PM,0,0.6513,12.17
5/29/2021,2:00:00 PM,0,0.6515,12.191
5/29/2021,2:15:00 PM,0,0.6516,12.205
5/29/2021,2:30:00 PM,0,0.6525,12.215
5/29/2021,2:45:00 PM,0,0.6512,12.226
5/29/2021,3:00:00 PM,0,0.6508,12.241
5/29/2021,3:15:00 PM,0,0.6501,12.254
5/29/2021,3:30:00 PM,0,0.6509,12.267
5/29/2021,3:45:00 PM,0,0.6507,12.277
5/29/2021,4:00:00 PM,0,0.6512,12.288
5/29/2021,4:15:00 PM,0,0.6519,12.298
5/29/2021,4:30:00 PM,0,0.6514,12.31
5/29/2021,4:45:00 PM,0,0.6522,12.319
5/29/2021,5:00:00 PM,0,0.6533,12.327
5/29/2021,5:15:00 PM,0,0.6521,12.334
5/29/2021,5:30:00 PM,0,0.653,12.338
5/29/2021,5:45:00 PM,0,0.6532,12.349
5/29/2021,6:00:00 PM,0,0.6525,12.354
5/29/2021,6:15:00 PM,0,0.653,12.36
5/29/2021,6:30:00 PM,0,0.6542,12.363
5/29/2021,6:45:00 PM,0,0.6544,12.366
5/29/2021,7:00:00 PM,0,0.6548,12.372
5/29/2021,7:15:00 PM,0,0.6546,12.379
5/29/2021,7:30:00 PM,0,0.6563,12.385
5/29/2021,7:45:00 PM,0,0.6562,12.389
5/29/2021,8:00:00 PM,0,0.6552,12.394
5/29/2021,8:15:00 PM,0,0.6548,12.401
5/29/2021,8:30:00 PM,0,0.6548,12.401
5/29/2021,8:45:00 PM,0,0.6546,12.402
5/29/2021,9:00:00 PM,0,0.6552,12.415
5/29/2021,9:15:00 PM,0,0.6558,12.417
5/29/2021,9:30:00 PM,0,0.6556,12.417
5/29/2021,9:45:00 PM,0,0.657,12.419
5/29/2021,10:00:00 PM,0,0.658,12.418
5/29/2021,10:15:00 PM,0,0.6592,12.418
5/29/2021,10:30:00 PM,0,0.6593,12.42
5/29/2021,10:45:00 PM,0,0.6586,12.42
5/29/2021,11:00:00 PM,0,0.6603,12.426
5/29/2021,11:15:00 PM,0,0.6605,12.437
5/29/2021,11:30:00 PM,0,0.6601,12.437
5/29/2021,11:45:00 PM,0,0.6613,12.437
5/30/2021,12:00:00 AM,0,0.6611,12.435
5/30/2021,12:15:00 AM,0,0.6607,12.439
5/30/2021,12:30:00 AM,0,0.6608,12.443
5/30/2021,12:45:00 AM,0,0.6616,12.437
5/30/2021,1:00:00 AM,0,0.6609,12.434
5/30/2021,1:15:00 AM,0,0.6608,12.448
5/30/2021,1:30:00 AM,0,0.6606,12.447
5/30/2021,1:45:00 AM,0,0.6606,12.44
5/30/2021,2:00:00 AM,0,0.6621,12.444
5/30/2021,2:15:00 AM,0,0.6624,12.444
5/30/2021,2:30:00 AM,0,0.6628,12.455
5/30/2021,2:45:00 AM,0,0.6633,12.455
5/30/2021,3:00:00 AM,0,0.6635,12.457
5/30/2021,3:15:00 AM,0,0.6632,12.452
5/30/2021,3:30:00 AM,0,0.6613,12.451
5/30/2021,3:45:00 AM,0,0.6598,12.465
5/30/2021,4:00:00 AM,0,0.6596,12.478
5/30/2021,4:15:00 AM,0,0.6611,12.466
5/30/2021,4:30:00 AM,0,0.661,12.461
5/30/2021,4:45:00 AM,0,0.6624,12.461
5/30/2021,5:00:00 AM,0,0.6624,12.469
5/30/2021,5:15:00 AM,0,0.6633,12.478
5/30/2021,5:30:00 AM,0,0.6622,12.502
5/30/2021,5:45:00 AM,0,0.6627,12.512
5/30/2021,6:00:00 AM,0,0.6644,12.513
5/30/2021,6:15:00 AM,0,0.6622,12.522
5/30/2021,6:30:00 AM,0,0.6631,12.527
5/30/2021,6:45:00 AM,0,0.6632,12.522
5/30/2021,7:00:00 AM,0,0.6605,12.534
5/30/2021,7:15:00 AM,0,0.6621,12.54
5/30/2021,7:30:00 AM,0,0.6638,12.546
5/30/2021,7:45:00 AM,0,0.6628,12.557
5/30/2021,8:00:00 AM,0,0.6638,12.568
5/30/2021,8:15:00 AM,0,0.6587,12.564
5/30/2021,8:30:00 AM,0,0.6599,12.574
5/30/2021,8:45:00 AM,0,0.6639,12.598
5/30/2021,9:00:00 AM,0,0.6575,12.633
5/30/2021,9:15:00 AM,0,0.6576,12.65
5/30/2021,9:30:00 AM,0,0.6588,12.664
5/30/2021,9:45:00 AM,0,0.657,12.689
5/30/2021,10:00:00 AM,0,0.6572,12.724
5/30/2021,10:15:00 AM,0,0.6567,12.772
5/30/2021,10:30:00 AM,0,0.6569,12.816
5/30/2021,10:45:00 AM,0,0.6558,12.855
5/30/2021,11:00:00 AM,0,0.6554,12.875
5/30/2021,11:15:00 AM,0,0.6552,12.894
5/30/2021,11:30:00 AM,0,0.6556,12.907
5/30/2021,11:45:00 AM,0,0.6556,12.913
5/30/2021,12:00:00 PM,0,0.6547,12.932
5/30/2021,12:15:00 PM,0,0.6522,12.946
5/30/2021,12:30:00 PM,0,0.6533,12.959
5/30/2021,12:45:00 PM,0,0.6538,12.984
5/30/2021,1:00:00 PM,0,0.6544,12.996
5/30/2021,1:15:00 PM,0,0.6546,13.001
5/30/2021,1:30:00 PM,0,0.6553,12.991
5/30/2021,1:45:00 PM,0,0.6574,12.993
5/30/2021,2:00:00 PM,0,0.6583,13.005
5/30/2021,2:15:00 PM,0,0.6573,13.022
5/30/2021,2:30:00 PM,0,0.6562,13.029
5/30/2021,2:45:00 PM,0,0.6571,13.041
5/30/2021,3:00:00 PM,0,0.6552,13.059
5/30/2021,3:15:00 PM,0,0.6546,13.068
5/30/2021,3:30:00 PM,0,0.654,13.074
5/30/2021,3:45:00 PM,0,0.6543,13.079
5/30/2021,4:00:00 PM,0,0.6562,13.082
5/30/2021,4:15:00 PM,0,0.6557,13.084
5/30/2021,4:30:00 PM,0,0.655,13.092
5/30/2021,4:45:00 PM,0,0.6562,13.108
5/30/2021,5:00:00 PM,0,0.6563,13.114
5/30/2021,5:15:00 PM,0,0.6547,13.122
5/30/2021,5:30:00 PM,0,0.6536,13.127
5/30/2021,5:45:00 PM,0,0.6549,13.128
5/30/2021,6:00:00 PM,0,0.6562,13.137
5/30/2021,6:15:00 PM,0,0.6553,13.141
5/30/2021,6:30:00 PM,0,0.6561,13.15
