Date,Time,ms,LEVEL,TEMPERATURE
6/9/2021,4:00:00 PM,0,0.7855,14.865
6/9/2021,4:15:00 PM,0,0.7827,14.711
6/9/2021,4:30:00 PM,0,0.7838,14.639
6/9/2021,4:45:00 PM,0,0.7839,14.596
6/9/2021,5:00:00 PM,0,0.7828,14.567
6/9/2021,5:15:00 PM,0,0.7832,14.546
6/9/2021,5:30:00 PM,0,0.7836,14.509
6/9/2021,5:45:00 PM,0,0.7837,14.497
6/9/2021,6:00:00 PM,0,0.7816,14.487
6/9/2021,6:15:00 PM,0,0.7815,14.478
6/9/2021,6:30:00 PM,0,0.7811,14.475
6/9/2021,6:45:00 PM,0,0.7808,14.468
6/9/2021,7:00:00 PM,0,0.7799,14.461
6/9/2021,7:15:00 PM,0,0.7784,14.459
6/9/2021,7:30:00 PM,0,0.7789,14.45
6/9/2021,7:45:00 PM,0,0.7796,14.447
6/9/2021,8:00:00 PM,0,0.7795,14.444
6/9/2021,8:15:00 PM,0,0.7786,14.445
6/9/2021,8:30:00 PM,0,0.7788,14.457
6/9/2021,8:45:00 PM,0,0.7793,14.449
6/9/2021,9:00:00 PM,0,0.7778,14.44
6/9/2021,9:15:00 PM,0,0.7786,14.436
6/9/2021,9:30:00 PM,0,0.7791,14.439
6/9/2021,9:45:00 PM,0,0.7797,14.438
6/9/2021,10:00:00 PM,0,0.7782,14.439
6/9/2021,10:15:00 PM,0,0.7783,14.439
6/9/2021,10:30:00 PM,0,0.7776,14.44
6/9/2021,10:45:00 PM,0,0.7779,14.434
6/9/2021,11:00:00 PM,0,0.7795,14.431
6/9/2021,11:15:00 PM,0,0.781,14.427
6/9/2021,11:30:00 PM,0,0.7801,14.423
6/9/2021,11:45:00 PM,0,0.7811,14.424
6/10/2021,12:00:00 AM,0,0.7796,14.431
6/10/2021,12:15:00 AM,0,0.7823,14.423
6/10/2021,12:30:00 AM,0,0.7791,14.422
6/10/2021,12:45:00 AM,0,0.7798,14.421
6/10/2021,1:00:00 AM,0,0.7783,14.422
6/10/2021,1:15:00 AM,0,0.7816,14.423
6/10/2021,1:30:00 AM,0,0.778,14.416
6/10/2021,1:45:00 AM,0,0.7798,14.398
6/10/2021,2:00:00 AM,0,0.7794,14.384
6/10/2021,2:15:00 AM,0,0.7792,14.362
6/10/2021,2:30:00 AM,0,0.7798,14.339
6/10/2021,2:45:00 AM,0,0.7784,14.311
6/10/2021,3:00:00 AM,0,0.7778,14.29
6/10/2021,3:15:00 AM,0,0.7807,14.264
6/10/2021,3:30:00 AM,0,0.7785,14.24
6/10/2021,3:45:00 AM,0,0.7788,14.214
6/10/2021,4:00:00 AM,0,0.7796,14.187
6/10/2021,4:15:00 AM,0,0.7794,14.162
6/10/2021,4:30:00 AM,0,0.7778,14.138
6/10/2021,4:45:00 AM,0,0.7773,14.107
6/10/2021,5:00:00 AM,0,0.7755,14.08
6/10/2021,5:15:00 AM,0,0.7768,14.054
6/10/2021,5:30:00 AM,0,0.7775,14.027
6/10/2021,5:45:00 AM,0,0.778,14.007
6/10/2021,6:00:00 AM,0,0.7781,13.976
6/10/2021,6:15:00 AM,0,0.7766,13.957
6/10/2021,6:30:00 AM,0,0.7761,13.929
6/10/2021,6:45:00 AM,0,0.7755,13.904
6/10/2021,7:00:00 AM,0,0.7755,13.885
6/10/2021,7:15:00 AM,0,0.7766,13.875
6/10/2021,7:30:00 AM,0,0.7749,13.86
6/10/2021,7:45:00 AM,0,0.7742,13.846
6/10/2021,8:00:00 AM,0,0.775,13.834
6/10/2021,8:15:00 AM,0,0.7747,13.825
6/10/2021,8:30:00 AM,0,0.7749,13.814
6/10/2021,8:45:00 AM,0,0.7744,13.809
6/10/2021,9:00:00 AM,0,0.7745,13.807
6/10/2021,9:15:00 AM,0,0.7755,13.808
6/10/2021,9:30:00 AM,0,0.7778,13.808
6/10/2021,9:45:00 AM,0,0.7765,13.812
6/10/2021,10:00:00 AM,0,0.7771,13.826
6/10/2021,10:15:00 AM,0,0.7775,13.834
6/10/2021,10:30:00 AM,0,0.7779,13.839
6/10/2021,10:45:00 AM,0,0.777,13.847
6/10/2021,11:00:00 AM,0,0.7769,13.857
6/10/2021,11:15:00 AM,0,0.7772,13.869
6/10/2021,11:30:00 AM,0,0.7772,13.88
6/10/2021,11:45:00 AM,0,0.7769,13.891
6/10/2021,12:00:00 PM,0,0.7747,13.904
6/10/2021,12:15:00 PM,0,0.7733,13.923
6/10/2021,12:30:00 PM,0,0.775,13.937
6/10/2021,12:45:00 PM,0,0.7744,13.951
6/10/2021,1:00:00 PM,0,0.7738,13.961
6/10/2021,1:15:00 PM,0,0.7741,13.976
6/10/2021,1:30:00 PM,0,0.7737,13.991
6/10/2021,1:45:00 PM,0,0.7714,14.008
6/10/2021,2:00:00 PM,0,0.7713,14.028
6/10/2021,2:15:00 PM,0,0.7761,14.049
6/10/2021,2:30:00 PM,0,0.774,14.075
6/10/2021,2:45:00 PM,0,0.7758,14.097
6/10/2021,3:00:00 PM,0,0.7755,14.116
6/10/2021,3:15:00 PM,0,0.774,14.138
6/10/2021,3:30:00 PM,0,0.7749,14.146
6/10/2021,3:45:00 PM,0,0.7779,14.155
6/10/2021,4:00:00 PM,0,0.7781,14.163
6/10/2021,4:15:00 PM,0,0.7753,14.173
6/10/2021,4:30:00 PM,0,0.7747,14.183
6/10/2021,4:45:00 PM,0,0.7749,14.19
6/10/2021,5:00:00 PM,0,0.7763,14.198
6/10/2021,5:15:00 PM,0,0.7755,14.206
6/10/2021,5:30:00 PM,0,0.7739,14.211
6/10/2021,5:45:00 PM,0,0.7735,14.219
6/10/2021,6:00:00 PM,0,0.7702,14.223
6/10/2021,6:15:00 PM,0,0.7701,14.23
6/10/2021,6:30:00 PM,0,0.7708,14.238
6/10/2021,6:45:00 PM,0,0.7698,14.246
6/10/2021,7:00:00 PM,0,0.771,14.251
6/10/2021,7:15:00 PM,0,0.7704,14.255
6/10/2021,7:30:00 PM,0,0.7687,14.258
6/10/2021,7:45:00 PM,0,0.7699,14.259
6/10/2021,8:00:00 PM,0,0.769,14.262
6/10/2021,8:15:00 PM,0,0.7694,14.263
6/10/2021,8:30:00 PM,0,0.7697,14.262
6/10/2021,8:45:00 PM,0,0.7711,14.265
6/10/2021,9:00:00 PM,0,0.7695,14.264
6/10/2021,9:15:00 PM,0,0.7706,14.264
6/10/2021,9:30:00 PM,0,0.7698,14.266
6/10/2021,9:45:00 PM,0,0.7707,14.266
6/10/2021,10:00:00 PM,0,0.7703,14.27
6/10/2021,10:15:00 PM,0,0.7693,14.268
6/10/2021,10:30:00 PM,0,0.77,14.267
6/10/2021,10:45:00 PM,0,0.7704,14.267
6/10/2021,11:00:00 PM,0,0.77,14.268
6/10/2021,11:15:00 PM,0,0.7695,14.266
6/10/2021,11:30:00 PM,0,0.7708,14.266
6/10/2021,11:45:00 PM,0,0.7701,14.265
6/11/2021,12:00:00 AM,0,0.7695,14.257
6/11/2021,12:15:00 AM,0,0.7695,14.244
6/11/2021,12:30:00 AM,0,0.7695,14.226
6/11/2021,12:45:00 AM,0,0.7691,14.205
6/11/2021,1:00:00 AM,0,0.7691,14.184
6/11/2021,1:15:00 AM,0,0.7702,14.165
6/11/2021,1:30:00 AM,0,0.7696,14.143
6/11/2021,1:45:00 AM,0,0.7693,14.121
6/11/2021,2:00:00 AM,0,0.769,14.098
6/11/2021,2:15:00 AM,0,0.7687,14.077
6/11/2021,2:30:00 AM,0,0.7685,14.055
6/11/2021,2:45:00 AM,0,0.7686,14.038
6/11/2021,3:00:00 AM,0,0.7681,14.02
6/11/2021,3:15:00 AM,0,0.7684,14.001
6/11/2021,3:30:00 AM,0,0.7685,13.981
6/11/2021,3:45:00 AM,0,0.7677,13.964
6/11/2021,4:00:00 AM,0,0.7693,13.944
6/11/2021,4:15:00 AM,0,0.7689,13.924
6/11/2021,4:30:00 AM,0,0.767,13.903
6/11/2021,4:45:00 AM,0,0.7665,13.882
6/11/2021,5:00:00 AM,0,0.7671,13.858
6/11/2021,5:15:00 AM,0,0.7661,13.835
6/11/2021,5:30:00 AM,0,0.7655,13.818
6/11/2021,5:45:00 AM,0,0.7671,13.797
6/11/2021,6:00:00 AM,0,0.766,13.779
6/11/2021,6:15:00 AM,0,0.7657,13.762
6/11/2021,6:30:00 AM,0,0.7651,13.74
6/11/2021,6:45:00 AM,0,0.7653,13.72
6/11/2021,7:00:00 AM,0,0.7657,13.706
6/11/2021,7:15:00 AM,0,0.7645,13.689
6/11/2021,7:30:00 AM,0,0.765,13.677
6/11/2021,7:45:00 AM,0,0.7656,13.667
6/11/2021,8:00:00 AM,0,0.7647,13.657
6/11/2021,8:15:00 AM,0,0.7649,13.652
6/11/2021,8:30:00 AM,0,0.7639,13.645
6/11/2021,8:45:00 AM,0,0.7624,13.643
6/11/2021,9:00:00 AM,0,0.7615,13.645
6/11/2021,9:15:00 AM,0,0.7612,13.649
6/11/2021,9:30:00 AM,0,0.7604,13.65
6/11/2021,9:45:00 AM,0,0.7596,13.657
6/11/2021,10:00:00 AM,0,0.7593,13.664
6/11/2021,10:15:00 AM,0,0.7595,13.67
6/11/2021,10:30:00 AM,0,0.7584,13.674
6/11/2021,10:45:00 AM,0,0.7573,13.68
6/11/2021,11:00:00 AM,0,0.7582,13.69
6/11/2021,11:15:00 AM,0,0.7583,13.697
6/11/2021,11:30:00 AM,0,0.7596,13.706
6/11/2021,11:45:00 AM,0,0.7582,13.716
6/11/2021,12:00:00 PM,0,0.7561,13.725
6/11/2021,12:15:00 PM,0,0.7556,13.735
6/11/2021,12:30:00 PM,0,0.7545,13.746
6/11/2021,12:45:00 PM,0,0.7557,13.76
6/11/2021,1:00:00 PM,0,0.7532,13.772
6/11/2021,1:15:00 PM,0,0.7513,13.787
6/11/2021,1:30:00 PM,0,0.7501,13.802
6/11/2021,1:45:00 PM,0,0.7492,13.819
6/11/2021,2:00:00 PM,0,0.749,13.833
6/11/2021,2:15:00 PM,0,0.7487,13.844
6/11/2021,2:30:00 PM,0,0.7497,13.861
6/11/2021,2:45:00 PM,0,0.7493,13.874
6/11/2021,3:00:00 PM,0,0.7488,13.888
6/11/2021,3:15:00 PM,0,0.7496,13.897
6/11/2021,3:30:00 PM,0,0.7508,13.905
6/11/2021,3:45:00 PM,0,0.7513,13.912
6/11/2021,4:00:00 PM,0,0.7498,13.917
6/11/2021,4:15:00 PM,0,0.7509,13.926
6/11/2021,4:30:00 PM,0,0.7517,13.933
6/11/2021,4:45:00 PM,0,0.7511,13.94
6/11/2021,5:00:00 PM,0,0.7524,13.944
6/11/2021,5:15:00 PM,0,0.7549,13.947
6/11/2021,5:30:00 PM,0,0.7545,13.952
6/11/2021,5:45:00 PM,0,0.7569,13.958
6/11/2021,6:00:00 PM,0,0.7546,13.958
6/11/2021,6:15:00 PM,0,0.7553,13.962
6/11/2021,6:30:00 PM,0,0.7543,13.965
6/11/2021,6:45:00 PM,0,0.7549,13.969
6/11/2021,7:00:00 PM,0,0.7543,13.969
6/11/2021,7:15:00 PM,0,0.7532,13.972
6/11/2021,7:30:00 PM,0,0.7531,13.976
6/11/2021,7:45:00 PM,0,0.7527,13.978
6/11/2021,8:00:00 PM,0,0.753,13.98
6/11/2021,8:15:00 PM,0,0.7516,13.98
6/11/2021,8:30:00 PM,0,0.7519,13.981
6/11/2021,8:45:00 PM,0,0.7532,13.983
6/11/2021,9:00:00 PM,0,0.7544,13.984
6/11/2021,9:15:00 PM,0,0.7513,13.984
6/11/2021,9:30:00 PM,0,0.75,13.984
6/11/2021,9:45:00 PM,0,0.7519,13.985
6/11/2021,10:00:00 PM,0,0.7526,13.987
6/11/2021,10:15:00 PM,0,0.7487,13.983
6/11/2021,10:30:00 PM,0,0.7508,13.983
6/11/2021,10:45:00 PM,0,0.7508,13.974
6/11/2021,11:00:00 PM,0,0.7506,13.966
6/11/2021,11:15:00 PM,0,0.7485,13.955
6/11/2021,11:30:00 PM,0,0.7497,13.94
6/11/2021,11:45:00 PM,0,0.7492,13.929
6/12/2021,12:00:00 AM,0,0.7494,13.912
6/12/2021,12:15:00 AM,0,0.7478,13.893
6/12/2021,12:30:00 AM,0,0.7475,13.87
6/12/2021,12:45:00 AM,0,0.7418,13.844
6/12/2021,1:00:00 AM,0,0.7419,13.821
6/12/2021,1:15:00 AM,0,0.7433,13.796
6/12/2021,1:30:00 AM,0,0.7506,13.78
6/12/2021,1:45:00 AM,0,0.7451,13.767
6/12/2021,2:00:00 AM,0,0.747,13.755
6/12/2021,2:15:00 AM,0,0.7444,13.74
6/12/2021,2:30:00 AM,0,0.7464,13.72
6/12/2021,2:45:00 AM,0,0.7429,13.703
6/12/2021,3:00:00 AM,0,0.7489,13.685
6/12/2021,3:15:00 AM,0,0.7437,13.665
6/12/2021,3:30:00 AM,0,0.7456,13.649
6/12/2021,3:45:00 AM,0,0.7447,13.636
6/12/2021,4:00:00 AM,0,0.743,13.622
6/12/2021,4:15:00 AM,0,0.7447,13.611
6/12/2021,4:30:00 AM,0,0.7422,13.599
6/12/2021,4:45:00 AM,0,0.7434,13.585
6/12/2021,5:00:00 AM,0,0.743,13.571
6/12/2021,5:15:00 AM,0,0.7408,13.557
6/12/2021,5:30:00 AM,0,0.7399,13.541
6/12/2021,5:45:00 AM,0,0.7414,13.52
6/12/2021,6:00:00 AM,0,0.7396,13.499
6/12/2021,6:15:00 AM,0,0.7402,13.482
6/12/2021,6:30:00 AM,0,0.7426,13.469
6/12/2021,6:45:00 AM,0,0.7408,13.451
6/12/2021,7:00:00 AM,0,0.7386,13.442
6/12/2021,7:15:00 AM,0,0.7389,13.433
6/12/2021,7:30:00 AM,0,0.7377,13.426
6/12/2021,7:45:00 AM,0,0.737,13.418
6/12/2021,8:00:00 AM,0,0.7369,13.419
6/12/2021,8:15:00 AM,0,0.7372,13.417
6/12/2021,8:30:00 AM,0,0.7409,13.418
6/12/2021,8:45:00 AM,0,0.7351,13.424
6/12/2021,9:00:00 AM,0,0.7359,13.427
6/12/2021,9:15:00 AM,0,0.7353,13.435
6/12/2021,9:30:00 AM,0,0.7353,13.446
6/12/2021,9:45:00 AM,0,0.7361,13.46
6/12/2021,10:00:00 AM,0,0.7348,13.484
6/12/2021,10:15:00 AM,0,0.7346,13.501
6/12/2021,10:30:00 AM,0,0.7333,13.51
6/12/2021,10:45:00 AM,0,0.7328,13.519
6/12/2021,11:00:00 AM,0,0.7324,13.528
6/12/2021,11:15:00 AM,0,0.7315,13.539
6/12/2021,11:30:00 AM,0,0.7298,13.561
6/12/2021,11:45:00 AM,0,0.7299,13.578
6/12/2021,12:00:00 PM,0,0.7307,13.598
6/12/2021,12:15:00 PM,0,0.7307,13.634
6/12/2021,12:30:00 PM,0,0.7302,13.656
6/12/2021,12:45:00 PM,0,0.7291,13.673
6/12/2021,1:00:00 PM,0,0.7282,13.685
6/12/2021,1:15:00 PM,0,0.7278,13.697
6/12/2021,1:30:00 PM,0,0.727,13.722
6/12/2021,1:45:00 PM,0,0.7258,13.757
6/12/2021,2:00:00 PM,0,0.7259,13.817
6/12/2021,2:15:00 PM,0,0.7253,13.871
6/12/2021,2:30:00 PM,0,0.7251,13.926
6/12/2021,2:45:00 PM,0,0.7237,13.969
6/12/2021,3:00:00 PM,0,0.7224,14.003
6/12/2021,3:15:00 PM,0,0.7214,14.031
6/12/2021,3:30:00 PM,0,0.7209,14.067
6/12/2021,3:45:00 PM,0,0.7224,14.089
6/12/2021,4:00:00 PM,0,0.7219,14.092
6/12/2021,4:15:00 PM,0,0.7209,14.091
6/12/2021,4:30:00 PM,0,0.719,14.088
6/12/2021,4:45:00 PM,0,0.7181,14.087
6/12/2021,5:00:00 PM,0,0.7159,14.087
6/12/2021,5:15:00 PM,0,0.715,14.091
6/12/2021,5:30:00 PM,0,0.7134,14.098
6/12/2021,5:45:00 PM,0,0.7147,14.106
6/12/2021,6:00:00 PM,0,0.7156,14.111
6/12/2021,6:15:00 PM,0,0.7166,14.117
6/12/2021,6:30:00 PM,0,0.7173,14.123
6/12/2021,6:45:00 PM,0,0.7171,14.128
6/12/2021,7:00:00 PM,0,0.7158,14.129
6/12/2021,7:15:00 PM,0,0.7175,14.134
6/12/2021,7:30:00 PM,0,0.7179,14.14
6/12/2021,7:45:00 PM,0,0.72,14.145
6/12/2021,8:00:00 PM,0,0.7169,14.149
6/12/2021,8:15:00 PM,0,0.7182,14.15
6/12/2021,8:30:00 PM,0,0.718,14.156
6/12/2021,8:45:00 PM,0,0.7199,14.158
6/12/2021,9:00:00 PM,0,0.7194,14.161
6/12/2021,9:15:00 PM,0,0.7205,14.163
6/12/2021,9:30:00 PM,0,0.719,14.163
6/12/2021,9:45:00 PM,0,0.7199,14.164
6/12/2021,10:00:00 PM,0,0.7204,14.162
6/12/2021,10:15:00 PM,0,0.719,14.166
6/12/2021,10:30:00 PM,0,0.7191,14.166
6/12/2021,10:45:00 PM,0,0.7188,14.164
6/12/2021,11:00:00 PM,0,0.7191,14.166
6/12/2021,11:15:00 PM,0,0.7157,14.165
6/12/2021,11:30:00 PM,0,0.7108,14.168
6/12/2021,11:45:00 PM,0,0.7101,14.165
6/13/2021,12:00:00 AM,0,0.712,14.163
6/13/2021,12:15:00 AM,0,0.7145,14.165
6/13/2021,12:30:00 AM,0,0.7173,14.164
6/13/2021,12:45:00 AM,0,0.7145,14.172
6/13/2021,1:00:00 AM,0,0.7148,14.167
6/13/2021,1:15:00 AM,0,0.7129,14.169
6/13/2021,1:30:00 AM,0,0.7141,14.167
6/13/2021,1:45:00 AM,0,0.7135,14.166
6/13/2021,2:00:00 AM,0,0.7133,14.166
6/13/2021,2:15:00 AM,0,0.7128,14.165
6/13/2021,2:30:00 AM,0,0.7121,14.166
6/13/2021,2:45:00 AM,0,0.7131,14.163
6/13/2021,3:00:00 AM,0,0.7131,14.165
6/13/2021,3:15:00 AM,0,0.7159,14.164
6/13/2021,3:30:00 AM,0,0.7156,14.165
6/13/2021,3:45:00 AM,0,0.7151,14.163
6/13/2021,4:00:00 AM,0,0.7159,14.164
6/13/2021,4:15:00 AM,0,0.7151,14.168
6/13/2021,4:30:00 AM,0,0.7156,14.167
6/13/2021,4:45:00 AM,0,0.7167,14.166
6/13/2021,5:00:00 AM,0,0.7127,14.167
6/13/2021,5:15:00 AM,0,0.7085,14.169
6/13/2021,5:30:00 AM,0,0.7116,14.167
6/13/2021,5:45:00 AM,0,0.7095,14.167
6/13/2021,6:00:00 AM,0,0.7031,14.168
6/13/2021,6:15:00 AM,0,0.7105,14.171
6/13/2021,6:30:00 AM,0,0.71,14.174
6/13/2021,6:45:00 AM,0,0.7107,14.172
6/13/2021,7:00:00 AM,0,0.709,14.175
6/13/2021,7:15:00 AM,0,0.7106,14.175
6/13/2021,7:30:00 AM,0,0.7077,14.18
6/13/2021,7:45:00 AM,0,0.7088,14.184
6/13/2021,8:00:00 AM,0,0.7074,14.187
6/13/2021,8:15:00 AM,0,0.7073,14.194
6/13/2021,8:30:00 AM,0,0.7062,14.198
6/13/2021,8:45:00 AM,0,0.7046,14.204
6/13/2021,9:00:00 AM,0,0.7064,14.209
6/13/2021,9:15:00 AM,0,0.7064,14.218
6/13/2021,9:30:00 AM,0,0.7058,14.23
6/13/2021,9:45:00 AM,0,0.7027,14.245
6/13/2021,10:00:00 AM,0,0.7028,14.256
6/13/2021,10:15:00 AM,0,0.703,14.271
6/13/2021,10:30:00 AM,0,0.7028,14.283
6/13/2021,10:45:00 AM,0,0.7062,14.297
6/13/2021,11:00:00 AM,0,0.7061,14.309
6/13/2021,11:15:00 AM,0,0.7095,14.317
6/13/2021,11:30:00 AM,0,0.6948,14.331
6/13/2021,11:45:00 AM,0,0.7047,14.347
6/13/2021,12:00:00 PM,0,0.7,14.362
6/13/2021,12:15:00 PM,0,0.6995,14.379
6/13/2021,12:30:00 PM,0,0.704,14.399
6/13/2021,12:45:00 PM,0,0.7005,14.412
6/13/2021,1:00:00 PM,0,0.7025,14.429
6/13/2021,1:15:00 PM,0,0.7019,14.453
6/13/2021,1:30:00 PM,0,0.7013,14.478
