Date,Time,ms,LEVEL,TEMPERATURE
5/11/2021,12:00:00 AM,0,1.0608,13.009
5/11/2021,12:15:00 AM,0,1.0619,13.006
5/11/2021,12:30:00 AM,0,1.0622,13.003
5/11/2021,12:45:00 AM,0,1.0613,13
5/11/2021,1:00:00 AM,0,1.0637,13.001
5/11/2021,1:15:00 AM,0,1.0638,13.001
5/11/2021,1:30:00 AM,0,1.0641,12.999
5/11/2021,1:45:00 AM,0,1.0639,12.998
5/11/2021,2:00:00 AM,0,1.065,12.998
5/11/2021,2:15:00 AM,0,1.0651,12.997
5/11/2021,2:30:00 AM,0,1.0635,12.995
5/11/2021,2:45:00 AM,0,1.0634,12.994
5/11/2021,3:00:00 AM,0,1.0635,12.996
5/11/2021,3:15:00 AM,0,1.0618,12.994
5/11/2021,3:30:00 AM,0,1.0608,12.997
5/11/2021,3:45:00 AM,0,1.0595,13
5/11/2021,4:00:00 AM,0,1.0591,13.004
5/11/2021,4:15:00 AM,0,1.0585,13.012
5/11/2021,4:30:00 AM,0,1.0582,13.017
5/11/2021,4:45:00 AM,0,1.0584,13.024
5/11/2021,5:00:00 AM,0,1.0583,13.031
5/11/2021,5:15:00 AM,0,1.0585,13.034
5/11/2021,5:30:00 AM,0,1.0599,13.037
5/11/2021,5:45:00 AM,0,1.0582,13.037
5/11/2021,6:00:00 AM,0,1.0562,13.036
5/11/2021,6:15:00 AM,0,1.0562,13.033
5/11/2021,6:30:00 AM,0,1.056,13.029
5/11/2021,6:45:00 AM,0,1.0556,13.025
5/11/2021,7:00:00 AM,0,1.0558,13.018
5/11/2021,7:15:00 AM,0,1.0565,13.012
5/11/2021,7:30:00 AM,0,1.0555,13.003
5/11/2021,7:45:00 AM,0,1.0563,12.997
5/11/2021,8:00:00 AM,0,1.0563,12.989
5/11/2021,8:15:00 AM,0,1.0518,12.981
5/11/2021,8:30:00 AM,0,1.0564,12.975
5/11/2021,8:45:00 AM,0,1.0552,12.971
5/11/2021,9:00:00 AM,0,1.0499,12.965
5/11/2021,9:15:00 AM,0,1.0535,12.962
5/11/2021,9:30:00 AM,0,1.0509,12.961
5/11/2021,9:45:00 AM,0,1.0512,12.961
5/11/2021,10:00:00 AM,0,1.0501,12.961
5/11/2021,10:15:00 AM,0,1.0505,12.962
5/11/2021,10:30:00 AM,0,1.051,12.967
5/11/2021,10:45:00 AM,0,1.0524,12.971
