Date,Time,ms,LEVEL,TEMPERATURE
5/6/2021,12:00:00 AM,0,0.9972,8.441
5/6/2021,12:15:00 AM,0,0.9986,8.461
5/6/2021,12:30:00 AM,0,0.9989,8.448
5/6/2021,12:45:00 AM,0,0.9981,8.434
5/6/2021,1:00:00 AM,0,0.997,8.434
5/6/2021,1:15:00 AM,0,0.9985,8.423
5/6/2021,1:30:00 AM,0,0.9987,8.424
5/6/2021,1:45:00 AM,0,0.9991,8.423
5/6/2021,2:00:00 AM,0,0.9988,8.41
5/6/2021,2:15:00 AM,0,1.0001,8.392
5/6/2021,2:30:00 AM,0,1.0007,8.393
5/6/2021,2:45:00 AM,0,1.0004,8.391
5/6/2021,3:00:00 AM,0,0.9998,8.4
5/6/2021,3:15:00 AM,0,1.0013,8.397
5/6/2021,3:30:00 AM,0,1.0018,8.394
5/6/2021,3:45:00 AM,0,1.0015,8.387
5/6/2021,4:00:00 AM,0,1.0011,8.384
5/6/2021,4:15:00 AM,0,1.0004,8.387
5/6/2021,4:30:00 AM,0,1.0021,8.383
5/6/2021,4:45:00 AM,0,1.0043,8.379
5/6/2021,5:00:00 AM,0,1.0002,8.383
5/6/2021,5:15:00 AM,0,1.0018,8.377
5/6/2021,5:30:00 AM,0,1.0028,8.371
5/6/2021,5:45:00 AM,0,1.0034,8.376
5/6/2021,6:00:00 AM,0,1.0035,8.394
5/6/2021,6:15:00 AM,0,1.0027,8.388
5/6/2021,6:30:00 AM,0,1.0048,8.375
5/6/2021,6:45:00 AM,0,0.9999,8.371
5/6/2021,7:00:00 AM,0,1.0087,8.376
5/6/2021,7:15:00 AM,0,0.996,8.387
5/6/2021,7:30:00 AM,0,1.0035,8.391
5/6/2021,7:45:00 AM,0,0.9976,8.388
5/6/2021,8:00:00 AM,0,0.9968,8.396
5/6/2021,8:15:00 AM,0,0.9975,8.402
5/6/2021,8:30:00 AM,0,0.9958,8.411
5/6/2021,8:45:00 AM,0,0.9988,8.436
5/6/2021,9:00:00 AM,0,0.9984,8.481
5/6/2021,9:15:00 AM,0,0.998,8.501
5/6/2021,9:30:00 AM,0,0.9972,8.511
5/6/2021,9:45:00 AM,0,0.9992,8.518
5/6/2021,10:00:00 AM,0,0.9973,8.521
5/6/2021,10:15:00 AM,0,0.9955,8.53
5/6/2021,10:30:00 AM,0,0.9962,8.534
5/6/2021,10:45:00 AM,0,0.9962,8.537
5/6/2021,11:00:00 AM,0,0.997,8.537
5/6/2021,11:15:00 AM,0,0.9968,8.549
5/6/2021,11:30:00 AM,0,0.996,8.551
5/6/2021,11:45:00 AM,0,1.0026,8.554
5/6/2021,12:00:00 PM,0,0.9994,8.562
5/6/2021,12:15:00 PM,0,1.0004,8.586
5/6/2021,12:30:00 PM,0,1.0026,8.606
5/6/2021,12:45:00 PM,0,1.003,8.623
5/6/2021,1:00:00 PM,0,1.0035,8.647
5/6/2021,1:15:00 PM,0,1.0045,8.674
5/6/2021,1:30:00 PM,0,1.0068,8.691
5/6/2021,1:45:00 PM,0,1.0054,8.724
5/6/2021,2:00:00 PM,0,1.0031,8.75
5/6/2021,2:15:00 PM,0,1.0022,8.757
5/6/2021,2:30:00 PM,0,1.0006,8.752
5/6/2021,2:45:00 PM,0,0.9981,8.753
5/6/2021,3:00:00 PM,0,0.9985,8.744
5/6/2021,3:15:00 PM,0,0.9977,8.742
5/6/2021,3:30:00 PM,0,1.0017,8.783
5/6/2021,3:45:00 PM,0,1.0007,8.816
5/6/2021,4:00:00 PM,0,1.0003,8.833
5/6/2021,4:15:00 PM,0,0.9931,8.833
5/6/2021,4:30:00 PM,0,0.996,8.852
5/6/2021,4:45:00 PM,0,0.9952,8.848
5/6/2021,5:00:00 PM,0,0.9968,8.837
5/6/2021,5:15:00 PM,0,1.0021,8.8
5/6/2021,5:30:00 PM,0,1.0048,8.781
5/6/2021,5:45:00 PM,0,1.0031,8.761
5/6/2021,6:00:00 PM,0,1.0044,8.716
5/6/2021,6:15:00 PM,0,1.0047,8.704
5/6/2021,6:30:00 PM,0,1.0098,8.679
5/6/2021,6:45:00 PM,0,1.0094,8.641
5/6/2021,7:00:00 PM,0,1.0082,8.628
5/6/2021,7:15:00 PM,0,1.0112,8.611
5/6/2021,7:30:00 PM,0,1.0103,8.582
5/6/2021,7:45:00 PM,0,1.0125,8.559
5/6/2021,8:00:00 PM,0,1.012,8.546
5/6/2021,8:15:00 PM,0,1.0039,8.522
5/6/2021,8:30:00 PM,0,1.0004,8.514
5/6/2021,8:45:00 PM,0,0.9991,8.503
5/6/2021,9:00:00 PM,0,1.0017,8.488
5/6/2021,9:15:00 PM,0,1.0085,8.474
5/6/2021,9:30:00 PM,0,1.0069,8.452
5/6/2021,9:45:00 PM,0,1.0045,8.438
5/6/2021,10:00:00 PM,0,1.0018,8.435
5/6/2021,10:15:00 PM,0,1.0003,8.425
5/6/2021,10:30:00 PM,0,0.9997,8.427
5/6/2021,10:45:00 PM,0,0.9997,8.423
5/6/2021,11:00:00 PM,0,0.9989,8.414
5/6/2021,11:15:00 PM,0,0.9965,8.402
5/6/2021,11:30:00 PM,0,0.9964,8.395
5/6/2021,11:45:00 PM,0,0.9973,8.395
5/7/2021,12:00:00 AM,0,1.0005,8.403
5/7/2021,12:15:00 AM,0,1.0018,8.395
5/7/2021,12:30:00 AM,0,1.001,8.391
5/7/2021,12:45:00 AM,0,1.002,8.38
5/7/2021,1:00:00 AM,0,1.0042,8.374
5/7/2021,1:15:00 AM,0,1.0023,8.367
5/7/2021,1:30:00 AM,0,1.003,8.362
5/7/2021,1:45:00 AM,0,1.0092,8.356
5/7/2021,2:00:00 AM,0,1.0114,8.346
5/7/2021,2:15:00 AM,0,1.0126,8.34
5/7/2021,2:30:00 AM,0,1.0133,8.343
5/7/2021,2:45:00 AM,0,1.0141,8.342
5/7/2021,3:00:00 AM,0,1.0251,8.336
5/7/2021,3:15:00 AM,0,1.0258,8.346
5/7/2021,3:30:00 AM,0,1.0279,8.341
5/7/2021,3:45:00 AM,0,1.0296,8.335
5/7/2021,4:00:00 AM,0,1.0295,8.33
5/7/2021,4:15:00 AM,0,1.0297,8.326
5/7/2021,4:30:00 AM,0,1.0296,8.328
5/7/2021,4:45:00 AM,0,1.0293,8.325
5/7/2021,5:00:00 AM,0,1.0304,8.325
5/7/2021,5:15:00 AM,0,1.0322,8.323
5/7/2021,5:30:00 AM,0,1.0314,8.318
5/7/2021,5:45:00 AM,0,1.0324,8.311
5/7/2021,6:00:00 AM,0,1.0346,8.306
5/7/2021,6:15:00 AM,0,1.0361,8.308
5/7/2021,6:30:00 AM,0,1.0372,8.311
5/7/2021,6:45:00 AM,0,1.0369,8.315
5/7/2021,7:00:00 AM,0,1.0376,8.319
5/7/2021,7:15:00 AM,0,1.0368,8.321
5/7/2021,7:30:00 AM,0,1.0369,8.323
5/7/2021,7:45:00 AM,0,1.0375,8.325
5/7/2021,8:00:00 AM,0,1.036,8.332
5/7/2021,8:15:00 AM,0,1.0366,8.349
5/7/2021,8:30:00 AM,0,1.0369,8.369
5/7/2021,8:45:00 AM,0,1.036,8.385
5/7/2021,9:00:00 AM,0,1.0365,8.396
5/7/2021,9:15:00 AM,0,1.0376,8.412
5/7/2021,9:30:00 AM,0,1.0384,8.43
5/7/2021,9:45:00 AM,0,1.0395,8.459
5/7/2021,10:00:00 AM,0,1.0404,8.473
5/7/2021,10:15:00 AM,0,1.0404,8.492
5/7/2021,10:30:00 AM,0,1.0395,8.506
5/7/2021,10:45:00 AM,0,1.0394,8.531
5/7/2021,11:00:00 AM,0,1.04,8.553
5/7/2021,11:15:00 AM,0,1.0415,8.569
5/7/2021,11:30:00 AM,0,1.0409,8.592
5/7/2021,11:45:00 AM,0,1.0411,8.609
5/7/2021,12:00:00 PM,0,1.0407,8.622
5/7/2021,12:15:00 PM,0,1.0407,8.634
5/7/2021,12:30:00 PM,0,1.0412,8.656
5/7/2021,12:45:00 PM,0,1.04,8.697
5/7/2021,1:00:00 PM,0,1.0404,8.723
5/7/2021,1:15:00 PM,0,1.0402,8.751
5/7/2021,1:30:00 PM,0,1.0388,8.793
5/7/2021,1:45:00 PM,0,1.042,8.848
5/7/2021,2:00:00 PM,0,1.0415,8.862
5/7/2021,2:15:00 PM,0,1.0424,8.876
5/7/2021,2:30:00 PM,0,1.0401,8.874
5/7/2021,2:45:00 PM,0,1.0369,8.855
5/7/2021,3:00:00 PM,0,1.0343,8.849
5/7/2021,3:15:00 PM,0,1.0351,8.834
5/7/2021,3:30:00 PM,0,1.0336,8.824
5/7/2021,3:45:00 PM,0,1.0352,8.797
5/7/2021,4:00:00 PM,0,1.0347,8.778
5/7/2021,4:15:00 PM,0,1.0376,8.751
5/7/2021,4:30:00 PM,0,1.0383,8.733
5/7/2021,4:45:00 PM,0,1.0408,8.726
5/7/2021,5:00:00 PM,0,1.0381,8.777
5/7/2021,5:15:00 PM,0,1.0368,8.851
5/7/2021,5:30:00 PM,0,1.0351,8.876
5/7/2021,5:45:00 PM,0,1.0354,8.882
5/7/2021,6:00:00 PM,0,1.0383,8.88
5/7/2021,6:15:00 PM,0,1.0369,8.846
5/7/2021,6:30:00 PM,0,1.0361,8.815
5/7/2021,6:45:00 PM,0,1.0343,8.774
5/7/2021,7:00:00 PM,0,1.036,8.738
5/7/2021,7:15:00 PM,0,1.0363,8.703
5/7/2021,7:30:00 PM,0,1.0367,8.667
5/7/2021,7:45:00 PM,0,1.0365,8.629
5/7/2021,8:00:00 PM,0,1.042,8.596
5/7/2021,8:15:00 PM,0,1.0397,8.572
5/7/2021,8:30:00 PM,0,1.0401,8.548
5/7/2021,8:45:00 PM,0,1.0402,8.529
5/7/2021,9:00:00 PM,0,1.0393,8.512
5/7/2021,9:15:00 PM,0,1.0372,8.501
5/7/2021,9:30:00 PM,0,1.0361,8.488
5/7/2021,9:45:00 PM,0,1.0358,8.478
5/7/2021,10:00:00 PM,0,1.0357,8.463
5/7/2021,10:15:00 PM,0,1.0351,8.452
5/7/2021,10:30:00 PM,0,1.0349,8.439
5/7/2021,10:45:00 PM,0,1.0348,8.428
5/7/2021,11:00:00 PM,0,1.0333,8.416
5/7/2021,11:15:00 PM,0,1.0331,8.402
5/7/2021,11:30:00 PM,0,1.0327,8.395
5/7/2021,11:45:00 PM,0,1.0321,8.389
5/8/2021,12:00:00 AM,0,1.0307,8.377
5/8/2021,12:15:00 AM,0,1.032,8.372
5/8/2021,12:30:00 AM,0,1.0317,8.366
5/8/2021,12:45:00 AM,0,1.0305,8.361
5/8/2021,1:00:00 AM,0,1.028,8.359
5/8/2021,1:15:00 AM,0,1.0282,8.354
5/8/2021,1:30:00 AM,0,1.0285,8.356
5/8/2021,1:45:00 AM,0,1.0287,8.352
5/8/2021,2:00:00 AM,0,1.0279,8.351
5/8/2021,2:15:00 AM,0,1.0273,8.345
5/8/2021,2:30:00 AM,0,1.0283,8.345
5/8/2021,2:45:00 AM,0,1.0272,8.349
5/8/2021,3:00:00 AM,0,1.027,8.344
5/8/2021,3:15:00 AM,0,1.0257,8.342
5/8/2021,3:30:00 AM,0,1.0253,8.338
5/8/2021,3:45:00 AM,0,1.0244,8.327
5/8/2021,4:00:00 AM,0,1.0242,8.313
5/8/2021,4:15:00 AM,0,1.0239,8.31
5/8/2021,4:30:00 AM,0,1.0237,8.312
5/8/2021,4:45:00 AM,0,1.0226,8.315
5/8/2021,5:00:00 AM,0,1.0224,8.314
5/8/2021,5:15:00 AM,0,1.0212,8.312
5/8/2021,5:30:00 AM,0,1.0216,8.313
5/8/2021,5:45:00 AM,0,1.0207,8.311
5/8/2021,6:00:00 AM,0,1.0194,8.311
5/8/2021,6:15:00 AM,0,1.0186,8.313
5/8/2021,6:30:00 AM,0,1.0182,8.313
5/8/2021,6:45:00 AM,0,1.0178,8.316
5/8/2021,7:00:00 AM,0,1.0174,8.317
5/8/2021,7:15:00 AM,0,1.0175,8.318
5/8/2021,7:30:00 AM,0,1.0166,8.324
5/8/2021,7:45:00 AM,0,1.0166,8.325
5/8/2021,8:00:00 AM,0,1.0152,8.329
5/8/2021,8:15:00 AM,0,1.0151,8.337
5/8/2021,8:30:00 AM,0,1.0151,8.344
5/8/2021,8:45:00 AM,0,1.0152,8.355
5/8/2021,9:00:00 AM,0,1.0138,8.37
5/8/2021,9:15:00 AM,0,1.0128,8.386
5/8/2021,9:30:00 AM,0,1.0146,8.403
5/8/2021,9:45:00 AM,0,1.0131,8.42
5/8/2021,10:00:00 AM,0,1.0134,8.431
5/8/2021,10:15:00 AM,0,1.0149,8.446
5/8/2021,10:30:00 AM,0,1.0149,8.468
5/8/2021,10:45:00 AM,0,1.0139,8.493
5/8/2021,11:00:00 AM,0,1.0118,8.506
5/8/2021,11:15:00 AM,0,1.0094,8.516
5/8/2021,11:30:00 AM,0,1.0119,8.531
5/8/2021,11:45:00 AM,0,1.0104,8.545
5/8/2021,12:00:00 PM,0,1.009,8.571
5/8/2021,12:15:00 PM,0,1.0049,8.591
5/8/2021,12:30:00 PM,0,1.0069,8.619
5/8/2021,12:45:00 PM,0,1.0042,8.654
5/8/2021,1:00:00 PM,0,1.0037,8.689
5/8/2021,1:15:00 PM,0,1.0015,8.74
5/8/2021,1:30:00 PM,0,1.003,8.767
5/8/2021,1:45:00 PM,0,1.0043,8.787
5/8/2021,2:00:00 PM,0,1.0031,8.779
5/8/2021,2:15:00 PM,0,1.0036,8.768
5/8/2021,2:30:00 PM,0,1.0028,8.775
5/8/2021,2:45:00 PM,0,1.0014,8.779
5/8/2021,3:00:00 PM,0,1.0003,8.788
5/8/2021,3:15:00 PM,0,1,8.798
5/8/2021,3:30:00 PM,0,0.9992,8.79
5/8/2021,3:45:00 PM,0,0.9991,8.787
5/8/2021,4:00:00 PM,0,0.9984,8.8
5/8/2021,4:15:00 PM,0,0.9971,8.801
5/8/2021,4:30:00 PM,0,0.9977,8.795
5/8/2021,4:45:00 PM,0,0.997,8.799
5/8/2021,5:00:00 PM,0,0.9958,8.808
5/8/2021,5:15:00 PM,0,0.9952,8.807
5/8/2021,5:30:00 PM,0,0.9949,8.797
5/8/2021,5:45:00 PM,0,0.9936,8.805
5/8/2021,6:00:00 PM,0,0.9933,8.824
5/8/2021,6:15:00 PM,0,0.992,8.82
5/8/2021,6:30:00 PM,0,0.9906,8.787
5/8/2021,6:45:00 PM,0,0.9909,8.715
5/8/2021,7:00:00 PM,0,0.9905,8.645
5/8/2021,7:15:00 PM,0,0.9905,8.617
5/8/2021,7:30:00 PM,0,0.9897,8.598
5/8/2021,7:45:00 PM,0,0.9892,8.577
5/8/2021,8:00:00 PM,0,0.988,8.559
5/8/2021,8:15:00 PM,0,0.9885,8.535
5/8/2021,8:30:00 PM,0,0.9889,8.518
5/8/2021,8:45:00 PM,0,0.9888,8.506
5/8/2021,9:00:00 PM,0,0.987,8.49
5/8/2021,9:15:00 PM,0,0.9864,8.473
5/8/2021,9:30:00 PM,0,0.9872,8.461
5/8/2021,9:45:00 PM,0,0.9867,8.444
5/8/2021,10:00:00 PM,0,0.9867,8.428
5/8/2021,10:15:00 PM,0,0.9861,8.414
5/8/2021,10:30:00 PM,0,0.9852,8.404
5/8/2021,10:45:00 PM,0,0.9861,8.394
5/8/2021,11:00:00 PM,0,0.9863,8.375
5/8/2021,11:15:00 PM,0,0.9849,8.367
5/8/2021,11:30:00 PM,0,0.9834,8.358
5/8/2021,11:45:00 PM,0,0.9829,8.349
5/9/2021,12:00:00 AM,0,0.9828,8.346
5/9/2021,12:15:00 AM,0,0.9825,8.343
5/9/2021,12:30:00 AM,0,0.9815,8.348
5/9/2021,12:45:00 AM,0,0.981,8.347
5/9/2021,1:00:00 AM,0,0.9802,8.337
5/9/2021,1:15:00 AM,0,0.9796,8.329
5/9/2021,1:30:00 AM,0,0.9819,8.324
5/9/2021,1:45:00 AM,0,0.9838,8.32
5/9/2021,2:00:00 AM,0,0.985,8.319
5/9/2021,2:15:00 AM,0,0.9854,8.317
5/9/2021,2:30:00 AM,0,0.9856,8.315
5/9/2021,2:45:00 AM,0,0.9874,8.322
5/9/2021,3:00:00 AM,0,0.9882,8.327
5/9/2021,3:15:00 AM,0,0.9884,8.332
5/9/2021,3:30:00 AM,0,0.9866,8.332
5/9/2021,3:45:00 AM,0,0.9874,8.334
5/9/2021,4:00:00 AM,0,0.9873,8.335
5/9/2021,4:15:00 AM,0,0.9875,8.334
5/9/2021,4:30:00 AM,0,0.9874,8.328
5/9/2021,4:45:00 AM,0,0.9869,8.319
5/9/2021,5:00:00 AM,0,0.9861,8.32
5/9/2021,5:15:00 AM,0,0.9854,8.323
5/9/2021,5:30:00 AM,0,0.986,8.326
5/9/2021,5:45:00 AM,0,0.9844,8.327
5/9/2021,6:00:00 AM,0,0.985,8.331
5/9/2021,6:15:00 AM,0,0.9839,8.334
5/9/2021,6:30:00 AM,0,0.9839,8.336
5/9/2021,6:45:00 AM,0,0.9833,8.335
5/9/2021,7:00:00 AM,0,0.9828,8.339
5/9/2021,7:15:00 AM,0,0.9886,8.344
5/9/2021,7:30:00 AM,0,0.9851,8.346
5/9/2021,7:45:00 AM,0,0.9867,8.353
5/9/2021,8:00:00 AM,0,0.9857,8.358
5/9/2021,8:15:00 AM,0,0.98,8.36
5/9/2021,8:30:00 AM,0,0.9817,8.366
5/9/2021,8:45:00 AM,0,0.9864,8.375
5/9/2021,9:00:00 AM,0,0.9794,8.38
5/9/2021,9:15:00 AM,0,0.9783,8.387
5/9/2021,9:30:00 AM,0,0.9806,8.406
5/9/2021,9:45:00 AM,0,0.9785,8.412
5/9/2021,10:00:00 AM,0,0.9772,8.429
5/9/2021,10:15:00 AM,0,0.9771,8.449
5/9/2021,10:30:00 AM,0,0.9753,8.457
5/9/2021,10:45:00 AM,0,0.9755,8.474
5/9/2021,11:00:00 AM,0,0.9736,8.484
5/9/2021,11:15:00 AM,0,0.9722,8.497
5/9/2021,11:30:00 AM,0,0.9713,8.509
5/9/2021,11:45:00 AM,0,0.9691,8.523
5/9/2021,12:00:00 PM,0,0.9687,8.531
5/9/2021,12:15:00 PM,0,0.9656,8.553
5/9/2021,12:30:00 PM,0,0.9643,8.57
5/9/2021,12:45:00 PM,0,0.9653,8.598
5/9/2021,1:00:00 PM,0,0.9626,8.637
5/9/2021,1:15:00 PM,0,0.9619,8.712
5/9/2021,1:30:00 PM,0,0.9597,8.847
5/9/2021,1:45:00 PM,0,0.9611,9.008
5/9/2021,2:00:00 PM,0,0.9608,9.137
5/9/2021,2:15:00 PM,0,0.9589,9.259
5/9/2021,2:30:00 PM,0,0.9598,9.357
5/9/2021,2:45:00 PM,0,0.9603,9.46
5/9/2021,3:00:00 PM,0,0.959,9.569
5/9/2021,3:15:00 PM,0,0.9581,9.624
5/9/2021,3:30:00 PM,0,0.9581,9.644
5/9/2021,3:45:00 PM,0,0.9563,9.636
5/9/2021,4:00:00 PM,0,0.9584,9.666
5/9/2021,4:15:00 PM,0,0.9568,9.672
5/9/2021,4:30:00 PM,0,0.9571,9.684
5/9/2021,4:45:00 PM,0,0.9555,9.678
5/9/2021,5:00:00 PM,0,0.9563,9.644
5/9/2021,5:15:00 PM,0,0.9532,9.61
5/9/2021,5:30:00 PM,0,0.9509,9.597
5/9/2021,5:45:00 PM,0,0.9514,9.597
5/9/2021,6:00:00 PM,0,0.9513,9.608
5/9/2021,6:15:00 PM,0,0.9523,9.608
5/9/2021,6:30:00 PM,0,0.952,9.612
5/9/2021,6:45:00 PM,0,0.9521,9.576
5/9/2021,7:00:00 PM,0,0.9523,9.524
5/9/2021,7:15:00 PM,0,0.9529,9.445
5/9/2021,7:30:00 PM,0,0.9526,9.367
5/9/2021,7:45:00 PM,0,0.9539,9.278
5/9/2021,8:00:00 PM,0,0.9537,9.19
5/9/2021,8:15:00 PM,0,0.9531,9.117
5/9/2021,8:30:00 PM,0,0.9532,9.032
5/9/2021,8:45:00 PM,0,0.9551,8.971
5/9/2021,9:00:00 PM,0,0.9556,8.915
5/9/2021,9:15:00 PM,0,0.9548,8.86
5/9/2021,9:30:00 PM,0,0.9545,8.822
5/9/2021,9:45:00 PM,0,0.955,8.79
5/9/2021,10:00:00 PM,0,0.9547,8.765
5/9/2021,10:15:00 PM,0,0.9537,8.732
5/9/2021,10:30:00 PM,0,0.9529,8.698
5/9/2021,10:45:00 PM,0,0.9538,8.667
5/9/2021,11:00:00 PM,0,0.9544,8.641
