Date,Time,ms,LEVEL,TEMPERATURE
5/6/2021,12:00:00 AM,0,0.4655,11.869
5/6/2021,12:15:00 AM,0,0.4663,11.846
5/6/2021,12:30:00 AM,0,0.4668,11.824
5/6/2021,12:45:00 AM,0,0.4654,11.801
5/6/2021,1:00:00 AM,0,0.464,11.775
5/6/2021,1:15:00 AM,0,0.4645,11.755
5/6/2021,1:30:00 AM,0,0.4649,11.731
5/6/2021,1:45:00 AM,0,0.4654,11.706
5/6/2021,2:00:00 AM,0,0.4644,11.681
5/6/2021,2:15:00 AM,0,0.4661,11.659
5/6/2021,2:30:00 AM,0,0.4658,11.636
5/6/2021,2:45:00 AM,0,0.4649,11.604
5/6/2021,3:00:00 AM,0,0.4638,11.577
5/6/2021,3:15:00 AM,0,0.465,11.554
5/6/2021,3:30:00 AM,0,0.4657,11.533
5/6/2021,3:45:00 AM,0,0.4655,11.509
5/6/2021,4:00:00 AM,0,0.4649,11.487
5/6/2021,4:15:00 AM,0,0.4638,11.467
5/6/2021,4:30:00 AM,0,0.4641,11.446
5/6/2021,4:45:00 AM,0,0.466,11.428
5/6/2021,5:00:00 AM,0,0.4621,11.413
5/6/2021,5:15:00 AM,0,0.4636,11.402
5/6/2021,5:30:00 AM,0,0.4642,11.402
5/6/2021,5:45:00 AM,0,0.4652,11.406
5/6/2021,6:00:00 AM,0,0.4652,11.408
5/6/2021,6:15:00 AM,0,0.4644,11.394
5/6/2021,6:30:00 AM,0,0.4651,11.383
5/6/2021,6:45:00 AM,0,0.4601,11.377
5/6/2021,7:00:00 AM,0,0.4684,11.369
5/6/2021,7:15:00 AM,0,0.4557,11.363
5/6/2021,7:30:00 AM,0,0.4621,11.36
5/6/2021,7:45:00 AM,0,0.4572,11.358
5/6/2021,8:00:00 AM,0,0.4563,11.357
5/6/2021,8:15:00 AM,0,0.4559,11.353
5/6/2021,8:30:00 AM,0,0.4551,11.354
5/6/2021,8:45:00 AM,0,0.4562,11.353
5/6/2021,9:00:00 AM,0,0.456,11.36
5/6/2021,9:15:00 AM,0,0.4558,11.387
5/6/2021,9:30:00 AM,0,0.4556,11.411
5/6/2021,9:45:00 AM,0,0.4576,11.454
5/6/2021,10:00:00 AM,0,0.4566,11.493
5/6/2021,10:15:00 AM,0,0.4548,11.51
5/6/2021,10:30:00 AM,0,0.4553,11.532
5/6/2021,10:45:00 AM,0,0.4547,11.543
5/6/2021,11:00:00 AM,0,0.4551,11.543
5/6/2021,11:15:00 AM,0,0.4535,11.548
5/6/2021,11:30:00 AM,0,0.4524,11.556
5/6/2021,11:45:00 AM,0,0.4527,11.563
5/6/2021,12:00:00 PM,0,0.4494,11.567
5/6/2021,12:15:00 PM,0,0.4497,11.576
5/6/2021,12:30:00 PM,0,0.4514,11.593
5/6/2021,12:45:00 PM,0,0.4512,11.615
5/6/2021,1:00:00 PM,0,0.4521,11.639
5/6/2021,1:15:00 PM,0,0.4531,11.667
5/6/2021,1:30:00 PM,0,0.4557,11.698
5/6/2021,1:45:00 PM,0,0.4547,11.736
