Date,Time,ms,LEVEL,TEMPERATURE
6/21/2021,9:15:00 PM,0,1.9113,13.714
6/21/2021,9:30:00 PM,0,1.9088,13.746
6/21/2021,9:45:00 PM,0,1.9072,13.796
6/21/2021,10:00:00 PM,0,1.9058,13.845
6/21/2021,10:15:00 PM,0,1.9026,13.857
6/21/2021,10:30:00 PM,0,1.9003,13.878
6/21/2021,10:45:00 PM,0,1.898,13.885
6/21/2021,11:00:00 PM,0,1.8964,13.915
6/21/2021,11:15:00 PM,0,1.8945,13.897
6/21/2021,11:30:00 PM,0,1.892,13.91
6/21/2021,11:45:00 PM,0,1.8903,13.927
6/22/2021,12:00:00 AM,0,1.8883,13.913
6/22/2021,12:15:00 AM,0,1.8867,13.923
6/22/2021,12:30:00 AM,0,1.8877,13.953
6/22/2021,12:45:00 AM,0,1.8864,13.938
6/22/2021,1:00:00 AM,0,1.886,13.932
6/22/2021,1:15:00 AM,0,1.8866,13.914
6/22/2021,1:30:00 AM,0,1.888,13.908
6/22/2021,1:45:00 AM,0,1.8883,13.9
6/22/2021,2:00:00 AM,0,1.8898,13.886
6/22/2021,2:15:00 AM,0,1.8905,13.868
6/22/2021,2:30:00 AM,0,1.8924,13.849
6/22/2021,2:45:00 AM,0,1.8944,13.819
6/22/2021,3:00:00 AM,0,1.8953,13.804
6/22/2021,3:15:00 AM,0,1.8968,13.8
6/22/2021,3:30:00 AM,0,1.8996,13.798
6/22/2021,3:45:00 AM,0,1.9014,13.789
6/22/2021,4:00:00 AM,0,1.9037,13.783
6/22/2021,4:15:00 AM,0,1.9055,13.784
6/22/2021,4:30:00 AM,0,1.9073,13.764
6/22/2021,4:45:00 AM,0,1.9091,13.703
6/22/2021,5:00:00 AM,0,1.9105,13.61
6/22/2021,5:15:00 AM,0,1.9109,13.497
6/22/2021,5:30:00 AM,0,1.9126,13.364
6/22/2021,5:45:00 AM,0,1.9159,13.21
6/22/2021,6:00:00 AM,0,1.9218,13.038
6/22/2021,6:15:00 AM,0,1.9271,12.871
6/22/2021,6:30:00 AM,0,1.9324,12.712
6/22/2021,6:45:00 AM,0,1.9425,12.562
6/22/2021,7:00:00 AM,0,1.9482,12.444
6/22/2021,7:15:00 AM,0,1.9549,12.347
6/22/2021,7:30:00 AM,0,1.9622,12.289
6/22/2021,7:45:00 AM,0,1.9702,12.252
6/22/2021,8:00:00 AM,0,1.9768,12.225
6/22/2021,8:15:00 AM,0,1.9838,12.205
6/22/2021,8:30:00 AM,0,1.9912,12.202
6/22/2021,8:45:00 AM,0,1.9976,12.21
6/22/2021,9:00:00 AM,0,2.0057,12.233
6/22/2021,9:15:00 AM,0,2.0136,12.263
6/22/2021,9:30:00 AM,0,2.0219,12.303
6/22/2021,9:45:00 AM,0,2.0294,12.347
6/22/2021,10:00:00 AM,0,2.0402,12.388
6/22/2021,10:15:00 AM,0,2.0497,12.425
6/22/2021,10:30:00 AM,0,2.0594,12.46
6/22/2021,10:45:00 AM,0,2.0688,12.485
6/22/2021,11:00:00 AM,0,2.0769,12.508
6/22/2021,11:15:00 AM,0,2.0836,12.528
6/22/2021,11:30:00 AM,0,2.0904,12.55
6/22/2021,11:45:00 AM,0,2.0967,12.575
6/22/2021,12:00:00 PM,0,2.1022,12.599
6/22/2021,12:15:00 PM,0,2.1072,12.626
6/22/2021,12:30:00 PM,0,2.1124,12.651
6/22/2021,12:45:00 PM,0,2.1149,12.677
6/22/2021,1:00:00 PM,0,2.1185,12.701
6/22/2021,1:15:00 PM,0,2.1216,12.724
6/22/2021,1:30:00 PM,0,2.1238,12.748
6/22/2021,1:45:00 PM,0,2.1256,12.764
6/22/2021,2:00:00 PM,0,2.13,12.787
6/22/2021,2:15:00 PM,0,2.1322,12.809
6/22/2021,2:30:00 PM,0,2.1335,12.826
6/22/2021,2:45:00 PM,0,2.1333,12.836
6/22/2021,3:00:00 PM,0,2.1341,12.845
6/22/2021,3:15:00 PM,0,2.1332,12.851
6/22/2021,3:30:00 PM,0,2.1314,12.851
6/22/2021,3:45:00 PM,0,2.1299,12.855
6/22/2021,4:00:00 PM,0,2.1264,12.852
6/22/2021,4:15:00 PM,0,2.1251,12.847
6/22/2021,4:30:00 PM,0,2.1222,12.837
6/22/2021,4:45:00 PM,0,2.1215,12.83
6/22/2021,5:00:00 PM,0,2.1201,12.827
6/22/2021,5:15:00 PM,0,2.1166,12.829
6/22/2021,5:30:00 PM,0,2.1149,12.866
6/22/2021,5:45:00 PM,0,2.1128,12.905
6/22/2021,6:00:00 PM,0,2.112,12.948
6/22/2021,6:15:00 PM,0,2.1101,12.982
6/22/2021,6:30:00 PM,0,2.1082,13.015
6/22/2021,6:45:00 PM,0,2.108,13.084
6/22/2021,7:00:00 PM,0,2.1073,13.227
6/22/2021,7:15:00 PM,0,2.1063,13.403
6/22/2021,7:30:00 PM,0,2.1022,13.532
6/22/2021,7:45:00 PM,0,2.0994,13.657
6/22/2021,8:00:00 PM,0,2.097,13.745
6/22/2021,8:15:00 PM,0,2.0933,13.935
6/22/2021,8:30:00 PM,0,2.0889,14.166
6/22/2021,8:45:00 PM,0,2.0776,14.379
6/22/2021,9:00:00 PM,0,2.0753,14.52
6/22/2021,9:15:00 PM,0,2.072,14.634
6/22/2021,9:30:00 PM,0,2.068,14.738
6/22/2021,9:45:00 PM,0,2.065,14.826
6/22/2021,10:00:00 PM,0,2.0621,14.897
6/22/2021,10:15:00 PM,0,2.0596,14.959
6/22/2021,10:30:00 PM,0,2.0542,15.017
6/22/2021,10:45:00 PM,0,2.0509,15.079
6/22/2021,11:00:00 PM,0,2.0473,15.148
6/22/2021,11:15:00 PM,0,2.0434,15.196
6/22/2021,11:30:00 PM,0,2.0396,15.254
6/22/2021,11:45:00 PM,0,2.0348,15.299
6/23/2021,12:00:00 AM,0,2.0324,15.352
6/23/2021,12:15:00 AM,0,2.0302,15.408
6/23/2021,12:30:00 AM,0,2.0274,15.458
6/23/2021,12:45:00 AM,0,2.0275,15.519
6/23/2021,1:00:00 AM,0,2.0269,15.574
6/23/2021,1:15:00 AM,0,2.024,15.616
6/23/2021,1:30:00 AM,0,2.0164,15.664
6/23/2021,1:45:00 AM,0,2.0177,15.704
6/23/2021,2:00:00 AM,0,2.0179,15.699
6/23/2021,2:15:00 AM,0,2.0142,15.054
6/23/2021,2:30:00 AM,0,2.0134,14.742
6/23/2021,2:45:00 AM,0,2.013,14.564
6/23/2021,3:00:00 AM,0,2.0135,14.466
6/23/2021,3:15:00 AM,0,2.0132,14.382
6/23/2021,3:30:00 AM,0,2.0151,14.308
6/23/2021,3:45:00 AM,0,2.0175,14.245
6/23/2021,4:00:00 AM,0,2.0214,14.188
6/23/2021,4:15:00 AM,0,2.0251,14.142
6/23/2021,4:30:00 AM,0,2.0283,14.108
6/23/2021,4:45:00 AM,0,2.0326,14.088
6/23/2021,5:00:00 AM,0,2.0402,14.135
6/23/2021,5:15:00 AM,0,2.0412,13.477
6/23/2021,5:30:00 AM,0,2.0468,13.041
6/23/2021,5:45:00 AM,0,2.0517,12.742
6/23/2021,6:00:00 AM,0,2.0592,12.522
6/23/2021,6:15:00 AM,0,2.0653,12.415
6/23/2021,6:30:00 AM,0,2.07,12.367
6/23/2021,6:45:00 AM,0,2.0753,12.327
6/23/2021,7:00:00 AM,0,2.0791,12.296
6/23/2021,7:15:00 AM,0,2.0836,12.27
6/23/2021,7:30:00 AM,0,2.0881,12.259
6/23/2021,7:45:00 AM,0,2.0919,12.25
6/23/2021,8:00:00 AM,0,2.0958,12.244
6/23/2021,8:15:00 AM,0,2.0995,12.242
6/23/2021,8:30:00 AM,0,2.1028,12.243
6/23/2021,8:45:00 AM,0,2.1057,12.24
6/23/2021,9:00:00 AM,0,2.105,12.236
6/23/2021,9:15:00 AM,0,2.1071,12.232
6/23/2021,9:30:00 AM,0,2.1093,12.227
6/23/2021,9:45:00 AM,0,2.1083,12.225
6/23/2021,10:00:00 AM,0,2.1091,12.221
6/23/2021,10:15:00 AM,0,2.1099,12.219
6/23/2021,10:30:00 AM,0,2.1096,12.217
6/23/2021,10:45:00 AM,0,2.1096,12.215
