Date,Time,ms,LEVEL,TEMPERATURE
6/10/2021,11:45:00 AM,0,0.6927,12.633
6/10/2021,12:00:00 PM,0,0.6914,12.481
6/10/2021,12:15:00 PM,0,0.6921,12.501
6/10/2021,12:30:00 PM,0,0.695,12.572
6/10/2021,12:45:00 PM,0,0.6979,12.66
6/10/2021,1:00:00 PM,0,0.6998,12.76
6/10/2021,1:15:00 PM,0,0.7004,12.894
6/10/2021,1:30:00 PM,0,0.6998,13.064
6/10/2021,1:45:00 PM,0,0.6986,13.281
6/10/2021,2:00:00 PM,0,0.6983,13.461
6/10/2021,2:15:00 PM,0,0.7005,13.562
6/10/2021,2:30:00 PM,0,0.6983,13.604
6/10/2021,2:45:00 PM,0,0.6975,13.648
6/10/2021,3:00:00 PM,0,0.7008,13.782
6/10/2021,3:15:00 PM,0,0.6996,14.008
6/10/2021,3:30:00 PM,0,0.6963,14.225
6/10/2021,3:45:00 PM,0,0.6984,14.351
6/10/2021,4:00:00 PM,0,0.7016,14.335
6/10/2021,4:15:00 PM,0,0.6978,14.239
6/10/2021,4:30:00 PM,0,0.697,14.17
6/10/2021,4:45:00 PM,0,0.6954,14.172
6/10/2021,5:00:00 PM,0,0.6982,14.213
6/10/2021,5:15:00 PM,0,0.698,14.246
6/10/2021,5:30:00 PM,0,0.6973,14.227
6/10/2021,5:45:00 PM,0,0.698,14.125
6/10/2021,6:00:00 PM,0,0.6951,13.993
6/10/2021,6:15:00 PM,0,0.6929,13.894
6/10/2021,6:30:00 PM,0,0.6919,13.869
6/10/2021,6:45:00 PM,0,0.6908,13.884
6/10/2021,7:00:00 PM,0,0.6897,13.895
6/10/2021,7:15:00 PM,0,0.6898,13.88
6/10/2021,7:30:00 PM,0,0.6879,13.85
6/10/2021,7:45:00 PM,0,0.6856,13.827
6/10/2021,8:00:00 PM,0,0.6846,13.804
6/10/2021,8:15:00 PM,0,0.6823,13.772
6/10/2021,8:30:00 PM,0,0.6815,13.723
6/10/2021,8:45:00 PM,0,0.6806,13.661
6/10/2021,9:00:00 PM,0,0.6793,13.6
6/10/2021,9:15:00 PM,0,0.6756,13.552
6/10/2021,9:30:00 PM,0,0.6744,13.514
6/10/2021,9:45:00 PM,0,0.6742,13.466
6/10/2021,10:00:00 PM,0,0.6733,13.403
6/10/2021,10:15:00 PM,0,0.6705,13.333
6/10/2021,10:30:00 PM,0,0.6697,13.256
6/10/2021,10:45:00 PM,0,0.6686,13.171
6/10/2021,11:00:00 PM,0,0.6693,13.09
6/10/2021,11:15:00 PM,0,0.6654,13.014
6/10/2021,11:30:00 PM,0,0.664,12.941
6/10/2021,11:45:00 PM,0,0.6621,12.882
6/11/2021,12:00:00 AM,0,0.6616,12.823
6/11/2021,12:15:00 AM,0,0.6604,12.767
6/11/2021,12:30:00 AM,0,0.6597,12.72
6/11/2021,12:45:00 AM,0,0.6588,12.668
6/11/2021,1:00:00 AM,0,0.6579,12.626
6/11/2021,1:15:00 AM,0,0.6583,12.584
6/11/2021,1:30:00 AM,0,0.6561,12.543
6/11/2021,1:45:00 AM,0,0.6569,12.506
6/11/2021,2:00:00 AM,0,0.6554,12.465
6/11/2021,2:15:00 AM,0,0.656,12.426
6/11/2021,2:30:00 AM,0,0.6529,12.387
6/11/2021,2:45:00 AM,0,0.6513,12.351
6/11/2021,3:00:00 AM,0,0.6507,12.315
6/11/2021,3:15:00 AM,0,0.6498,12.274
6/11/2021,3:30:00 AM,0,0.6494,12.235
6/11/2021,3:45:00 AM,0,0.6467,12.199
6/11/2021,4:00:00 AM,0,0.6481,12.161
6/11/2021,4:15:00 AM,0,0.6469,12.125
6/11/2021,4:30:00 AM,0,0.6458,12.094
6/11/2021,4:45:00 AM,0,0.6452,12.059
6/11/2021,5:00:00 AM,0,0.6458,12.027
6/11/2021,5:15:00 AM,0,0.6435,11.996
6/11/2021,5:30:00 AM,0,0.6429,11.97
6/11/2021,5:45:00 AM,0,0.643,11.944
6/11/2021,6:00:00 AM,0,0.6416,11.922
6/11/2021,6:15:00 AM,0,0.6401,11.893
6/11/2021,6:30:00 AM,0,0.6396,11.867
6/11/2021,6:45:00 AM,0,0.6392,11.847
6/11/2021,7:00:00 AM,0,0.6399,11.828
6/11/2021,7:15:00 AM,0,0.6408,11.813
6/11/2021,7:30:00 AM,0,0.6405,11.797
6/11/2021,7:45:00 AM,0,0.6415,11.787
6/11/2021,8:00:00 AM,0,0.6407,11.777
