Date,Time,ms,LEVEL,TEMPERATURE
5/15/2021,12:00:00 AM,0,0.5733,13.371
5/15/2021,12:15:00 AM,0,0.5744,13.422
5/15/2021,12:30:00 AM,0,0.574,13.411
5/15/2021,12:45:00 AM,0,0.5733,13.387
5/15/2021,1:00:00 AM,0,0.5713,13.384
5/15/2021,1:15:00 AM,0,0.5721,13.386
5/15/2021,1:30:00 AM,0,0.5739,13.386
5/15/2021,1:45:00 AM,0,0.5726,13.379
5/15/2021,2:00:00 AM,0,0.5712,13.376
5/15/2021,2:15:00 AM,0,0.5727,13.365
5/15/2021,2:30:00 AM,0,0.5723,13.367
5/15/2021,2:45:00 AM,0,0.5718,13.359
5/15/2021,3:00:00 AM,0,0.5714,13.353
5/15/2021,3:15:00 AM,0,0.5715,13.348
5/15/2021,3:30:00 AM,0,0.5694,13.334
5/15/2021,3:45:00 AM,0,0.5703,13.322
5/15/2021,4:00:00 AM,0,0.5702,13.3
5/15/2021,4:15:00 AM,0,0.5709,13.285
5/15/2021,4:30:00 AM,0,0.574,13.251
5/15/2021,4:45:00 AM,0,0.5734,13.228
5/15/2021,5:00:00 AM,0,0.5727,13.195
5/15/2021,5:15:00 AM,0,0.571,13.162
5/15/2021,5:30:00 AM,0,0.5713,13.118
5/15/2021,5:45:00 AM,0,0.5713,13.081
5/15/2021,6:00:00 AM,0,0.5709,13.032
5/15/2021,6:15:00 AM,0,0.5737,12.988
5/15/2021,6:30:00 AM,0,0.5735,12.942
5/15/2021,6:45:00 AM,0,0.5716,12.877
5/15/2021,7:00:00 AM,0,0.5703,12.821
5/15/2021,7:15:00 AM,0,0.5704,12.781
5/15/2021,7:30:00 AM,0,0.5691,12.765
5/15/2021,7:45:00 AM,0,0.5659,12.728
5/15/2021,8:00:00 AM,0,0.5624,12.696
5/15/2021,8:15:00 AM,0,0.5669,12.672
5/15/2021,8:30:00 AM,0,0.5679,12.652
5/15/2021,8:45:00 AM,0,0.5755,12.625
5/15/2021,9:00:00 AM,0,0.5671,12.621
5/15/2021,9:15:00 AM,0,0.5689,12.596
5/15/2021,9:30:00 AM,0,0.5683,12.59
5/15/2021,9:45:00 AM,0,0.5699,12.607
5/15/2021,10:00:00 AM,0,0.5693,12.625
5/15/2021,10:15:00 AM,0,0.5703,12.651
5/15/2021,10:30:00 AM,0,0.5717,12.677
5/15/2021,10:45:00 AM,0,0.5726,12.702
5/15/2021,11:00:00 AM,0,0.5736,12.749
5/15/2021,11:15:00 AM,0,0.5736,12.788
5/15/2021,11:30:00 AM,0,0.5756,12.818
5/15/2021,11:45:00 AM,0,0.5767,12.871
5/15/2021,12:00:00 PM,0,0.5766,12.91
5/15/2021,12:15:00 PM,0,0.5782,12.951
5/15/2021,12:30:00 PM,0,0.5775,12.99
5/15/2021,12:45:00 PM,0,0.5773,13.019
5/15/2021,1:00:00 PM,0,0.5788,13.029
5/15/2021,1:15:00 PM,0,0.5785,13.048
5/15/2021,1:30:00 PM,0,0.5788,13.074
5/15/2021,1:45:00 PM,0,0.5795,13.096
5/15/2021,2:00:00 PM,0,0.5803,13.109
5/15/2021,2:15:00 PM,0,0.5787,13.124
5/15/2021,2:30:00 PM,0,0.5787,13.127
5/15/2021,2:45:00 PM,0,0.5791,13.125
5/15/2021,3:00:00 PM,0,0.5786,13.14
5/15/2021,3:15:00 PM,0,0.5778,13.163
5/15/2021,3:30:00 PM,0,0.5786,13.197
5/15/2021,3:45:00 PM,0,0.5785,13.21
5/15/2021,4:00:00 PM,0,0.5773,13.228
5/15/2021,4:15:00 PM,0,0.578,13.256
5/15/2021,4:30:00 PM,0,0.5784,13.261
5/15/2021,4:45:00 PM,0,0.5785,13.265
5/15/2021,5:00:00 PM,0,0.5779,13.285
5/15/2021,5:15:00 PM,0,0.5786,13.29
5/15/2021,5:30:00 PM,0,0.5776,13.311
5/15/2021,5:45:00 PM,0,0.5781,13.319
5/15/2021,6:00:00 PM,0,0.5762,13.332
5/15/2021,6:15:00 PM,0,0.5765,13.336
5/15/2021,6:30:00 PM,0,0.5762,13.338
5/15/2021,6:45:00 PM,0,0.5765,13.339
5/15/2021,7:00:00 PM,0,0.5772,13.346
5/15/2021,7:15:00 PM,0,0.5762,13.347
5/15/2021,7:30:00 PM,0,0.5748,13.35
5/15/2021,7:45:00 PM,0,0.5753,13.36
5/15/2021,8:00:00 PM,0,0.574,13.358
5/15/2021,8:15:00 PM,0,0.5728,13.341
5/15/2021,8:30:00 PM,0,0.5699,13.347
5/15/2021,8:45:00 PM,0,0.569,13.349
5/15/2021,9:00:00 PM,0,0.5671,13.35
5/15/2021,9:15:00 PM,0,0.5663,13.351
5/15/2021,9:30:00 PM,0,0.5651,13.354
5/15/2021,9:45:00 PM,0,0.5637,13.348
5/15/2021,10:00:00 PM,0,0.5631,13.336
5/15/2021,10:15:00 PM,0,0.5625,13.337
5/15/2021,10:30:00 PM,0,0.5615,13.332
5/15/2021,10:45:00 PM,0,0.5604,13.33
5/15/2021,11:00:00 PM,0,0.5599,13.335
5/15/2021,11:15:00 PM,0,0.5592,13.332
5/15/2021,11:30:00 PM,0,0.5593,13.33
5/15/2021,11:45:00 PM,0,0.559,13.325
5/16/2021,12:00:00 AM,0,0.5584,13.319
5/16/2021,12:15:00 AM,0,0.5583,13.323
5/16/2021,12:30:00 AM,0,0.5574,13.33
5/16/2021,12:45:00 AM,0,0.5576,13.352
5/16/2021,1:00:00 AM,0,0.5582,13.353
5/16/2021,1:15:00 AM,0,0.5574,13.343
5/16/2021,1:30:00 AM,0,0.557,13.36
5/16/2021,1:45:00 AM,0,0.557,13.357
5/16/2021,2:00:00 AM,0,0.5571,13.347
5/16/2021,2:15:00 AM,0,0.5564,13.356
5/16/2021,2:30:00 AM,0,0.5545,13.253
5/16/2021,2:45:00 AM,0,0.5564,13.315
5/16/2021,3:00:00 AM,0,0.5569,13.332
5/16/2021,3:15:00 AM,0,0.5577,13.345
5/16/2021,3:30:00 AM,0,0.5585,13.352
5/16/2021,3:45:00 AM,0,0.5578,13.343
5/16/2021,4:00:00 AM,0,0.5571,13.337
5/16/2021,4:15:00 AM,0,0.5556,13.328
5/16/2021,4:30:00 AM,0,0.5544,13.317
5/16/2021,4:45:00 AM,0,0.5547,13.306
5/16/2021,5:00:00 AM,0,0.5539,13.285
5/16/2021,5:15:00 AM,0,0.5528,13.267
5/16/2021,5:30:00 AM,0,0.5529,13.248
5/16/2021,5:45:00 AM,0,0.5535,13.232
5/16/2021,6:00:00 AM,0,0.5529,13.204
5/16/2021,6:15:00 AM,0,0.5523,13.185
5/16/2021,6:30:00 AM,0,0.5526,13.159
5/16/2021,6:45:00 AM,0,0.553,13.13
5/16/2021,7:00:00 AM,0,0.5538,13.097
5/16/2021,7:15:00 AM,0,0.5541,13.059
5/16/2021,7:30:00 AM,0,0.554,13.033
5/16/2021,7:45:00 AM,0,0.5561,13.001
5/16/2021,8:00:00 AM,0,0.5565,12.968
5/16/2021,8:15:00 AM,0,0.5575,12.965
5/16/2021,8:30:00 AM,0,0.5544,12.951
5/16/2021,8:45:00 AM,0,0.5548,12.933
5/16/2021,9:00:00 AM,0,0.5545,12.935
5/16/2021,9:15:00 AM,0,0.5578,12.931
5/16/2021,9:30:00 AM,0,0.5565,12.928
5/16/2021,9:45:00 AM,0,0.5572,12.932
5/16/2021,10:00:00 AM,0,0.557,12.957
5/16/2021,10:15:00 AM,0,0.5595,12.986
5/16/2021,10:30:00 AM,0,0.5621,13.02
5/16/2021,10:45:00 AM,0,0.5611,13.061
5/16/2021,11:00:00 AM,0,0.5598,13.093
5/16/2021,11:15:00 AM,0,0.5622,13.136
5/16/2021,11:30:00 AM,0,0.5632,13.178
5/16/2021,11:45:00 AM,0,0.5627,13.221
5/16/2021,12:00:00 PM,0,0.5649,13.256
5/16/2021,12:15:00 PM,0,0.5648,13.28
5/16/2021,12:30:00 PM,0,0.5661,13.328
5/16/2021,12:45:00 PM,0,0.5669,13.359
5/16/2021,1:00:00 PM,0,0.5664,13.38
5/16/2021,1:15:00 PM,0,0.5662,13.377
5/16/2021,1:30:00 PM,0,0.5673,13.406
5/16/2021,1:45:00 PM,0,0.5653,13.407
5/16/2021,2:00:00 PM,0,0.5664,13.419
