Date,Time,ms,LEVEL,TEMPERATURE
5/11/2021,12:00:00 AM,0,0.9818,14.26
5/11/2021,12:15:00 AM,0,0.9819,14.254
5/11/2021,12:30:00 AM,0,0.9826,14.249
5/11/2021,12:45:00 AM,0,0.9821,14.244
5/11/2021,1:00:00 AM,0,0.9817,14.24
5/11/2021,1:15:00 AM,0,0.9808,14.235
5/11/2021,1:30:00 AM,0,0.9805,14.233
5/11/2021,1:45:00 AM,0,0.9793,14.23
5/11/2021,2:00:00 AM,0,0.9788,14.227
5/11/2021,2:15:00 AM,0,0.9802,14.226
5/11/2021,2:30:00 AM,0,0.9811,14.234
5/11/2021,2:45:00 AM,0,0.9816,14.24
5/11/2021,3:00:00 AM,0,0.9808,14.244
5/11/2021,3:15:00 AM,0,0.98,14.246
5/11/2021,3:30:00 AM,0,0.9795,14.246
5/11/2021,3:45:00 AM,0,0.9777,14.244
5/11/2021,4:00:00 AM,0,0.9785,14.241
5/11/2021,4:15:00 AM,0,0.9778,14.24
5/11/2021,4:30:00 AM,0,0.9759,14.241
5/11/2021,4:45:00 AM,0,0.975,14.238
5/11/2021,5:00:00 AM,0,0.9753,14.237
5/11/2021,5:15:00 AM,0,0.9743,14.235
5/11/2021,5:30:00 AM,0,0.9771,14.23
5/11/2021,5:45:00 AM,0,0.977,14.229
5/11/2021,6:00:00 AM,0,0.976,14.227
5/11/2021,6:15:00 AM,0,0.9762,14.223
5/11/2021,6:30:00 AM,0,0.9752,14.223
5/11/2021,6:45:00 AM,0,0.9753,14.219
5/11/2021,7:00:00 AM,0,0.9748,14.216
5/11/2021,7:15:00 AM,0,0.9774,14.212
5/11/2021,7:30:00 AM,0,0.9756,14.209
5/11/2021,7:45:00 AM,0,0.9762,14.206
5/11/2021,8:00:00 AM,0,0.9763,14.202
5/11/2021,8:15:00 AM,0,0.9733,14.197
5/11/2021,8:30:00 AM,0,0.9773,14.193
5/11/2021,8:45:00 AM,0,0.9772,14.186
5/11/2021,9:00:00 AM,0,0.9737,14.183
5/11/2021,9:15:00 AM,0,0.9793,14.179
5/11/2021,9:30:00 AM,0,0.9764,14.175
5/11/2021,9:45:00 AM,0,0.977,14.175
5/11/2021,10:00:00 AM,0,0.9755,14.173
5/11/2021,10:15:00 AM,0,0.9761,14.176
5/11/2021,10:30:00 AM,0,0.9771,14.175
5/11/2021,10:45:00 AM,0,0.9795,14.171
5/11/2021,11:00:00 AM,0,0.975,14.168
5/11/2021,11:15:00 AM,0,0.9763,14.167
5/11/2021,11:30:00 AM,0,0.9764,14.166
5/11/2021,11:45:00 AM,0,0.9768,14.165
5/11/2021,12:00:00 PM,0,0.9766,14.161
5/11/2021,12:15:00 PM,0,0.975,14.159
5/11/2021,12:30:00 PM,0,0.9767,14.157
5/11/2021,12:45:00 PM,0,0.9768,14.153
5/11/2021,1:00:00 PM,0,0.9747,14.149
5/11/2021,1:15:00 PM,0,0.976,14.147
5/11/2021,1:30:00 PM,0,0.9748,14.147
5/11/2021,1:45:00 PM,0,0.9727,14.146
5/11/2021,2:00:00 PM,0,0.9746,14.147
5/11/2021,2:15:00 PM,0,0.975,14.149
5/11/2021,2:30:00 PM,0,0.9738,14.15
5/11/2021,2:45:00 PM,0,0.9744,14.153
5/11/2021,3:00:00 PM,0,0.9746,14.154
5/11/2021,3:15:00 PM,0,0.9736,14.158
5/11/2021,3:30:00 PM,0,0.9721,14.164
5/11/2021,3:45:00 PM,0,0.9722,14.168
5/11/2021,4:00:00 PM,0,0.9717,14.171
5/11/2021,4:15:00 PM,0,0.9719,14.173
5/11/2021,4:30:00 PM,0,0.9715,14.176
5/11/2021,4:45:00 PM,0,0.9709,14.178
5/11/2021,5:00:00 PM,0,0.9705,14.183
5/11/2021,5:15:00 PM,0,0.9704,14.19
5/11/2021,5:30:00 PM,0,0.9679,14.198
5/11/2021,5:45:00 PM,0,0.9683,14.201
5/11/2021,6:00:00 PM,0,0.9684,14.203
5/11/2021,6:15:00 PM,0,0.9689,14.206
5/11/2021,6:30:00 PM,0,0.968,14.209
5/11/2021,6:45:00 PM,0,0.9678,14.211
5/11/2021,7:00:00 PM,0,0.9667,14.212
5/11/2021,7:15:00 PM,0,0.9667,14.218
5/11/2021,7:30:00 PM,0,0.9664,14.22
5/11/2021,7:45:00 PM,0,0.9659,14.224
5/11/2021,8:00:00 PM,0,0.9649,14.228
5/11/2021,8:15:00 PM,0,0.9648,14.231
5/11/2021,8:30:00 PM,0,0.9645,14.235
5/11/2021,8:45:00 PM,0,0.9648,14.239
5/11/2021,9:00:00 PM,0,0.9645,14.242
5/11/2021,9:15:00 PM,0,0.964,14.247
5/11/2021,9:30:00 PM,0,0.9627,14.249
5/11/2021,9:45:00 PM,0,0.9628,14.256
