Date,Time,ms,LEVEL,TEMPERATURE
5/6/2021,12:00:00 AM,0,0.7176,8.415
5/6/2021,12:15:00 AM,0,0.7188,8.395
5/6/2021,12:30:00 AM,0,0.719,8.379
5/6/2021,12:45:00 AM,0,0.7189,8.361
5/6/2021,1:00:00 AM,0,0.7192,8.349
5/6/2021,1:15:00 AM,0,0.7188,8.339
5/6/2021,1:30:00 AM,0,0.7188,8.326
5/6/2021,1:45:00 AM,0,0.7199,8.314
5/6/2021,2:00:00 AM,0,0.7201,8.306
5/6/2021,2:15:00 AM,0,0.7217,8.301
5/6/2021,2:30:00 AM,0,0.7223,8.294
5/6/2021,2:45:00 AM,0,0.7225,8.289
5/6/2021,3:00:00 AM,0,0.7222,8.289
5/6/2021,3:15:00 AM,0,0.7236,8.285
5/6/2021,3:30:00 AM,0,0.7252,8.286
5/6/2021,3:45:00 AM,0,0.7257,8.277
5/6/2021,4:00:00 AM,0,0.7255,8.261
5/6/2021,4:15:00 AM,0,0.7255,8.249
5/6/2021,4:30:00 AM,0,0.726,8.241
5/6/2021,4:45:00 AM,0,0.7275,8.228
5/6/2021,5:00:00 AM,0,0.7258,8.214
5/6/2021,5:15:00 AM,0,0.726,8.203
5/6/2021,5:30:00 AM,0,0.7276,8.196
5/6/2021,5:45:00 AM,0,0.7273,8.19
5/6/2021,6:00:00 AM,0,0.7279,8.182
5/6/2021,6:15:00 AM,0,0.7276,8.181
5/6/2021,6:30:00 AM,0,0.73,8.178
5/6/2021,6:45:00 AM,0,0.7249,8.179
5/6/2021,7:00:00 AM,0,0.7342,8.178
5/6/2021,7:15:00 AM,0,0.7272,8.183
5/6/2021,7:30:00 AM,0,0.7333,8.186
5/6/2021,7:45:00 AM,0,0.7304,8.194
5/6/2021,8:00:00 AM,0,0.7311,8.206
5/6/2021,8:15:00 AM,0,0.7313,8.219
5/6/2021,8:30:00 AM,0,0.7317,8.233
5/6/2021,8:45:00 AM,0,0.732,8.253
5/6/2021,9:00:00 AM,0,0.7336,8.279
5/6/2021,9:15:00 AM,0,0.7331,8.306
5/6/2021,9:30:00 AM,0,0.7343,8.329
5/6/2021,9:45:00 AM,0,0.7355,8.35
5/6/2021,10:00:00 AM,0,0.7343,8.37
5/6/2021,10:15:00 AM,0,0.7313,8.385
5/6/2021,10:30:00 AM,0,0.7332,8.414
5/6/2021,10:45:00 AM,0,0.7319,8.446
5/6/2021,11:00:00 AM,0,0.7342,8.48
5/6/2021,11:15:00 AM,0,0.7341,8.516
5/6/2021,11:30:00 AM,0,0.7325,8.541
5/6/2021,11:45:00 AM,0,0.7317,8.562
5/6/2021,12:00:00 PM,0,0.7348,8.578
5/6/2021,12:15:00 PM,0,0.7348,8.603
5/6/2021,12:30:00 PM,0,0.735,8.627
5/6/2021,12:45:00 PM,0,0.7352,8.656
5/6/2021,1:00:00 PM,0,0.7352,8.704
5/6/2021,1:15:00 PM,0,0.737,8.785
5/6/2021,1:30:00 PM,0,0.7415,8.911
5/6/2021,1:45:00 PM,0,0.7426,9.027
5/6/2021,2:00:00 PM,0,0.7408,9.132
