Date,Time,ms,LEVEL,TEMPERATURE
5/6/2021,12:00:00 AM,0,0.9337,15.452
5/6/2021,12:15:00 AM,0,0.9332,15.45
5/6/2021,12:30:00 AM,0,0.9338,15.457
5/6/2021,12:45:00 AM,0,0.9343,15.446
5/6/2021,1:00:00 AM,0,0.9336,15.433
5/6/2021,1:15:00 AM,0,0.9345,15.434
5/6/2021,1:30:00 AM,0,0.9335,15.399
5/6/2021,1:45:00 AM,0,0.9337,15.366
5/6/2021,2:00:00 AM,0,0.9345,15.326
5/6/2021,2:15:00 AM,0,0.934,15.305
5/6/2021,2:30:00 AM,0,0.9353,15.296
5/6/2021,2:45:00 AM,0,0.9342,15.26
5/6/2021,3:00:00 AM,0,0.9346,15.222
5/6/2021,3:15:00 AM,0,0.9339,15.208
5/6/2021,3:30:00 AM,0,0.9347,15.198
5/6/2021,3:45:00 AM,0,0.9344,15.153
5/6/2021,4:00:00 AM,0,0.9342,15.118
5/6/2021,4:15:00 AM,0,0.935,15.094
5/6/2021,4:30:00 AM,0,0.9354,15.082
5/6/2021,4:45:00 AM,0,0.9346,15.076
5/6/2021,5:00:00 AM,0,0.934,15.067
5/6/2021,5:15:00 AM,0,0.9352,15.048
5/6/2021,5:30:00 AM,0,0.9339,15.022
5/6/2021,5:45:00 AM,0,0.9348,14.974
5/6/2021,6:00:00 AM,0,0.9343,14.966
5/6/2021,6:15:00 AM,0,0.9349,14.96
5/6/2021,6:30:00 AM,0,0.9351,14.939
5/6/2021,6:45:00 AM,0,0.9356,14.908
5/6/2021,7:00:00 AM,0,0.9356,14.886
5/6/2021,7:15:00 AM,0,0.9345,14.885
5/6/2021,7:30:00 AM,0,0.9351,14.876
5/6/2021,7:45:00 AM,0,0.9357,14.895
5/6/2021,8:00:00 AM,0,0.9353,14.937
5/6/2021,8:15:00 AM,0,0.9359,14.945
5/6/2021,8:30:00 AM,0,0.9359,14.95
5/6/2021,8:45:00 AM,0,0.9359,14.988
5/6/2021,9:00:00 AM,0,0.9358,15.012
5/6/2021,9:15:00 AM,0,0.9357,15.022
5/6/2021,9:30:00 AM,0,0.9354,15.029
5/6/2021,9:45:00 AM,0,0.9354,15.035
5/6/2021,10:00:00 AM,0,0.9357,15.051
5/6/2021,10:15:00 AM,0,0.9359,15.063
5/6/2021,10:30:00 AM,0,0.9366,15.074
5/6/2021,10:45:00 AM,0,0.9357,15.105
5/6/2021,11:00:00 AM,0,0.9351,15.148
5/6/2021,11:15:00 AM,0,0.9353,15.184
5/6/2021,11:30:00 AM,0,0.9354,15.176
5/6/2021,11:45:00 AM,0,0.935,15.191
5/6/2021,12:00:00 PM,0,0.9351,15.247
5/6/2021,12:15:00 PM,0,0.9354,15.261
5/6/2021,12:30:00 PM,0,0.9355,15.176
5/6/2021,12:45:00 PM,0,0.9354,15.153
5/6/2021,1:00:00 PM,0,0.9343,15.181
5/6/2021,1:15:00 PM,0,0.9345,15.235
5/6/2021,1:30:00 PM,0,0.9347,15.271
5/6/2021,1:45:00 PM,0,0.9342,15.297
5/6/2021,2:00:00 PM,0,0.9346,15.303
5/6/2021,2:15:00 PM,0,0.934,15.327
5/6/2021,2:30:00 PM,0,0.9335,15.358
5/6/2021,2:45:00 PM,0,0.934,15.453
5/6/2021,3:00:00 PM,0,0.9344,15.543
5/6/2021,3:15:00 PM,0,0.933,15.539
5/6/2021,3:30:00 PM,0,0.9358,15.54
5/6/2021,3:45:00 PM,0,0.9325,16.085
5/6/2021,4:00:00 PM,0,0.9337,16.364
5/6/2021,4:15:00 PM,0,0.9322,16.505
5/6/2021,4:30:00 PM,0,0.935,16.057
5/6/2021,4:45:00 PM,0,0.9333,15.83
5/6/2021,5:00:00 PM,0,0.9345,15.782
5/6/2021,5:15:00 PM,0,0.9332,15.846
5/6/2021,5:30:00 PM,0,0.9336,15.859
5/6/2021,5:45:00 PM,0,0.9337,15.812
5/6/2021,6:00:00 PM,0,0.934,15.85
5/6/2021,6:15:00 PM,0,0.9336,15.563
5/6/2021,6:30:00 PM,0,0.9337,15.618
5/6/2021,6:45:00 PM,0,0.9339,15.675
5/6/2021,7:00:00 PM,0,0.9331,15.623
5/6/2021,7:15:00 PM,0,0.9335,15.578
5/6/2021,7:30:00 PM,0,0.9334,15.521
5/6/2021,7:45:00 PM,0,0.9335,15.458
5/6/2021,8:00:00 PM,0,0.9343,15.339
5/6/2021,8:15:00 PM,0,0.9332,15.242
5/6/2021,8:30:00 PM,0,0.9341,15.528
5/6/2021,8:45:00 PM,0,0.9353,15.158
5/6/2021,9:00:00 PM,0,0.9347,15.048
5/6/2021,9:15:00 PM,0,0.9345,15.088
5/6/2021,9:30:00 PM,0,0.9345,15.102
5/6/2021,9:45:00 PM,0,0.9345,15.117
5/6/2021,10:00:00 PM,0,0.9339,15.08
5/6/2021,10:15:00 PM,0,0.9347,15.036
5/6/2021,10:30:00 PM,0,0.9344,14.976
5/6/2021,10:45:00 PM,0,0.9346,14.98
5/6/2021,11:00:00 PM,0,0.9345,15.01
5/6/2021,11:15:00 PM,0,0.9343,15.06
5/6/2021,11:30:00 PM,0,0.9339,15.045
5/6/2021,11:45:00 PM,0,0.9344,15.068
5/7/2021,12:00:00 AM,0,0.9345,15.107
5/7/2021,12:15:00 AM,0,0.9341,15.133
5/7/2021,12:30:00 AM,0,0.9345,15.151
5/7/2021,12:45:00 AM,0,0.9345,15.177
5/7/2021,1:00:00 AM,0,0.9347,15.206
5/7/2021,1:15:00 AM,0,0.9344,15.237
5/7/2021,1:30:00 AM,0,0.9347,15.232
5/7/2021,1:45:00 AM,0,0.9346,15.214
5/7/2021,2:00:00 AM,0,0.9347,15.198
5/7/2021,2:15:00 AM,0,0.9351,15.168
5/7/2021,2:30:00 AM,0,0.9349,15.155
5/7/2021,2:45:00 AM,0,0.9349,15.127
5/7/2021,3:00:00 AM,0,0.9351,15.109
5/7/2021,3:15:00 AM,0,0.935,15.087
5/7/2021,3:30:00 AM,0,0.9352,15.065
5/7/2021,3:45:00 AM,0,0.9352,15.041
5/7/2021,4:00:00 AM,0,0.9352,15.017
5/7/2021,4:15:00 AM,0,0.9356,14.984
5/7/2021,4:30:00 AM,0,0.9355,14.951
5/7/2021,4:45:00 AM,0,0.9357,14.93
5/7/2021,5:00:00 AM,0,0.936,14.904
5/7/2021,5:15:00 AM,0,0.9366,14.881
5/7/2021,5:30:00 AM,0,0.9371,14.858
5/7/2021,5:45:00 AM,0,0.9377,14.831
5/7/2021,6:00:00 AM,0,0.9375,14.805
5/7/2021,6:15:00 AM,0,0.9377,14.782
5/7/2021,6:30:00 AM,0,0.9379,14.77
5/7/2021,6:45:00 AM,0,0.9379,14.755
5/7/2021,7:00:00 AM,0,0.9382,14.741
5/7/2021,7:15:00 AM,0,0.9378,14.727
5/7/2021,7:30:00 AM,0,0.938,14.706
5/7/2021,7:45:00 AM,0,0.9386,14.685
5/7/2021,8:00:00 AM,0,0.9382,14.665
5/7/2021,8:15:00 AM,0,0.9388,14.657
5/7/2021,8:30:00 AM,0,0.9392,14.636
5/7/2021,8:45:00 AM,0,0.9394,14.605
5/7/2021,9:00:00 AM,0,0.9405,14.578
5/7/2021,9:15:00 AM,0,0.941,14.556
5/7/2021,9:30:00 AM,0,0.9414,14.538
5/7/2021,9:45:00 AM,0,0.9412,14.53
5/7/2021,10:00:00 AM,0,0.9416,14.518
5/7/2021,10:15:00 AM,0,0.9413,14.514
5/7/2021,10:30:00 AM,0,0.942,14.514
5/7/2021,10:45:00 AM,0,0.9418,14.517
5/7/2021,11:00:00 AM,0,0.9417,14.522
5/7/2021,11:15:00 AM,0,0.9419,14.534
5/7/2021,11:30:00 AM,0,0.9416,14.54
5/7/2021,11:45:00 AM,0,0.9419,14.553
5/7/2021,12:00:00 PM,0,0.9411,14.589
5/7/2021,12:15:00 PM,0,0.9415,14.646
5/7/2021,12:30:00 PM,0,0.9417,14.687
5/7/2021,12:45:00 PM,0,0.9415,14.714
5/7/2021,1:00:00 PM,0,0.9412,14.737
5/7/2021,1:15:00 PM,0,0.9414,14.758
5/7/2021,1:30:00 PM,0,0.9418,14.771
5/7/2021,1:45:00 PM,0,0.9411,14.792
5/7/2021,2:00:00 PM,0,0.9408,14.829
5/7/2021,2:15:00 PM,0,0.9409,14.832
5/7/2021,2:30:00 PM,0,0.9407,14.834
5/7/2021,2:45:00 PM,0,0.9404,14.82
5/7/2021,3:00:00 PM,0,0.9427,14.807
5/7/2021,3:15:00 PM,0,0.9424,14.775
5/7/2021,3:30:00 PM,0,0.9428,14.735
5/7/2021,3:45:00 PM,0,0.9437,14.705
5/7/2021,4:00:00 PM,0,0.9446,14.687
5/7/2021,4:15:00 PM,0,0.945,14.682
5/7/2021,4:30:00 PM,0,0.9438,14.686
5/7/2021,4:45:00 PM,0,0.9434,14.7
5/7/2021,5:00:00 PM,0,0.9435,14.718
5/7/2021,5:15:00 PM,0,0.944,14.736
5/7/2021,5:30:00 PM,0,0.9414,14.757
5/7/2021,5:45:00 PM,0,0.9433,14.754
5/7/2021,6:00:00 PM,0,0.9445,14.745
5/7/2021,6:15:00 PM,0,0.9442,14.74
5/7/2021,6:30:00 PM,0,0.9438,14.735
5/7/2021,6:45:00 PM,0,0.9436,14.72
5/7/2021,7:00:00 PM,0,0.9439,14.697
5/7/2021,7:15:00 PM,0,0.9444,14.681
5/7/2021,7:30:00 PM,0,0.9442,14.63
5/7/2021,7:45:00 PM,0,0.9445,14.587
5/7/2021,8:00:00 PM,0,0.9451,14.554
5/7/2021,8:15:00 PM,0,0.9447,14.481
5/7/2021,8:30:00 PM,0,0.9447,14.438
5/7/2021,8:45:00 PM,0,0.9448,14.399
5/7/2021,9:00:00 PM,0,0.9445,14.383
5/7/2021,9:15:00 PM,0,0.9445,14.359
5/7/2021,9:30:00 PM,0,0.9445,14.342
5/7/2021,9:45:00 PM,0,0.9444,14.343
5/7/2021,10:00:00 PM,0,0.9445,14.336
5/7/2021,10:15:00 PM,0,0.9438,14.328
5/7/2021,10:30:00 PM,0,0.9436,14.324
5/7/2021,10:45:00 PM,0,0.9437,14.316
5/7/2021,11:00:00 PM,0,0.9436,14.308
5/7/2021,11:15:00 PM,0,0.9432,14.296
5/7/2021,11:30:00 PM,0,0.9433,14.283
5/7/2021,11:45:00 PM,0,0.9435,14.263
5/8/2021,12:00:00 AM,0,0.943,14.248
5/8/2021,12:15:00 AM,0,0.9432,14.226
5/8/2021,12:30:00 AM,0,0.9432,14.207
5/8/2021,12:45:00 AM,0,0.9432,14.191
5/8/2021,1:00:00 AM,0,0.9425,14.162
5/8/2021,1:15:00 AM,0,0.9427,14.14
5/8/2021,1:30:00 AM,0,0.9425,14.122
5/8/2021,1:45:00 AM,0,0.9426,14.103
5/8/2021,2:00:00 AM,0,0.9423,14.081
5/8/2021,2:15:00 AM,0,0.9425,14.056
5/8/2021,2:30:00 AM,0,0.9424,14.031
5/8/2021,2:45:00 AM,0,0.9424,13.998
5/8/2021,3:00:00 AM,0,0.9422,13.972
5/8/2021,3:15:00 AM,0,0.9424,13.954
5/8/2021,3:30:00 AM,0,0.9425,13.939
5/8/2021,3:45:00 AM,0,0.942,13.916
5/8/2021,4:00:00 AM,0,0.9422,13.903
5/8/2021,4:15:00 AM,0,0.942,13.879
5/8/2021,4:30:00 AM,0,0.9417,13.846
5/8/2021,4:45:00 AM,0,0.9417,13.821
5/8/2021,5:00:00 AM,0,0.9414,13.808
5/8/2021,5:15:00 AM,0,0.9415,13.8
5/8/2021,5:30:00 AM,0,0.9413,13.786
5/8/2021,5:45:00 AM,0,0.9412,13.745
5/8/2021,6:00:00 AM,0,0.9416,13.715
5/8/2021,6:15:00 AM,0,0.9413,13.696
5/8/2021,6:30:00 AM,0,0.9415,13.683
5/8/2021,6:45:00 AM,0,0.9414,13.661
5/8/2021,7:00:00 AM,0,0.9412,13.64
5/8/2021,7:15:00 AM,0,0.9412,13.624
5/8/2021,7:30:00 AM,0,0.941,13.609
5/8/2021,7:45:00 AM,0,0.9414,13.597
5/8/2021,8:00:00 AM,0,0.9417,13.593
5/8/2021,8:15:00 AM,0,0.9422,13.587
