Date,Time,ms,LEVEL,TEMPERATURE
6/23/2021,11:30:00 AM,0,0.8367,13.181
6/23/2021,11:45:00 AM,0,0.8356,13.085
6/23/2021,12:00:00 PM,0,0.833,13.043
6/23/2021,12:15:00 PM,0,0.8317,13.052
6/23/2021,12:30:00 PM,0,0.8302,13.068
6/23/2021,12:45:00 PM,0,0.8307,13.107
6/23/2021,1:00:00 PM,0,0.8308,13.111
6/23/2021,1:15:00 PM,0,0.8291,13.156
6/23/2021,1:30:00 PM,0,0.8279,13.216
6/23/2021,1:45:00 PM,0,0.83,13.262
6/23/2021,2:00:00 PM,0,0.8287,13.265
6/23/2021,2:15:00 PM,0,0.8295,13.32
6/23/2021,2:30:00 PM,0,0.8269,13.378
6/23/2021,2:45:00 PM,0,0.8313,13.384
6/23/2021,3:00:00 PM,0,0.8289,13.433
6/23/2021,3:15:00 PM,0,0.8297,13.451
6/23/2021,3:30:00 PM,0,0.8311,13.461
6/23/2021,3:45:00 PM,0,0.8292,13.474
6/23/2021,4:00:00 PM,0,0.8295,13.522
6/23/2021,4:15:00 PM,0,0.8273,13.577
6/23/2021,4:30:00 PM,0,0.83,13.651
6/23/2021,4:45:00 PM,0,0.8282,13.638
6/23/2021,5:00:00 PM,0,0.8285,13.652
6/23/2021,5:15:00 PM,0,0.8288,13.705
6/23/2021,5:30:00 PM,0,0.8287,13.722
6/23/2021,5:45:00 PM,0,0.8288,13.656
6/23/2021,6:00:00 PM,0,0.8279,13.739
6/23/2021,6:15:00 PM,0,0.827,13.749
6/23/2021,6:30:00 PM,0,0.828,13.725
6/23/2021,6:45:00 PM,0,0.8274,13.711
6/23/2021,7:00:00 PM,0,0.8278,13.723
6/23/2021,7:15:00 PM,0,0.8286,13.701
6/23/2021,7:30:00 PM,0,0.8278,13.715
6/23/2021,7:45:00 PM,0,0.8275,13.712
6/23/2021,8:00:00 PM,0,0.8274,13.715
6/23/2021,8:15:00 PM,0,0.8273,13.712
6/23/2021,8:30:00 PM,0,0.8273,13.681
6/23/2021,8:45:00 PM,0,0.8285,13.698
6/23/2021,9:00:00 PM,0,0.828,13.673
6/23/2021,9:15:00 PM,0,0.8265,13.653
6/23/2021,9:30:00 PM,0,0.8262,13.631
6/23/2021,9:45:00 PM,0,0.826,13.616
6/23/2021,10:00:00 PM,0,0.826,13.605
6/23/2021,10:15:00 PM,0,0.8251,13.595
6/23/2021,10:30:00 PM,0,0.8261,13.591
6/23/2021,10:45:00 PM,0,0.8254,13.572
6/23/2021,11:00:00 PM,0,0.8255,13.548
6/23/2021,11:15:00 PM,0,0.8253,13.537
6/23/2021,11:30:00 PM,0,0.8255,13.529
6/23/2021,11:45:00 PM,0,0.8254,13.514
6/24/2021,12:00:00 AM,0,0.826,13.479
6/24/2021,12:15:00 AM,0,0.826,13.492
6/24/2021,12:30:00 AM,0,0.825,13.47
6/24/2021,12:45:00 AM,0,0.8259,13.461
6/24/2021,1:00:00 AM,0,0.826,13.453
6/24/2021,1:15:00 AM,0,0.826,13.437
6/24/2021,1:30:00 AM,0,0.826,13.426
6/24/2021,1:45:00 AM,0,0.8259,13.408
6/24/2021,2:00:00 AM,0,0.8262,13.384
6/24/2021,2:15:00 AM,0,0.8268,13.373
6/24/2021,2:30:00 AM,0,0.827,13.37
6/24/2021,2:45:00 AM,0,0.8275,13.341
6/24/2021,3:00:00 AM,0,0.8277,13.328
6/24/2021,3:15:00 AM,0,0.8277,13.325
6/24/2021,3:30:00 AM,0,0.8272,13.291
6/24/2021,3:45:00 AM,0,0.8275,13.28
6/24/2021,4:00:00 AM,0,0.8268,13.273
6/24/2021,4:15:00 AM,0,0.8264,13.259
6/24/2021,4:30:00 AM,0,0.8264,13.238
6/24/2021,4:45:00 AM,0,0.8263,13.225
6/24/2021,5:00:00 AM,0,0.8271,13.214
6/24/2021,5:15:00 AM,0,0.8268,13.194
6/24/2021,5:30:00 AM,0,0.8264,13.171
6/24/2021,5:45:00 AM,0,0.8268,13.161
6/24/2021,6:00:00 AM,0,0.827,13.147
6/24/2021,6:15:00 AM,0,0.8281,13.129
6/24/2021,6:30:00 AM,0,0.8279,13.112
6/24/2021,6:45:00 AM,0,0.8277,13.1
6/24/2021,7:00:00 AM,0,0.827,13.075
6/24/2021,7:15:00 AM,0,0.8298,13.056
6/24/2021,7:30:00 AM,0,0.8277,13.04
6/24/2021,7:45:00 AM,0,0.8294,13.023
6/24/2021,8:00:00 AM,0,0.8359,13.003
6/24/2021,8:15:00 AM,0,0.8271,12.99
6/24/2021,8:30:00 AM,0,0.8266,12.972
6/24/2021,8:45:00 AM,0,0.833,12.952
6/24/2021,9:00:00 AM,0,0.8277,12.936
6/24/2021,9:15:00 AM,0,0.827,12.924
6/24/2021,9:30:00 AM,0,0.827,12.908
6/24/2021,9:45:00 AM,0,0.8263,12.91
6/24/2021,10:00:00 AM,0,0.8273,12.923
6/24/2021,10:15:00 AM,0,0.8264,12.942
6/24/2021,10:30:00 AM,0,0.8258,12.95
6/24/2021,10:45:00 AM,0,0.8259,12.949
6/24/2021,11:00:00 AM,0,0.8253,12.95
6/24/2021,11:15:00 AM,0,0.8251,12.956
6/24/2021,11:30:00 AM,0,0.8244,12.95
6/24/2021,11:45:00 AM,0,0.8267,12.963
6/24/2021,12:00:00 PM,0,0.8252,12.982
6/24/2021,12:15:00 PM,0,0.8263,13.004
6/24/2021,12:30:00 PM,0,0.8257,13.019
6/24/2021,12:45:00 PM,0,0.8269,13.05
6/24/2021,1:00:00 PM,0,0.825,13.112
6/24/2021,1:15:00 PM,0,0.8264,13.142
6/24/2021,1:30:00 PM,0,0.828,13.133
6/24/2021,1:45:00 PM,0,0.8274,13.144
6/24/2021,2:00:00 PM,0,0.8274,13.174
6/24/2021,2:15:00 PM,0,0.8268,13.208
6/24/2021,2:30:00 PM,0,0.8254,13.237
6/24/2021,2:45:00 PM,0,0.827,13.296
6/24/2021,3:00:00 PM,0,0.8279,13.327
6/24/2021,3:15:00 PM,0,0.8268,13.339
6/24/2021,3:30:00 PM,0,0.8266,13.382
6/24/2021,3:45:00 PM,0,0.8258,13.361
6/24/2021,4:00:00 PM,0,0.8252,13.413
6/24/2021,4:15:00 PM,0,0.8273,13.473
6/24/2021,4:30:00 PM,0,0.8275,13.445
6/24/2021,4:45:00 PM,0,0.8272,13.48
6/24/2021,5:00:00 PM,0,0.8276,13.489
6/24/2021,5:15:00 PM,0,0.8266,13.469
6/24/2021,5:30:00 PM,0,0.8276,13.507
6/24/2021,5:45:00 PM,0,0.8284,13.506
6/24/2021,6:00:00 PM,0,0.8272,13.561
6/24/2021,6:15:00 PM,0,0.8281,13.532
6/24/2021,6:30:00 PM,0,0.8289,13.54
6/24/2021,6:45:00 PM,0,0.8285,13.558
6/24/2021,7:00:00 PM,0,0.8288,13.543
6/24/2021,7:15:00 PM,0,0.8278,13.522
6/24/2021,7:30:00 PM,0,0.828,13.525
6/24/2021,7:45:00 PM,0,0.8283,13.528
6/24/2021,8:00:00 PM,0,0.8283,13.517
6/24/2021,8:15:00 PM,0,0.8288,13.514
6/24/2021,8:30:00 PM,0,0.8275,13.505
6/24/2021,8:45:00 PM,0,0.8272,13.507
6/24/2021,9:00:00 PM,0,0.827,13.513
6/24/2021,9:15:00 PM,0,0.827,13.508
6/24/2021,9:30:00 PM,0,0.8279,13.497
6/24/2021,9:45:00 PM,0,0.8267,13.472
6/24/2021,10:00:00 PM,0,0.8269,13.448
6/24/2021,10:15:00 PM,0,0.8276,13.436
6/24/2021,10:30:00 PM,0,0.8269,13.423
6/24/2021,10:45:00 PM,0,0.8269,13.412
6/24/2021,11:00:00 PM,0,0.8273,13.386
6/24/2021,11:15:00 PM,0,0.8284,13.371
6/24/2021,11:30:00 PM,0,0.8275,13.361
6/24/2021,11:45:00 PM,0,0.8281,13.352
6/25/2021,12:00:00 AM,0,0.8278,13.33
6/25/2021,12:15:00 AM,0,0.8282,13.313
6/25/2021,12:30:00 AM,0,0.8275,13.301
6/25/2021,12:45:00 AM,0,0.8274,13.289
6/25/2021,1:00:00 AM,0,0.8281,13.268
6/25/2021,1:15:00 AM,0,0.8283,13.246
6/25/2021,1:30:00 AM,0,0.8283,13.232
6/25/2021,1:45:00 AM,0,0.8288,13.219
6/25/2021,2:00:00 AM,0,0.8289,13.196
6/25/2021,2:15:00 AM,0,0.8284,13.192
6/25/2021,2:30:00 AM,0,0.8285,13.168
6/25/2021,2:45:00 AM,0,0.8283,13.164
6/25/2021,3:00:00 AM,0,0.8288,13.149
6/25/2021,3:15:00 AM,0,0.8285,13.136
6/25/2021,3:30:00 AM,0,0.8292,13.116
6/25/2021,3:45:00 AM,0,0.8292,13.1
6/25/2021,4:00:00 AM,0,0.829,13.074
6/25/2021,4:15:00 AM,0,0.8297,13.057
6/25/2021,4:30:00 AM,0,0.8305,13.034
6/25/2021,4:45:00 AM,0,0.8305,13.028
6/25/2021,5:00:00 AM,0,0.8311,13.002
6/25/2021,5:15:00 AM,0,0.8303,12.988
6/25/2021,5:30:00 AM,0,0.831,12.974
6/25/2021,5:45:00 AM,0,0.8305,12.955
6/25/2021,6:00:00 AM,0,0.8298,12.939
6/25/2021,6:15:00 AM,0,0.8306,12.924
6/25/2021,6:30:00 AM,0,0.8291,12.908
6/25/2021,6:45:00 AM,0,0.8297,12.883
6/25/2021,7:00:00 AM,0,0.8306,12.872
6/25/2021,7:15:00 AM,0,0.8333,12.861
6/25/2021,7:30:00 AM,0,0.8299,12.84
6/25/2021,7:45:00 AM,0,0.8325,12.823
6/25/2021,8:00:00 AM,0,0.8389,12.81
6/25/2021,8:15:00 AM,0,0.8276,12.792
6/25/2021,8:30:00 AM,0,0.829,12.777
6/25/2021,8:45:00 AM,0,0.8371,12.772
6/25/2021,9:00:00 AM,0,0.8284,12.769
6/25/2021,9:15:00 AM,0,0.8286,12.774
6/25/2021,9:30:00 AM,0,0.8293,12.779
6/25/2021,9:45:00 AM,0,0.8293,12.822
6/25/2021,10:00:00 AM,0,0.8302,12.931
6/25/2021,10:15:00 AM,0,0.8291,12.943
6/25/2021,10:30:00 AM,0,0.8281,12.966
6/25/2021,10:45:00 AM,0,0.8275,12.984
6/25/2021,11:00:00 AM,0,0.8283,12.942
6/25/2021,11:15:00 AM,0,0.8287,12.979
6/25/2021,11:30:00 AM,0,0.8279,13.073
6/25/2021,11:45:00 AM,0,0.8273,13.141
6/25/2021,12:00:00 PM,0,0.8279,13.153
6/25/2021,12:15:00 PM,0,0.8279,13.174
6/25/2021,12:30:00 PM,0,0.8258,13.177
6/25/2021,12:45:00 PM,0,0.8269,13.212
6/25/2021,1:00:00 PM,0,0.8276,13.264
6/25/2021,1:15:00 PM,0,0.8277,13.291
6/25/2021,1:30:00 PM,0,0.8283,13.325
6/25/2021,1:45:00 PM,0,0.8267,13.362
6/25/2021,2:00:00 PM,0,0.8269,13.398
6/25/2021,2:15:00 PM,0,0.8265,13.385
6/25/2021,2:30:00 PM,0,0.8277,13.464
6/25/2021,2:45:00 PM,0,0.8272,13.454
6/25/2021,3:00:00 PM,0,0.8267,13.51
6/25/2021,3:15:00 PM,0,0.8267,13.541
6/25/2021,3:30:00 PM,0,0.8269,13.578
6/25/2021,3:45:00 PM,0,0.8264,13.589
6/25/2021,4:00:00 PM,0,0.8274,13.615
6/25/2021,4:15:00 PM,0,0.8278,13.654
6/25/2021,4:30:00 PM,0,0.8268,13.645
6/25/2021,4:45:00 PM,0,0.8279,13.658
6/25/2021,5:00:00 PM,0,0.8272,13.694
6/25/2021,5:15:00 PM,0,0.8282,13.673
6/25/2021,5:30:00 PM,0,0.8278,13.676
6/25/2021,5:45:00 PM,0,0.8287,13.688
6/25/2021,6:00:00 PM,0,0.8284,13.672
6/25/2021,6:15:00 PM,0,0.8288,13.649
6/25/2021,6:30:00 PM,0,0.8279,13.647
6/25/2021,6:45:00 PM,0,0.8286,13.597
6/25/2021,7:00:00 PM,0,0.8301,13.587
6/25/2021,7:15:00 PM,0,0.8298,13.587
6/25/2021,7:30:00 PM,0,0.8295,13.561
6/25/2021,7:45:00 PM,0,0.8297,13.541
6/25/2021,8:00:00 PM,0,0.8298,13.504
6/25/2021,8:15:00 PM,0,0.8303,13.471
6/25/2021,8:30:00 PM,0,0.8298,13.448
6/25/2021,8:45:00 PM,0,0.8309,13.427
6/25/2021,9:00:00 PM,0,0.8301,13.409
6/25/2021,9:15:00 PM,0,0.8299,13.388
6/25/2021,9:30:00 PM,0,0.8291,13.369
6/25/2021,9:45:00 PM,0,0.8293,13.347
6/25/2021,10:00:00 PM,0,0.8297,13.332
6/25/2021,10:15:00 PM,0,0.8297,13.32
6/25/2021,10:30:00 PM,0,0.8306,13.309
6/25/2021,10:45:00 PM,0,0.8316,13.286
6/25/2021,11:00:00 PM,0,0.8319,13.256
6/25/2021,11:15:00 PM,0,0.8321,13.231
6/25/2021,11:30:00 PM,0,0.8325,13.2
6/25/2021,11:45:00 PM,0,0.8321,13.186
6/26/2021,12:00:00 AM,0,0.8334,13.154
6/26/2021,12:15:00 AM,0,0.8334,13.133
6/26/2021,12:30:00 AM,0,0.834,13.111
6/26/2021,12:45:00 AM,0,0.8333,13.071
6/26/2021,1:00:00 AM,0,0.8344,13.066
6/26/2021,1:15:00 AM,0,0.8345,13.028
6/26/2021,1:30:00 AM,0,0.8347,13.024
6/26/2021,1:45:00 AM,0,0.8357,12.993
6/26/2021,2:00:00 AM,0,0.8351,12.978
6/26/2021,2:15:00 AM,0,0.8346,12.968
6/26/2021,2:30:00 AM,0,0.8355,12.944
6/26/2021,2:45:00 AM,0,0.8358,12.917
6/26/2021,3:00:00 AM,0,0.8352,12.893
6/26/2021,3:15:00 AM,0,0.8356,12.865
6/26/2021,3:30:00 AM,0,0.8356,12.852
6/26/2021,3:45:00 AM,0,0.8353,12.831
6/26/2021,4:00:00 AM,0,0.8355,12.808
6/26/2021,4:15:00 AM,0,0.8359,12.782
6/26/2021,4:30:00 AM,0,0.8371,12.761
6/26/2021,4:45:00 AM,0,0.8361,12.739
6/26/2021,5:00:00 AM,0,0.8358,12.72
6/26/2021,5:15:00 AM,0,0.8361,12.699
6/26/2021,5:30:00 AM,0,0.8362,12.668
6/26/2021,5:45:00 AM,0,0.8354,12.652
6/26/2021,6:00:00 AM,0,0.8364,12.624
6/26/2021,6:15:00 AM,0,0.8363,12.601
6/26/2021,6:30:00 AM,0,0.8365,12.573
6/26/2021,6:45:00 AM,0,0.8366,12.559
6/26/2021,7:00:00 AM,0,0.8379,12.541
6/26/2021,7:15:00 AM,0,0.8401,12.52
6/26/2021,7:30:00 AM,0,0.8367,12.503
6/26/2021,7:45:00 AM,0,0.8373,12.498
6/26/2021,8:00:00 AM,0,0.8421,12.479
6/26/2021,8:15:00 AM,0,0.8365,12.462
6/26/2021,8:30:00 AM,0,0.8355,12.475
6/26/2021,8:45:00 AM,0,0.8444,12.508
6/26/2021,9:00:00 AM,0,0.8379,12.53
6/26/2021,9:15:00 AM,0,0.8358,12.549
6/26/2021,9:30:00 AM,0,0.8363,12.58
6/26/2021,9:45:00 AM,0,0.8347,12.649
6/26/2021,10:00:00 AM,0,0.8355,12.594
6/26/2021,10:15:00 AM,0,0.8359,12.7
6/26/2021,10:30:00 AM,0,0.8347,12.649
6/26/2021,10:45:00 AM,0,0.8338,12.645
6/26/2021,11:00:00 AM,0,0.8341,12.648
6/26/2021,11:15:00 AM,0,0.8347,12.687
6/26/2021,11:30:00 AM,0,0.8346,12.76
6/26/2021,11:45:00 AM,0,0.8339,12.829
6/26/2021,12:00:00 PM,0,0.8337,12.916
6/26/2021,12:15:00 PM,0,0.8337,12.964
6/26/2021,12:30:00 PM,0,0.8337,12.995
6/26/2021,12:45:00 PM,0,0.8331,13.034
6/26/2021,1:00:00 PM,0,0.8337,13.077
6/26/2021,1:15:00 PM,0,0.8335,13.106
6/26/2021,1:30:00 PM,0,0.8334,13.129
6/26/2021,1:45:00 PM,0,0.8329,13.117
6/26/2021,2:00:00 PM,0,0.8317,13.136
6/26/2021,2:15:00 PM,0,0.8309,13.155
6/26/2021,2:30:00 PM,0,0.8303,13.186
6/26/2021,2:45:00 PM,0,0.8298,13.219
6/26/2021,3:00:00 PM,0,0.8293,13.24
6/26/2021,3:15:00 PM,0,0.8307,13.265
6/26/2021,3:30:00 PM,0,0.8308,13.299
6/26/2021,3:45:00 PM,0,0.8306,13.289
6/26/2021,4:00:00 PM,0,0.8326,13.352
6/26/2021,4:15:00 PM,0,0.8299,13.39
6/26/2021,4:30:00 PM,0,0.8296,13.372
6/26/2021,4:45:00 PM,0,0.8298,13.347
6/26/2021,5:00:00 PM,0,0.8297,13.366
6/26/2021,5:15:00 PM,0,0.8291,13.427
6/26/2021,5:30:00 PM,0,0.8296,13.419
6/26/2021,5:45:00 PM,0,0.8303,13.39
6/26/2021,6:00:00 PM,0,0.8307,13.381
6/26/2021,6:15:00 PM,0,0.8304,13.364
6/26/2021,6:30:00 PM,0,0.83,13.317
6/26/2021,6:45:00 PM,0,0.8306,13.298
6/26/2021,7:00:00 PM,0,0.8306,13.273
6/26/2021,7:15:00 PM,0,0.8307,13.257
6/26/2021,7:30:00 PM,0,0.8299,13.237
6/26/2021,7:45:00 PM,0,0.8309,13.223
6/26/2021,8:00:00 PM,0,0.8308,13.209
6/26/2021,8:15:00 PM,0,0.8309,13.181
6/26/2021,8:30:00 PM,0,0.8313,13.158
6/26/2021,8:45:00 PM,0,0.8324,13.128
