Date,Time,ms,LEVEL,TEMPERATURE
5/28/2021,12:00:00 AM,0,0.3026,14.982
5/28/2021,12:15:00 AM,0,0.3005,14.919
5/28/2021,12:30:00 AM,0,0.2988,14.874
5/28/2021,12:45:00 AM,0,0.2977,14.831
5/28/2021,1:00:00 AM,0,0.3014,14.795
5/28/2021,1:15:00 AM,0,0.3031,14.76
5/28/2021,1:30:00 AM,0,0.3037,14.725
5/28/2021,1:45:00 AM,0,0.3051,14.682
5/28/2021,2:00:00 AM,0,0.3063,14.636
5/28/2021,2:15:00 AM,0,0.3055,14.594
5/28/2021,2:30:00 AM,0,0.3059,14.556
5/28/2021,2:45:00 AM,0,0.3065,14.526
5/28/2021,3:00:00 AM,0,0.3064,14.496
5/28/2021,3:15:00 AM,0,0.3073,14.447
5/28/2021,3:30:00 AM,0,0.3067,14.414
5/28/2021,3:45:00 AM,0,0.3072,14.385
5/28/2021,4:00:00 AM,0,0.3094,14.37
5/28/2021,4:15:00 AM,0,0.3097,14.364
5/28/2021,4:30:00 AM,0,0.3113,14.35
5/28/2021,4:45:00 AM,0,0.3105,14.353
5/28/2021,5:00:00 AM,0,0.3124,14.425
5/28/2021,5:15:00 AM,0,0.3113,14.395
5/28/2021,5:30:00 AM,0,0.3081,14.283
5/28/2021,5:45:00 AM,0,0.3063,14.235
5/28/2021,6:00:00 AM,0,0.3048,14.176
5/28/2021,6:15:00 AM,0,0.3123,13.97
5/28/2021,6:30:00 AM,0,0.3112,13.924
5/28/2021,6:45:00 AM,0,0.3105,13.852
5/28/2021,7:00:00 AM,0,0.31,13.802
5/28/2021,7:15:00 AM,0,0.3099,13.779
5/28/2021,7:30:00 AM,0,0.308,13.779
5/28/2021,7:45:00 AM,0,0.3071,13.803
5/28/2021,8:00:00 AM,0,0.3057,13.831
5/28/2021,8:15:00 AM,0,0.3051,13.845
5/28/2021,8:30:00 AM,0,0.3048,13.845
5/28/2021,8:45:00 AM,0,0.3042,13.844
5/28/2021,9:00:00 AM,0,0.3022,13.828
5/28/2021,9:15:00 AM,0,0.3018,13.806
5/28/2021,9:30:00 AM,0,0.301,13.742
5/28/2021,9:45:00 AM,0,0.3009,13.67
5/28/2021,10:00:00 AM,0,0.3001,13.622
5/28/2021,10:15:00 AM,0,0.3002,13.591
5/28/2021,10:30:00 AM,0,0.3002,13.579
5/28/2021,10:45:00 AM,0,0.2994,13.571
5/28/2021,11:00:00 AM,0,0.2995,13.556
5/28/2021,11:15:00 AM,0,0.298,13.552
5/28/2021,11:30:00 AM,0,0.2976,13.559
5/28/2021,11:45:00 AM,0,0.2955,13.56
5/28/2021,12:00:00 PM,0,0.2943,13.56
5/28/2021,12:15:00 PM,0,0.2942,13.574
5/28/2021,12:30:00 PM,0,0.2935,13.576
5/28/2021,12:45:00 PM,0,0.2954,13.582
5/28/2021,1:00:00 PM,0,0.2954,13.588
5/28/2021,1:15:00 PM,0,0.2942,13.603
5/28/2021,1:30:00 PM,0,0.2927,13.612
5/28/2021,1:45:00 PM,0,0.293,13.626
5/28/2021,2:00:00 PM,0,0.2925,13.642
5/28/2021,2:15:00 PM,0,0.2926,13.658
5/28/2021,2:30:00 PM,0,0.293,13.667
5/28/2021,2:45:00 PM,0,0.2902,13.691
5/28/2021,3:00:00 PM,0,0.29,13.727
5/28/2021,3:15:00 PM,0,0.2886,13.755
5/28/2021,3:30:00 PM,0,0.2893,13.775
5/28/2021,3:45:00 PM,0,0.2888,13.8
5/28/2021,4:00:00 PM,0,0.2879,13.821
5/28/2021,4:15:00 PM,0,0.2875,13.846
5/28/2021,4:30:00 PM,0,0.2868,13.864
5/28/2021,4:45:00 PM,0,0.2863,13.878
5/28/2021,5:00:00 PM,0,0.2875,13.891
5/28/2021,5:15:00 PM,0,0.2854,13.917
5/28/2021,5:30:00 PM,0,0.2853,13.92
5/28/2021,5:45:00 PM,0,0.2847,13.935
5/28/2021,6:00:00 PM,0,0.286,13.953
5/28/2021,6:15:00 PM,0,0.2835,13.968
5/28/2021,6:30:00 PM,0,0.2839,13.981
5/28/2021,6:45:00 PM,0,0.2832,13.993
5/28/2021,7:00:00 PM,0,0.2824,14.006
5/28/2021,7:15:00 PM,0,0.281,14.014
5/28/2021,7:30:00 PM,0,0.2801,14.033
5/28/2021,7:45:00 PM,0,0.2801,14.041
5/28/2021,8:00:00 PM,0,0.2806,14.046
5/28/2021,8:15:00 PM,0,0.2798,14.043
5/28/2021,8:30:00 PM,0,0.2797,14.053
5/28/2021,8:45:00 PM,0,0.2788,14.057
5/28/2021,9:00:00 PM,0,0.2782,14.063
5/28/2021,9:15:00 PM,0,0.2788,14.072
5/28/2021,9:30:00 PM,0,0.2785,14.065
5/28/2021,9:45:00 PM,0,0.2781,14.059
5/28/2021,10:00:00 PM,0,0.2771,14.06
5/28/2021,10:15:00 PM,0,0.2771,14.051
5/28/2021,10:30:00 PM,0,0.2766,14.062
5/28/2021,10:45:00 PM,0,0.2778,14.056
5/28/2021,11:00:00 PM,0,0.2769,14.056
5/28/2021,11:15:00 PM,0,0.2757,14.053
5/28/2021,11:30:00 PM,0,0.2772,14.032
5/28/2021,11:45:00 PM,0,0.2764,13.997
5/29/2021,12:00:00 AM,0,0.2757,14.002
5/29/2021,12:15:00 AM,0,0.2746,13.975
5/29/2021,12:30:00 AM,0,0.275,13.939
5/29/2021,12:45:00 AM,0,0.2745,13.897
5/29/2021,1:00:00 AM,0,0.2731,13.847
5/29/2021,1:15:00 AM,0,0.2738,13.784
5/29/2021,1:30:00 AM,0,0.2731,13.734
5/29/2021,1:45:00 AM,0,0.2734,13.715
5/29/2021,2:00:00 AM,0,0.2728,13.68
5/29/2021,2:15:00 AM,0,0.2716,13.644
5/29/2021,2:30:00 AM,0,0.2716,13.611
5/29/2021,2:45:00 AM,0,0.2708,13.577
5/29/2021,3:00:00 AM,0,0.2717,13.552
5/29/2021,3:15:00 AM,0,0.2712,13.496
5/29/2021,3:30:00 AM,0,0.2714,13.418
5/29/2021,3:45:00 AM,0,0.2703,13.353
5/29/2021,4:00:00 AM,0,0.2702,13.293
5/29/2021,4:15:00 AM,0,0.27,13.255
5/29/2021,4:30:00 AM,0,0.2699,13.225
5/29/2021,4:45:00 AM,0,0.2707,13.148
5/29/2021,5:00:00 AM,0,0.2704,13.098
5/29/2021,5:15:00 AM,0,0.2702,13.056
5/29/2021,5:30:00 AM,0,0.2703,13.028
5/29/2021,5:45:00 AM,0,0.27,12.998
5/29/2021,6:00:00 AM,0,0.2708,12.954
5/29/2021,6:15:00 AM,0,0.2711,12.82
5/29/2021,6:30:00 AM,0,0.271,12.788
5/29/2021,6:45:00 AM,0,0.273,12.795
5/29/2021,7:00:00 AM,0,0.2709,12.812
5/29/2021,7:15:00 AM,0,0.2711,12.808
5/29/2021,7:30:00 AM,0,0.2734,12.711
5/29/2021,7:45:00 AM,0,0.2739,12.691
5/29/2021,8:00:00 AM,0,0.2755,12.64
5/29/2021,8:15:00 AM,0,0.2678,12.585
5/29/2021,8:30:00 AM,0,0.2683,12.542
5/29/2021,8:45:00 AM,0,0.2724,12.529
5/29/2021,9:00:00 AM,0,0.2651,12.531
5/29/2021,9:15:00 AM,0,0.2669,12.533
5/29/2021,9:30:00 AM,0,0.2675,12.542
5/29/2021,9:45:00 AM,0,0.2668,12.552
5/29/2021,10:00:00 AM,0,0.2695,12.561
5/29/2021,10:15:00 AM,0,0.2675,12.569
5/29/2021,10:30:00 AM,0,0.2665,12.583
5/29/2021,10:45:00 AM,0,0.2679,12.594
5/29/2021,11:00:00 AM,0,0.2668,12.614
5/29/2021,11:15:00 AM,0,0.2652,12.651
5/29/2021,11:30:00 AM,0,0.2671,12.67
5/29/2021,11:45:00 AM,0,0.2649,12.714
5/29/2021,12:00:00 PM,0,0.2635,12.769
5/29/2021,12:15:00 PM,0,0.2643,12.845
5/29/2021,12:30:00 PM,0,0.2635,12.942
5/29/2021,12:45:00 PM,0,0.2633,13.008
5/29/2021,1:00:00 PM,0,0.2628,13.148
5/29/2021,1:15:00 PM,0,0.2621,13.208
5/29/2021,1:30:00 PM,0,0.2615,13.316
5/29/2021,1:45:00 PM,0,0.264,13.458
5/29/2021,2:00:00 PM,0,0.2643,13.534
5/29/2021,2:15:00 PM,0,0.2678,13.684
