"Plot Title:  21099530"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21099530, SEN S/N: 21099530)","Temp, °C (LGR S/N: 21099530, SEN S/N: 21099530)","Coupler Detached (LGR S/N: 21099530)","Coupler Attached (LGR S/N: 21099530)","Host Connected (LGR S/N: 21099530)","Stopped (LGR S/N: 21099530)","End Of File (LGR S/N: 21099530)"
1,06/09/21 10:20:00 AM,19.508,21.223,Logged,,,,
2,06/09/21 10:20:05 AM,19.484,21.223,,,,,
3,06/09/21 10:20:10 AM,19.484,21.175,,,,,
4,06/09/21 10:20:15 AM,19.460,21.175,,,,,
5,06/09/21 10:20:20 AM,19.460,21.127,,,,,
6,06/09/21 10:20:25 AM,19.460,21.103,,,,,
7,06/09/21 10:20:30 AM,19.436,21.056,,,,,
8,06/09/21 10:20:35 AM,19.436,21.032,,,,,
9,06/09/21 10:20:40 AM,19.413,20.984,,,,,
10,06/09/21 10:20:45 AM,19.413,20.936,,,,,
11,06/09/21 10:20:50 AM,19.389,20.889,,,,,
12,06/09/21 10:20:55 AM,19.365,20.841,,,,,
13,06/09/21 10:21:00 AM,19.365,20.817,,,,,
14,06/09/21 10:21:05 AM,19.341,20.793,,,,,
15,06/09/21 10:21:10 AM,19.341,20.746,,,,,
16,06/09/21 10:21:15 AM,19.318,20.722,,,,,
17,06/09/21 10:21:20 AM,19.318,20.674,,,,,
18,06/09/21 10:21:25 AM,19.294,20.650,,,,,
19,06/09/21 10:21:30 AM,19.270,20.603,,,,,
20,06/09/21 10:21:35 AM,19.270,20.555,,,,,
21,06/09/21 10:21:40 AM,19.270,20.531,,,,,
22,06/09/21 10:21:45 AM,19.246,20.507,,,,,
23,06/09/21 10:21:50 AM,19.222,20.460,,,,,
24,06/09/21 10:21:55 AM,19.222,20.412,,,,,
25,06/09/21 10:22:00 AM,19.199,20.388,,,,,
26,06/09/21 10:22:05 AM,19.175,20.341,,,,,
27,06/09/21 10:22:10 AM,19.175,20.317,,,,,
28,06/09/21 10:22:15 AM,19.151,20.269,,,,,
29,06/09/21 10:22:20 AM,19.127,20.222,,,,,
30,06/09/21 10:22:25 AM,19.127,20.198,,,,,
31,06/09/21 10:22:30 AM,19.103,20.174,,,,,
32,06/09/21 10:22:35 AM,19.080,20.126,,,,,
33,06/09/21 10:22:40 AM,19.080,20.103,,,,,
34,06/09/21 10:22:45 AM,19.056,20.079,,,,,
35,06/09/21 10:22:50 AM,19.032,20.055,,,,,
36,06/09/21 10:22:55 AM,19.032,20.031,,,,,
37,06/09/21 10:23:00 AM,19.008,20.007,,,,,
38,06/09/21 10:23:05 AM,19.008,19.984,,,,,
39,06/09/21 10:23:10 AM,18.985,19.960,,,,,
40,06/09/21 10:23:15 AM,18.985,19.936,,,,,
41,06/09/21 10:23:20 AM,18.961,19.912,,,,,
42,06/09/21 10:23:25 AM,18.937,19.888,,,,,
43,06/09/21 10:23:30 AM,18.937,19.865,,,,,
44,06/09/21 10:23:35 AM,18.913,19.841,,,,,
45,06/09/21 10:23:40 AM,18.913,19.841,,,,,
46,06/09/21 10:23:45 AM,18.889,19.817,,,,,
47,06/09/21 10:23:50 AM,18.889,19.793,,,,,
48,06/09/21 10:23:55 AM,18.866,19.770,,,,,
49,06/09/21 10:24:00 AM,18.842,19.746,,,,,
50,06/09/21 10:24:05 AM,18.842,19.746,,,,,
