type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3580988646	-121.5408295579	48.3580988646	-121.5408295579		False	True			263.76			2021/07/13 16:52:43+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:52:43		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.358999081	-121.5395736136	48.358999081	-121.5395736136		False	False			183.95			2021/07/13 16:53:04+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:53:04		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589558303	-121.5400116518	48.3589558303	-121.5400116518		False	False			113.9			2021/07/13 16:53:15+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:53:15		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589414973	-121.5399616119	48.3589414973	-121.5399616119		False	False			114.26			2021/07/13 16:53:35+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:53:35		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589266613	-121.5398841631	48.3589266613	-121.5398841631		False	False			124.31			2021/07/13 16:53:45+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:53:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589406591	-121.5399159305	48.3589406591	-121.5399159305		False	False			123.06			2021/07/13 16:54:01+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:54:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589986619	-121.5399209596	48.3589986619	-121.5399209596		False	False			130.85			2021/07/13 16:54:23+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:54:23		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589934651	-121.5399309341	48.3589934651	-121.5399309341		False	False			130.52			2021/07/13 16:54:48+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:54:48		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.358989777	-121.5399290901	48.358989777	-121.5399290901		False	False			130.61			2021/07/13 16:55:12+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:55:12		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589742705	-121.5399382263	48.3589742705	-121.5399382263		False	False			130			2021/07/13 16:55:32+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:55:32		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589715883	-121.5399265755	48.3589715883	-121.5399265755		False	False			130.42			2021/07/13 16:55:53+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:55:53		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589776233	-121.5398952272	48.3589776233	-121.5398952272		False	False			130.61			2021/07/13 16:56:06+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:56:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589573391	-121.5399024356	48.3589573391	-121.5399024356		False	False			128.97			2021/07/13 16:56:18+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:56:18		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589663915	-121.5399053693	48.3589663915	-121.5399053693		False	False			127.87			2021/07/13 16:56:32+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:56:32		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589742705	-121.5399257373	48.3589742705	-121.5399257373		False	False			127.94			2021/07/13 16:56:49+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:56:49		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.358974522	-121.5399238933	48.358974522	-121.5399238933		False	False			128.3			2021/07/13 16:57:04+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:57:04		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589674812	-121.5399266593	48.3589674812	-121.5399266593		False	False			128			2021/07/13 16:57:23+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:57:23		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589673974	-121.5399168525	48.3589673974	-121.5399168525		False	False			128.77			2021/07/13 16:57:48+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:57:48		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589639608	-121.5399343707	48.3589639608	-121.5399343707		False	False			126.64			2021/07/13 16:58:17+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:58:17		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589640446	-121.5399455186	48.3589640446	-121.5399455186		False	False			124.26			2021/07/13 16:58:42+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:58:42		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3589635417	-121.5399447642	48.3589635417	-121.5399447642		False	False			124.3			2021/07/13 16:58:44+00	garmin GPSMAP 64x Software Version 230		2021/07/13 09:58:44		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3660957869	-121.5466551483	48.3660957869	-121.5466551483		False	False			109.5			2021/07/13 18:42:41+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:42:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661091141	-121.5466643684	48.3661091141	-121.5466643684		False	False			108.97			2021/07/13 18:42:54+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:42:54		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661104552	-121.5466642007	48.3661104552	-121.5466642007		False	False			108.67			2021/07/13 18:43:01+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:43:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661004808	-121.5466731694	48.3661004808	-121.5466731694		False	False			114.26			2021/07/13 18:43:15+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:43:15		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661012352	-121.5466758516	48.3661012352	-121.5466758516		False	False			110.99			2021/07/13 18:43:32+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:43:32		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661064319	-121.54667845	48.3661064319	-121.54667845		False	False			111.46			2021/07/13 18:43:47+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:43:47		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661060967	-121.5466840658	48.3661060967	-121.5466840658		False	False			111.18			2021/07/13 18:43:50+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:43:50		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661264647	-121.5466544777	48.3661264647	-121.5466544777		False	False			109.43			2021/07/13 18:44:05+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:44:05		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661149815	-121.5466320142	48.3661149815	-121.5466320142		False	False			106.14			2021/07/13 18:44:20+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:44:20		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661103714	-121.5466261469	48.3661103714	-121.5466261469		False	False			106.08			2021/07/13 18:44:37+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:44:37		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661185857	-121.5466270689	48.3661185857	-121.5466270689		False	False			108.78			2021/07/13 18:44:52+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:44:52		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661589026	-121.5466111433	48.3661589026	-121.5466111433		False	False			111.25			2021/07/13 18:45:12+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:45:12		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661501855	-121.5465947147	48.3661501855	-121.5465947147		False	False			111.6			2021/07/13 18:45:28+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:45:28		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661273029	-121.5465793759	48.3661273029	-121.5465793759		False	False			106.8			2021/07/13 18:45:45+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:45:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661343437	-121.5465738438	48.3661343437	-121.5465738438		False	False			102.82			2021/07/13 18:46:04+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:46:04		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661177475	-121.5465753525	48.3661177475	-121.5465753525		False	False			105.69			2021/07/13 18:46:18+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:46:18		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661236987	-121.5465613548	48.3661236987	-121.5465613548		False	False			106.93			2021/07/13 18:46:36+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:46:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661128022	-121.5465541463	48.3661128022	-121.5465541463		False	False			109.51			2021/07/13 18:46:51+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:46:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3660861477	-121.5465641208	48.3660861477	-121.5465641208		False	False			90.23			2021/07/13 18:47:07+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:47:07		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3660916798	-121.5466098022	48.3660916798	-121.5466098022		False	False			90.95			2021/07/13 18:47:25+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:47:25		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3660907578	-121.5466857422	48.3660907578	-121.5466857422		False	False			88.55			2021/07/13 18:47:41+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:47:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661081921	-121.5466838144	48.3661081921	-121.5466838144		False	False			84.6			2021/07/13 18:47:56+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:47:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661246207	-121.5466688108	48.3661246207	-121.5466688108		False	False			88.93			2021/07/13 18:48:10+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:48:10		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.366143899	-121.5466542263	48.366143899	-121.5466542263		False	False			91.18			2021/07/13 18:48:27+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:48:27		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661665302	-121.5466367081	48.3661665302	-121.5466367081		False	False			93.98			2021/07/13 18:48:46+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:48:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661648538	-121.54661173	48.3661648538	-121.54661173		False	False			102.25			2021/07/13 18:49:04+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:49:04		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661409654	-121.5466274042	48.3661409654	-121.5466274042		False	False			105.56			2021/07/13 18:49:18+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:49:18		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661345113	-121.5466635302	48.3661345113	-121.5466635302		False	False			105.4			2021/07/13 18:49:34+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:49:34		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661204297	-121.5466550644	48.3661204297	-121.5466550644		False	False			100.89			2021/07/13 18:49:50+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:49:50		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661166579	-121.546631176	48.3661166579	-121.546631176		False	False			103.39			2021/07/13 18:50:06+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:50:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661090303	-121.5466201957	48.3661090303	-121.5466201957		False	False			104.19			2021/07/13 18:50:24+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:50:24		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661062643	-121.5466175135	48.3661062643	-121.5466175135		False	False			103.45			2021/07/13 18:50:36+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:50:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661202621	-121.5466249734	48.3661202621	-121.5466249734		False	False			103.08			2021/07/13 18:50:44+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:50:44		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661309909	-121.5466419049	48.3661309909	-121.5466419049		False	False			103.07			2021/07/13 18:50:54+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:50:54		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661399595	-121.5466376301	48.3661399595	-121.5466376301		False	False			103.1			2021/07/13 18:51:06+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:51:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.36613141	-121.5466291644	48.36613141	-121.5466291644		False	False			103.86			2021/07/13 18:51:23+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:51:23		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661190048	-121.5466838144	48.3661190048	-121.5466838144		False	False			104.65			2021/07/13 18:51:41+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:51:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661090303	-121.5466054436	48.3661090303	-121.5466054436		False	False			108.67			2021/07/13 18:51:58+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:51:58		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661220223	-121.5466592554	48.3661220223	-121.5466592554		False	False			103.92			2021/07/13 18:53:32+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:53:32		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661293983	-121.5466586687	48.3661293983	-121.5466586687		False	False			104.81			2021/07/13 18:53:33+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:53:33		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661538735	-121.546677947	48.3661538735	-121.546677947		False	False			109.21			2021/07/13 18:53:50+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:53:50		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661306556	-121.5466512926	48.3661306556	-121.5466512926		False	False			107.52			2021/07/13 18:54:03+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:54:03		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661335055	-121.5466455929	48.3661335055	-121.5466455929		False	False			109.85			2021/07/13 18:54:19+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:54:19		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661313262	-121.5466347802	48.3661313262	-121.5466347802		False	False			103.26			2021/07/13 18:54:37+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:54:37		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3661230281	-121.5466497	48.3661230281	-121.5466497		False	False			106.98			2021/07/13 18:54:55+00	garmin GPSMAP 64x Software Version 230		2021/07/13 11:54:55		
