type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156790633	-122.1368405409	48.5156790633	-122.1368405409		False	False			35.56			2021/05/14 20:37:31+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:37:31		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156022012	-122.1371297166	48.5156022012	-122.1371297166		False	False			22.87			2021/05/14 20:37:37+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:37:37		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156352259	-122.1371303033	48.5156352259	-122.1371303033		False	False			13.87			2021/05/14 20:37:49+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:37:49		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156272631	-122.1371339913	48.5156272631	-122.1371339913		False	False			13.4			2021/05/14 20:38:01+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:38:01		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156349745	-122.1371301357	48.5156349745	-122.1371301357		False	False			11.63			2021/05/14 20:38:15+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:38:15		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156344716	-122.1371258609	48.5156344716	-122.1371258609		False	False			11.54			2021/05/14 20:38:32+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:38:32		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156292748	-122.1371275373	48.5156292748	-122.1371275373		False	False			11.32			2021/05/14 20:38:46+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:38:46		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156402551	-122.1371329017	48.5156402551	-122.1371329017		False	False			11.44			2021/05/14 20:39:00+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:39:00		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156692564	-122.137129968	48.5156692564	-122.137129968		False	False			11.26			2021/05/14 20:39:17+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:39:17		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156344716	-122.1370946802	48.5156344716	-122.1370946802		False	False			8.97			2021/05/14 20:39:36+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:39:36		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156633891	-122.1371047385	48.5156633891	-122.1371047385		False	False			8.01			2021/05/14 20:39:51+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:39:51		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156306159	-122.1371143777	48.5156306159	-122.1371143777		False	False			8.12			2021/05/14 20:40:03+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:40:03		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156431887	-122.1371225081	48.5156431887	-122.1371225081		False	False			8.53			2021/05/14 20:40:17+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:40:17		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156443622	-122.1371184848	48.5156443622	-122.1371184848		False	False			10.12			2021/05/14 20:40:31+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:40:31		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156361479	-122.1371184848	48.5156361479	-122.1371184848		False	False			11.47			2021/05/14 20:40:46+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:40:46		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5156332143	-122.1371162217	48.5156332143	-122.1371162217		False	False			11.69			2021/05/14 20:41:03+00	garmin GPSMAP 64x Software Version 230		2021/05/14 13:41:03		
