type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48797645	-121.648587	48.48797645	-121.648587		FALSE	TRUE			109.2			2021/06/09 17:41:47+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48782784	-121.6487982	48.48782784	-121.6487982		FALSE	FALSE			119.14			2021/06/09 17:42:00+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:42		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48774017	-121.6488369	48.48774017	-121.6488369		FALSE	FALSE			112.48			2021/06/09 17:42:17+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:42		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48758569	-121.6489077	48.48758569	-121.6489077		FALSE	FALSE			83.02			2021/06/09 17:42:30+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:42		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4875758	-121.6488256	48.4875758	-121.6488256		FALSE	FALSE			83.01			2021/06/09 17:42:45+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:42		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48756759	-121.6488715	48.48756759	-121.6488715		FALSE	FALSE			84.05			2021/06/09 17:43:04+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:43		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48751889	-121.648911	48.48751889	-121.648911		FALSE	FALSE			82.96			2021/06/09 17:43:16+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:43		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4874722	-121.6489198	48.4874722	-121.6489198		FALSE	FALSE			81.85			2021/06/09 17:43:32+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:43		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4874976	-121.6489176	48.4874976	-121.6489176		FALSE	FALSE			81.34			2021/06/09 17:43:48+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:43		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48749064	-121.6488864	48.48749064	-121.6488864		FALSE	FALSE			81.57			2021/06/09 17:44:05+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:44		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48748142	-121.6488727	48.48748142	-121.6488727		FALSE	FALSE			81.64			2021/06/09 17:44:22+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:44		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48752811	-121.6488383	48.48752811	-121.6488383		FALSE	FALSE			82.01			2021/06/09 17:44:41+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:44		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48751017	-121.6488614	48.48751017	-121.6488614		FALSE	FALSE			81.61			2021/06/09 17:44:56+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:44		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48749223	-121.6489099	48.48749223	-121.6489099		FALSE	FALSE			80.7			2021/06/09 17:45:12+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48748058	-121.6489228	48.48748058	-121.6489228		FALSE	FALSE			81.24			2021/06/09 17:45:26+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48748511	-121.6488505	48.48748511	-121.6488505		FALSE	FALSE			81.92			2021/06/09 17:45:38+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48747865	-121.648813	48.48747865	-121.648813		FALSE	FALSE			81.86			2021/06/09 17:45:53+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48753506	-121.6487362	48.48753506	-121.6487362		FALSE	FALSE			81.45			2021/06/09 17:46:08+00	garmin GPSMAP 64x Software Version 230		6/9/2021 10:46		
