type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.476832211	-121.643680539	48.476832211	-121.643680539		False	True			70.19			2021/07/13 21:55:52+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:55:52		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768158663	-121.6436741687	48.4768158663	-121.6436741687		False	False			67.95			2021/07/13 21:56:07+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:56:07		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768270981	-121.6436835565	48.4768270981	-121.6436835565		False	False			68.45			2021/07/13 21:56:24+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:56:24		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768022876	-121.6437127255	48.4768022876	-121.6437127255		False	False			66.97			2021/07/13 21:56:41+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:56:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768295288	-121.6436989792	48.4768295288	-121.6436989792		False	False			67.02			2021/07/13 21:56:56+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:56:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768918902	-121.6436655354	48.4768918902	-121.6436655354		False	False			67.23			2021/07/13 21:57:08+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:57:08		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768612962	-121.6437246278	48.4768612962	-121.6437246278		False	False			71.67			2021/07/13 21:57:25+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:57:25		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768374916	-121.643720353	48.4768374916	-121.643720353		False	False			68.42			2021/07/13 21:57:39+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:57:39		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.47683548	-121.6437151562	48.47683548	-121.6437151562		False	False			69.35			2021/07/13 21:57:53+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:57:53		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768343903	-121.6437075287	48.4768343903	-121.6437075287		False	False			73.82			2021/07/13 21:58:08+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:58:08		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768263437	-121.6437185928	48.4768263437	-121.6437185928		False	False			73.75			2021/07/13 21:58:20+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:58:20		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4768246673	-121.6437052656	48.4768246673	-121.6437052656		False	False			69.37			2021/07/13 21:58:34+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:58:34		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4767777286	-121.6436949559	48.4767777286	-121.6436949559		False	False			65.34			2021/07/13 21:58:51+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:58:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4767441172	-121.6436696425	48.4767441172	-121.6436696425		False	False			65.97			2021/07/13 21:59:06+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:59:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4767649882	-121.6436408926	48.4767649882	-121.6436408926		False	False			68.24			2021/07/13 21:59:19+00	garmin GPSMAP 64x Software Version 230		2021/07/13 14:59:19		
