type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847705439	-121.6133906879	48.4847705439	-121.6133906879		False	True			77.14			2021/09/20 17:36:30+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:36:30		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847661015	-121.6133936215	48.4847661015	-121.6133936215		False	False			76.69			2021/09/20 17:36:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:36:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847589768	-121.6133964714	48.4847589768	-121.6133964714		False	False			76.2			2021/09/20 17:36:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:36:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847576357	-121.6134048533	48.4847576357	-121.6134048533		False	False			76.41			2021/09/20 17:36:46+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:36:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847557917	-121.6134162527	48.4847557917	-121.6134162527		False	False			76.38			2021/09/20 17:36:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:36:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48476124	-121.6134353634	48.48476124	-121.6134353634		False	False			76.25			2021/09/20 17:36:56+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:36:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847536124	-121.6134477686	48.4847536124	-121.6134477686		False	False			76.44			2021/09/20 17:37:01+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847470745	-121.6134626046	48.4847470745	-121.6134626046		False	False			76.93			2021/09/20 17:37:05+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:05		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.484738525	-121.6134678014	48.484738525	-121.6134678014		False	False			76.7			2021/09/20 17:37:11+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847327415	-121.6134729143	48.4847327415	-121.6134729143		False	False			75.97			2021/09/20 17:37:16+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847327415	-121.6134798713	48.4847327415	-121.6134798713		False	False			75.93			2021/09/20 17:37:21+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847254492	-121.6134728305	48.4847254492	-121.6134728305		False	False			76.63			2021/09/20 17:37:26+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.484714888	-121.6134560667	48.484714888	-121.6134560667		False	False			76.15			2021/09/20 17:37:30+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:30		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847220965	-121.6134461761	48.4847220965	-121.6134461761		False	False			75.26			2021/09/20 17:37:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.48472788	-121.613436956	48.48472788	-121.613436956		False	False			74.61			2021/09/20 17:37:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.484726958	-121.6134367045	48.484726958	-121.6134367045		False	False			74.69			2021/09/20 17:37:46+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847283829	-121.613442488	48.4847283829	-121.613442488		False	False			74.64			2021/09/20 17:37:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847143851	-121.6134519596	48.4847143851	-121.6134519596		False	False			74.66			2021/09/20 17:37:56+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:37:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847059194	-121.6134490259	48.4847059194	-121.6134490259		False	False			74.18			2021/09/20 17:38:01+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847103618	-121.613454558	48.4847103618	-121.613454558		False	False			74.89			2021/09/20 17:38:05+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:05		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.484718157	-121.6134574916	48.484718157	-121.6134574916		False	False			74.93			2021/09/20 17:38:11+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847219288	-121.6134647001	48.4847219288	-121.6134647001		False	False			72.19			2021/09/20 17:38:16+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847185761	-121.6134654544	48.4847185761	-121.6134654544		False	False			69.84			2021/09/20 17:38:21+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847060032	-121.6134645324	48.4847060032	-121.6134645324		False	False			68.97			2021/09/20 17:38:26+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846903291	-121.6134504508	48.4846903291	-121.6134504508		False	False			68.45			2021/09/20 17:38:31+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:31		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846910834	-121.6134553123	48.4846910834	-121.6134553123		False	False			67.1			2021/09/20 17:38:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846552927	-121.6134613473	48.4846552927	-121.6134613473		False	False			66.86			2021/09/20 17:38:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846487548	-121.613467969	48.4846487548	-121.613467969		False	False			67.62			2021/09/20 17:38:45+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846429713	-121.6134779435	48.4846429713	-121.6134779435		False	False			70.16			2021/09/20 17:38:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846454021	-121.6134838946	48.4846454021	-121.6134838946		False	False			71.34			2021/09/20 17:38:56+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:38:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846376069	-121.6134870797	48.4846376069	-121.6134870797		False	False			72.02			2021/09/20 17:39:01+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.484648671	-121.6135003231	48.484648671	-121.6135003231		False	False			74.27			2021/09/20 17:39:06+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846402053	-121.613518931	48.4846402053	-121.613518931		False	False			76.43			2021/09/20 17:39:11+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.484645905	-121.613549022	48.484645905	-121.613549022		False	False			78.92			2021/09/20 17:39:16+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846456535	-121.613567546	48.4846456535	-121.613567546		False	False			81.47			2021/09/20 17:39:20+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:20		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846438095	-121.6135785263	48.4846438095	-121.6135785263		False	False			81.62			2021/09/20 17:39:26+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846590646	-121.6135932785	48.4846590646	-121.6135932785		False	False			80			2021/09/20 17:39:31+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:31		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846752416	-121.6135947034	48.4846752416	-121.6135947034		False	False			77.35			2021/09/20 17:39:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846966155	-121.6135958768	48.4846966155	-121.6135958768		False	False			76.37			2021/09/20 17:39:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4847061709	-121.6135900933	48.4847061709	-121.6135900933		False	False			77.39			2021/09/20 17:39:46+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4846936818	-121.6135940328	48.4846936818	-121.6135940328		False	False			78.84			2021/09/20 17:39:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 10:39:51		
