type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807682689	-121.5876640286	48.4807682689	-121.5876640286		False	False			76.84			2021/09/20 19:07:11+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807593003	-121.5876918565	48.4807593003	-121.5876918565		False	False			76.01			2021/09/20 19:07:16+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807655867	-121.587719433	48.4807655867	-121.587719433		False	False			75.64			2021/09/20 19:07:21+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807870444	-121.5877081174	48.4807870444	-121.5877081174		False	False			71.65			2021/09/20 19:07:26+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807937499	-121.5877130628	48.4807937499	-121.5877130628		False	False			68.7			2021/09/20 19:07:31+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:31		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808062389	-121.5877191816	48.4808062389	-121.5877191816		False	False			66.2			2021/09/20 19:07:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808185603	-121.5877155773	48.4808185603	-121.5877155773		False	False			64.98			2021/09/20 19:07:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480816884	-121.5877012443	48.480816884	-121.5877012443		False	False			64.55			2021/09/20 19:07:46+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808050655	-121.5876916889	48.4808050655	-121.5876916889		False	False			64.1			2021/09/20 19:07:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808077477	-121.5876823012	48.4808077477	-121.5876823012		False	False			63.61			2021/09/20 19:07:56+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:07:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480806658	-121.5876737516	48.480806658	-121.5876737516		False	False			63.45			2021/09/20 19:08:01+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807922412	-121.5876592509	48.4807922412	-121.5876592509		False	False			63.2			2021/09/20 19:08:06+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807965998	-121.5876552276	48.4807965998	-121.5876552276		False	False			62.86			2021/09/20 19:08:11+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808158781	-121.5876599215	48.4808158781	-121.5876599215		False	False			64.02			2021/09/20 19:08:16+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480832139	-121.5876662079	48.480832139	-121.5876662079		False	False			64.7			2021/09/20 19:08:21+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808378387	-121.5877021663	48.4808378387	-121.5877021663		False	False			65.38			2021/09/20 19:08:26+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480833564	-121.5877249651	48.480833564	-121.5877249651		False	False			65.51			2021/09/20 19:08:31+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:31		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808256011	-121.5877298266	48.4808256011	-121.5877298266		False	False			65.7			2021/09/20 19:08:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808116034	-121.5877299104	48.4808116034	-121.5877299104		False	False			65.87			2021/09/20 19:08:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808152076	-121.5877160802	48.4808152076	-121.5877160802		False	False			66.4			2021/09/20 19:08:46+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808200691	-121.5877121408	48.4808200691	-121.5877121408		False	False			66.66			2021/09/20 19:08:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808272775	-121.5877010766	48.4808272775	-121.5877010766		False	False			66.99			2021/09/20 19:08:56+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:08:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808136988	-121.5877287369	48.4808136988	-121.5877287369		False	False			68.19			2021/09/20 19:09:01+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808109328	-121.5877270605	48.4808109328	-121.5877270605		False	False			69.05			2021/09/20 19:09:06+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808090888	-121.5877093747	48.4808090888	-121.5877093747		False	False			69.45			2021/09/20 19:09:11+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808077477	-121.5877046809	48.4808077477	-121.5877046809		False	False			69.64			2021/09/20 19:09:16+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807928279	-121.5877056867	48.4807928279	-121.5877056867		False	False			69.97			2021/09/20 19:09:21+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807914868	-121.587708788	48.4807914868	-121.587708788		False	False			70.35			2021/09/20 19:09:26+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808048978	-121.5876957122	48.4808048978	-121.5876957122		False	False			68.74			2021/09/20 19:09:31+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:31		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808060713	-121.587672662	48.4808060713	-121.587672662		False	False			68.79			2021/09/20 19:09:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808018804	-121.5876564849	48.4808018804	-121.5876564849		False	False			69.45			2021/09/20 19:09:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807943366	-121.5876475163	48.4807943366	-121.5876475163		False	False			69.76			2021/09/20 19:09:46+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807907324	-121.5876377095	48.4807907324	-121.5876377095		False	False			69.7			2021/09/20 19:09:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807933308	-121.5876341052	48.4807933308	-121.5876341052		False	False			69.6			2021/09/20 19:09:56+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:09:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807963483	-121.5876348596	48.4807963483	-121.5876348596		False	False			69.67			2021/09/20 19:10:01+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807911515	-121.5876379609	48.4807911515	-121.5876379609		False	False			69.49			2021/09/20 19:10:06+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807854518	-121.5876409784	48.4807854518	-121.5876409784		False	False			69.39			2021/09/20 19:10:11+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807823505	-121.5876450017	48.4807823505	-121.5876450017		False	False			69.64			2021/09/20 19:10:16+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807800036	-121.5876517911	48.4807800036	-121.5876517911		False	False			70.04			2021/09/20 19:10:21+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480783524	-121.5876553953	48.480783524	-121.5876553953		False	False			70.19			2021/09/20 19:10:26+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807809256	-121.5876544733	48.4807809256	-121.5876544733		False	False			70.1			2021/09/20 19:10:31+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:31		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807758126	-121.5876585804	48.4807758126	-121.5876585804		False	False			70.09			2021/09/20 19:10:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807707835	-121.5876631066	48.4807707835	-121.5876631066		False	False			69.97			2021/09/20 19:10:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807660058	-121.5876688063	48.4807660058	-121.5876688063		False	False			70.31			2021/09/20 19:10:45+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807598032	-121.587672662	48.4807598032	-121.587672662		False	False			71.05			2021/09/20 19:10:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807565343	-121.5876732487	48.4807565343	-121.5876732487		False	False			71.87			2021/09/20 19:10:56+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:10:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807600547	-121.5876767691	48.4807600547	-121.5876767691		False	False			71.83			2021/09/20 19:11:01+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807541035	-121.5876714885	48.4807541035	-121.5876714885		False	False			71.78			2021/09/20 19:11:06+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807556961	-121.5876736678	48.4807556961	-121.5876736678		False	False			71.76			2021/09/20 19:11:11+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807585459	-121.5876712371	48.4807585459	-121.5876712371		False	False			71.47			2021/09/20 19:11:16+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807595517	-121.5876641124	48.4807595517	-121.5876641124		False	False			71.42			2021/09/20 19:11:21+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807686042	-121.587649947	48.4807686042	-121.587649947		False	False			71.27			2021/09/20 19:11:26+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807752259	-121.5876289085	48.4807752259	-121.5876289085		False	False			71.05			2021/09/20 19:11:31+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:31		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807827696	-121.5876188502	48.4807827696	-121.5876188502		False	False			71.01			2021/09/20 19:11:36+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807875473	-121.5876206942	48.4807875473	-121.5876206942		False	False			71.05			2021/09/20 19:11:41+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807846136	-121.5876144078	48.4807846136	-121.5876144078		False	False			71.16			2021/09/20 19:11:46+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807757288	-121.5876109712	48.4807757288	-121.5876109712		False	False			71.09			2021/09/20 19:11:51+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807691071	-121.5876300819	48.4807691071	-121.5876300819		False	False			70.7			2021/09/20 19:11:56+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:11:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807660896	-121.5876288246	48.4807660896	-121.5876288246		False	False			70.38			2021/09/20 19:12:01+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:12:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807675984	-121.587624969	48.4807675984	-121.587624969		False	False			70.03			2021/09/20 19:12:06+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:12:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807692748	-121.5876175091	48.4807692748	-121.5876175091		False	False			69.93			2021/09/20 19:12:10+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:12:10		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807734657	-121.5876274835	48.4807734657	-121.5876274835		False	False			69.51			2021/09/20 19:12:15+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:12:15		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480774723	-121.5876329318	48.480774723	-121.5876329318		False	False			69.09			2021/09/20 19:12:20+00	garmin GPSMAP 64x Software Version 230		2021/09/20 12:12:20		
