type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861732554	-121.5903993789	48.4861732554	-121.5903993789		False	False			68.04			2021/10/18 20:28:55+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:28:55		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861729201	-121.5903947689	48.4861729201	-121.5903947689		False	False			67.28			2021/10/18 20:29:01+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:01		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861726686	-121.5903946012	48.4861726686	-121.5903946012		False	False			66.7			2021/10/18 20:29:06+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:06		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861667175	-121.590397032	48.4861667175	-121.590397032		False	False			66.59			2021/10/18 20:29:11+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:11		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.486167891	-121.5903999656	48.486167891	-121.5903999656		False	False			67.94			2021/10/18 20:29:15+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:15		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861793742	-121.5904103592	48.4861793742	-121.5904103592		False	False			67.24			2021/10/18 20:29:21+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:21		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861763567	-121.5904054977	48.4861763567	-121.5904054977		False	False			66.9			2021/10/18 20:29:26+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:26		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861729201	-121.5904132091	48.4861729201	-121.5904132091		False	False			66.59			2021/10/18 20:29:30+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:30		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.486169735	-121.5904140472	48.486169735	-121.5904140472		False	False			66.47			2021/10/18 20:29:36+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:36		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861659631	-121.5904174	48.4861659631	-121.5904174		False	False			66.15			2021/10/18 20:29:41+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:41		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861621074	-121.5904187411	48.4861621074	-121.5904187411		False	False			66.1			2021/10/18 20:29:46+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:46		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861683939	-121.590418322	48.4861683939	-121.590418322		False	False			66.12			2021/10/18 20:29:51+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:51		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861796256	-121.5904232673	48.4861796256	-121.5904232673		False	False			66.31			2021/10/18 20:29:56+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:29:56		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861927852	-121.590425279	48.4861927852	-121.590425279		False	False			66.48			2021/10/18 20:30:01+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:01		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861922823	-121.590415556	48.4861922823	-121.590415556		False	False			66.09			2021/10/18 20:30:05+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:05		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861920308	-121.5904022288	48.4861920308	-121.5904022288		False	False			65.96			2021/10/18 20:30:11+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:11		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861930367	-121.5904041566	48.4861930367	-121.5904041566		False	False			65.59			2021/10/18 20:30:16+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:16		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.486196138	-121.5904033184	48.486196138	-121.5904033184		False	False			64.76			2021/10/18 20:30:21+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:21		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861932881	-121.5904046595	48.4861932881	-121.5904046595		False	False			62.54			2021/10/18 20:30:26+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:26		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861963056	-121.5904074255	48.4861963056	-121.5904074255		False	False			61.49			2021/10/18 20:30:31+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:31		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861921147	-121.5904088505	48.4861921147	-121.5904088505		False	False			61.18			2021/10/18 20:30:36+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:36		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861903545	-121.5904138796	48.4861903545	-121.5904138796		False	False			60.59			2021/10/18 20:30:41+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:41		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861958865	-121.5904181544	48.4861958865	-121.5904181544		False	False			61.44			2021/10/18 20:30:46+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:46		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861988202	-121.5904173162	48.4861988202	-121.5904173162		False	False			62.55			2021/10/18 20:30:51+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:51		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861973114	-121.5904134605	48.4861973114	-121.5904134605		False	False			63.47			2021/10/18 20:30:56+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:30:56		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861918632	-121.5904116165	48.4861918632	-121.5904116165		False	False			63.93			2021/10/18 20:31:01+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:01		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861885943	-121.5904115327	48.4861885943	-121.5904115327		False	False			65.36			2021/10/18 20:31:06+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:06		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861821402	-121.5904110298	48.4861821402	-121.5904110298		False	False			65.63			2021/10/18 20:31:11+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:11		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861554857	-121.590403989	48.4861554857	-121.590403989		False	False			64.67			2021/10/18 20:31:15+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:15		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861552343	-121.5904032346	48.4861552343	-121.5904032346		False	False			63.35			2021/10/18 20:31:21+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:21		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861538094	-121.5904024802	48.4861538094	-121.5904024802		False	False			62.05			2021/10/18 20:31:26+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:26		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861504566	-121.5904018935	48.4861504566	-121.5904018935		False	False			60.94			2021/10/18 20:31:31+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:31		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861412365	-121.5903971158	48.4861412365	-121.5903971158		False	False			60.74			2021/10/18 20:31:36+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:36		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861309268	-121.5903798491	48.4861309268	-121.5903798491		False	False			63.58			2021/10/18 20:31:41+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:41		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861276578	-121.590358559	48.4861276578	-121.590358559		False	False			64.98			2021/10/18 20:31:46+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:46		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861300886	-121.5903402027	48.4861300886	-121.5903402027		False	False			64.04			2021/10/18 20:31:51+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:51		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861371294	-121.5903293062	48.4861371294	-121.5903293062		False	False			64.54			2021/10/18 20:31:56+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:31:56		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861654602	-121.590321511	48.4861654602	-121.590321511		False	False			66.7			2021/10/18 20:32:01+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:01		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.486178536	-121.5903334133	48.486178536	-121.5903334133		False	False			66.94			2021/10/18 20:32:06+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:06		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.486182224	-121.5903466567	48.486182224	-121.5903466567		False	False			65.37			2021/10/18 20:32:11+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:11		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861817211	-121.5903573018	48.4861817211	-121.5903573018		False	False			64.26			2021/10/18 20:32:16+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:16		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861934558	-121.5903709643	48.4861934558	-121.5903709643		False	False			63.49			2021/10/18 20:32:21+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:21		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861983173	-121.5903688688	48.4861983173	-121.5903688688		False	False			62.46			2021/10/18 20:32:26+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:26		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4862009156	-121.5903698746	48.4862009156	-121.5903698746		False	False			62.03			2021/10/18 20:32:30+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:30		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4862026758	-121.590374317	48.4862026758	-121.590374317		False	False			61.96			2021/10/18 20:32:36+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:36		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4862003289	-121.5903772507	48.4862003289	-121.5903772507		False	False			61.93			2021/10/18 20:32:41+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:41		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861978143	-121.5903804358	48.4861978143	-121.5903804358		False	False			61.91			2021/10/18 20:32:46+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:46		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861975629	-121.5903832018	48.4861975629	-121.5903832018		False	False			61.55			2021/10/18 20:32:50+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:50		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861981496	-121.5903865546	48.4861981496	-121.5903865546		False	False			61.19			2021/10/18 20:32:56+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:32:56		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861973114	-121.5903883986	48.4861973114	-121.5903883986		False	False			60.57			2021/10/18 20:33:01+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:01		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4862077888	-121.5903702099	48.4862077888	-121.5903702099		False	False			60.56			2021/10/18 20:33:06+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:06		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861944616	-121.5903287195	48.4861944616	-121.5903287195		False	False			60.03			2021/10/18 20:33:11+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:11		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4862003289	-121.5902972035	48.4862003289	-121.5902972035		False	False			59.51			2021/10/18 20:33:16+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:16		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4862003289	-121.5902992152	48.4862003289	-121.5902992152		False	False			60.1			2021/10/18 20:33:21+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:21		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4862090461	-121.5902975388	48.4862090461	-121.5902975388		False	False			59.95			2021/10/18 20:33:26+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:26		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.486191947	-121.5902593173	48.486191947	-121.5902593173		False	False			59.78			2021/10/18 20:33:31+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:31		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861996584	-121.5902407095	48.4861996584	-121.5902407095		False	False			61.19			2021/10/18 20:33:36+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:36		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4861860797	-121.5902495105	48.4861860797	-121.5902495105		False	False			61.64			2021/10/18 20:33:41+00	garmin GPSMAP 64x Software Version 230		2021/10/18 13:33:41		
