type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4800480958	-121.5760758799	48.4800480958	-121.5760758799		False	True			83.18			2021/05/13 20:23:13+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:23:13		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4800768457	-121.5760365687	48.4800768457	-121.5760365687		False	False			86.69			2021/05/13 20:23:39+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:23:39		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4800728224	-121.5760553442	48.4800728224	-121.5760553442		False	False			88.93			2021/05/13 20:23:56+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:23:56		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4800918493	-121.5760144405	48.4800918493	-121.5760144405		False	False			86.03			2021/05/13 20:24:06+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:24:06		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4801091161	-121.5759718604	48.4801091161	-121.5759718604		False	False			84.45			2021/05/13 20:24:22+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:24:22		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4801319148	-121.5758880414	48.4801319148	-121.5758880414		False	False			83.14			2021/05/13 20:24:37+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:24:37		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4801180009	-121.5758146159	48.4801180009	-121.5758146159		False	False			80.35			2021/05/13 20:24:48+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:24:48		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4800824616	-121.5757836867	48.4800824616	-121.5757836867		False	False			78.66			2021/05/13 20:24:55+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:24:55		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4799983911	-121.5757077467	48.4799983911	-121.5757077467		False	False			75.12			2021/05/13 20:25:06+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:25:06		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4799422324	-121.5756223351	48.4799422324	-121.5756223351		False	False			72.54			2021/05/13 20:25:17+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:25:17		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4798717406	-121.5755036473	48.4798717406	-121.5755036473		False	False			72.13			2021/05/13 20:25:28+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:25:28		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4798626043	-121.575503815	48.4798626043	-121.575503815		False	False			72.79			2021/05/13 20:25:31+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:25:31		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4798243828	-121.5755003784	48.4798243828	-121.5755003784		False	False			76.9			2021/05/13 20:25:43+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:25:43		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4798154142	-121.575521417	48.4798154142	-121.575521417		False	False			81.61			2021/05/13 20:25:57+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:25:57		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4798133187	-121.575518148	48.4798133187	-121.575518148		False	False			81.85			2021/05/13 20:25:58+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:25:58		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4797646198	-121.5754513443	48.4797646198	-121.5754513443		False	False			82.56			2021/05/13 20:26:12+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:26:12		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4797629435	-121.5753956884	48.4797629435	-121.5753956884		False	False			82.03			2021/05/13 20:26:22+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:26:22		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4797030129	-121.5753081813	48.4797030129	-121.5753081813		False	False			82.86			2021/05/13 20:26:36+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:26:36		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4796768613	-121.5753127076	48.4796768613	-121.5753127076		False	False			89.6			2021/05/13 20:26:50+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:26:50		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.4796836507	-121.575376913	48.4796836507	-121.575376913		False	False			86.14			2021/05/13 20:27:04+00	garmin GPSMAP 64x Software Version 230		2021/05/13 13:27:04		
