type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738446493	-121.5577360243	48.4738446493	-121.5577360243		False	True			78.62			2021/10/19 20:30:32+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:30:32		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738453198	-121.5577365272	48.4738453198	-121.5577365272		False	False			79.04			2021/10/19 20:30:38+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:30:38		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738497622	-121.557741724	48.4738497622	-121.557741724		False	False			78.79			2021/10/19 20:30:43+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:30:43		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738587309	-121.5577516984	48.4738587309	-121.5577516984		False	False			78.29			2021/10/19 20:30:48+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:30:48		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738625865	-121.5577547997	48.4738625865	-121.5577547997		False	False			78.88			2021/10/19 20:30:52+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:30:52		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738617484	-121.5577573143	48.4738617484	-121.5577573143		False	False			78.51			2021/10/19 20:30:58+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:30:58		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738643467	-121.5577585716	48.4738643467	-121.5577585716		False	False			78.63			2021/10/19 20:31:03+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:03		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738667775	-121.5577570628	48.4738667775	-121.5577570628		False	False			77.4			2021/10/19 20:31:08+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:08		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738664422	-121.5577534586	48.4738664422	-121.5577534586		False	False			75.87			2021/10/19 20:31:13+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:13		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738770872	-121.557754213	48.4738770872	-121.557754213		False	False			75.34			2021/10/19 20:31:18+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:18		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738849662	-121.5577504411	48.4738849662	-121.5577504411		False	False			74.66			2021/10/19 20:31:22+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:22		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738881513	-121.5577452444	48.4738881513	-121.5577452444		False	False			74.42			2021/10/19 20:31:27+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:27		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738931805	-121.557747256	48.4738931805	-121.557747256		False	False			75.13			2021/10/19 20:31:33+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:33		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.473885553	-121.5577516984	48.473885553	-121.5577516984		False	False			75.48			2021/10/19 20:31:38+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:38		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.473861916	-121.5577517822	48.473861916	-121.5577517822		False	False			75.48			2021/10/19 20:31:43+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:43		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738514386	-121.5577482618	48.4738514386	-121.5577482618		False	False			74.58			2021/10/19 20:31:47+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:47		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738407098	-121.5577504411	48.4738407098	-121.5577504411		False	False			73.62			2021/10/19 20:31:53+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:53		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738300648	-121.5577519499	48.4738300648	-121.5577519499		False	False			75.06			2021/10/19 20:31:58+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:31:58		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738205932	-121.557754213	48.4738205932	-121.557754213		False	False			75.74			2021/10/19 20:32:03+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:32:03		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.473814223	-121.5577434003	48.473814223	-121.5577434003		False	False			75.19			2021/10/19 20:32:08+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:32:08		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738103673	-121.5577388741	48.4738103673	-121.5577388741		False	False			74.91			2021/10/19 20:32:13+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:32:13		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4738090262	-121.5577357728	48.4738090262	-121.5577357728		False	False			74.08			2021/10/19 20:32:18+00	garmin GPSMAP 64x Software Version 230		2021/10/19 13:32:18		
