type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972874913	-121.4658915717	48.4972874913	-121.4658915717		False	True			100.28			2021/07/12 22:22:42+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:22:42		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972879943	-121.4658954274	48.4972879943	-121.4658954274		False	False			99.73			2021/07/12 22:22:58+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:22:58		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972766787	-121.46588495	48.4972766787	-121.46588495		False	False			94			2021/07/12 22:23:14+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:23:14		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.497273745	-121.4659039769	48.497273745	-121.4659039769		False	False			92.02			2021/07/12 22:23:25+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:23:25		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972635191	-121.4658903144	48.4972635191	-121.4658903144		False	False			91.4			2021/07/12 22:23:37+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:23:37		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972285666	-121.4658679347	48.4972285666	-121.4658679347		False	False			90			2021/07/12 22:24:01+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:24:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.497231584	-121.4658775739	48.497231584	-121.4658775739		False	False			89.2			2021/07/12 22:24:26+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:24:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972151555	-121.4658738021	48.4972151555	-121.4658738021		False	False			89.69			2021/07/12 22:24:45+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:24:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972131439	-121.4658691082	48.4972131439	-121.4658691082		False	False			89.31			2021/07/12 22:24:56+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:24:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.497217251	-121.4658883028	48.497217251	-121.4658883028		False	False			89.55			2021/07/12 22:25:06+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:25:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972257167	-121.4659144543	48.4972257167	-121.4659144543		False	False			90.07			2021/07/12 22:25:22+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:25:22		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972505271	-121.4659226686	48.4972505271	-121.4659226686		False	False			90.15			2021/07/12 22:25:37+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:25:37		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972610045	-121.4659064077	48.4972610045	-121.4659064077		False	False			90.14			2021/07/12 22:25:52+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:25:52		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972618427	-121.465874305	48.4972618427	-121.465874305		False	False			90.06			2021/07/12 22:26:10+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:26:10		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4972802829	-121.4658719581	48.4972802829	-121.4658719581		False	False			90.42			2021/07/12 22:26:28+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:26:28		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4973084461	-121.4658983611	48.4973084461	-121.4658983611		False	False			90.74			2021/07/12 22:26:42+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:26:42		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4973160736	-121.4659079164	48.4973160736	-121.4659079164		False	False			90.9			2021/07/12 22:27:00+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:27:00		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4973055124	-121.4659040608	48.4973055124	-121.4659040608		False	False			91.02			2021/07/12 22:27:16+00	garmin GPSMAP 64x Software Version 230		2021/07/12 15:27:16		
