type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4811044671	-122.2704953514	48.4811044671	-122.2704953514		True	True			-7.61			2021/06/08 17:52:21+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:52:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4811006114	-122.2704935074	48.4811006114	-122.2704935074		False	False			-9.05			2021/06/08 17:52:32+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:52:32		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4811039641	-122.2705226764	48.4811039641	-122.2705226764		False	False			-5.24			2021/06/08 17:52:39+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:52:39		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4811123461	-122.2705407813	48.4811123461	-122.2705407813		False	False			-2.43			2021/06/08 17:52:58+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:52:58		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.481111927	-122.2705406137	48.481111927	-122.2705406137		False	False			-2.18			2021/06/08 17:53:12+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:53:12		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4811019525	-122.2705753986	48.4811019525	-122.2705753986		False	False			0.6			2021/06/08 17:53:29+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:53:29		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4810843505	-122.2706177272	48.4810843505	-122.2706177272		False	False			5			2021/06/08 17:53:54+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:53:54		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4810702689	-122.2706483211	48.4810702689	-122.2706483211		False	False			5.43			2021/06/08 17:54:13+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:54:13		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4810654912	-122.2706830222	48.4810654912	-122.2706830222		False	False			5.78			2021/06/08 17:54:29+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:54:29		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4810652398	-122.2707176395	48.4810652398	-122.2707176395		False	False			6.22			2021/06/08 17:54:46+00	garmin GPSMAP 64x Software Version 230		2021/06/08 10:54:46		
