type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5231144819	-122.0971016865	48.5231144819	-122.0971016865		False	True			33.7			2021/05/14 17:03:11+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:03:11		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230351891	-122.0970010199	48.5230351891	-122.0970010199		False	False			27.22			2021/05/14 17:03:33+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:03:33		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.523023203	-122.0969359763	48.523023203	-122.0969359763		False	False			28.13			2021/05/14 17:03:48+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:03:48		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5228006635	-122.0969809033	48.5228006635	-122.0969809033		False	False			17.42			2021/05/14 17:06:41+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:06:41		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5229760129	-122.0970125869	48.5229760129	-122.0970125869		False	False			28.51			2021/05/14 17:06:53+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:06:53		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5229113884	-122.0970213041	48.5229113884	-122.0970213041		False	False			19.78			2021/05/14 17:07:13+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:07:13		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5229323432	-122.0970191248	48.5229323432	-122.0970191248		False	False			18.5			2021/05/14 17:07:34+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:07:34		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5229798686	-122.0971092302	48.5229798686	-122.0971092302		False	False			28.23			2021/05/14 17:07:46+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:07:46		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5229920223	-122.0971218031	48.5229920223	-122.0971218031		False	False			29.63			2021/05/14 17:08:00+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:08:00		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230568144	-122.0971393213	48.5230568144	-122.0971393213		False	False			27.48			2021/05/14 17:08:13+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:08:13		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230216105	-122.0971542411	48.5230216105	-122.0971542411		False	False			22.68			2021/05/14 17:08:25+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:08:25		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5229702294	-122.097215848	48.5229702294	-122.097215848		False	False			25.48			2021/05/14 17:08:38+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:08:38		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.522981545	-122.097191792	48.522981545	-122.097191792		False	False			25.29			2021/05/14 17:08:51+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:08:51		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230432358	-122.0971756149	48.5230432358	-122.0971756149		False	False			25.71			2021/05/14 17:09:18+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:09:18		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230673756	-122.0972373057	48.5230673756	-122.0972373057		False	False			25.69			2021/05/14 17:09:34+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:09:34		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230819602	-122.0972341206	48.5230819602	-122.0972341206		False	False			23.59			2021/05/14 17:09:49+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:09:49		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230827983	-122.0972212963	48.5230827983	-122.0972212963		False	False			19.11			2021/05/14 17:10:09+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:10:09		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230694711	-122.0971997548	48.5230694711	-122.0971997548		False	False			20.33			2021/05/14 17:10:24+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:10:24		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230962932	-122.0971933007	48.5230962932	-122.0971933007		False	False			20.07			2021/05/14 17:10:39+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:10:39		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.523107022	-122.0972030237	48.523107022	-122.0972030237		False	False			19.77			2021/05/14 17:10:52+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:10:52		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5231035855	-122.0972094778	48.5231035855	-122.0972094778		False	False			19.98			2021/05/14 17:11:04+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:11:04		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5230986401	-122.0972575899	48.5230986401	-122.0972575899		False	False			20.84			2021/05/14 17:11:19+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:11:19		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5231169965	-122.0972934645	48.5231169965	-122.0972934645		False	False			21.96			2021/05/14 17:11:32+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:11:32		
TRACK	Current Track: 12 MAY 2021 10:08	T1	48.5231475905	-122.0973207057	48.5231475905	-122.0973207057		False	False			22.76			2021/05/14 17:11:41+00	garmin GPSMAP 64x Software Version 230		2021/05/14 10:11:41		
