type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.51269854	-122.0028849	48.51269854	-122.0028849		FALSE	TRUE			40.39			2021/05/11 20:48:39+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:48:39		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.51287113	-122.0029568	48.51287113	-122.0029568		FALSE	FALSE			38.4			2021/05/11 20:49:00+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:49:00		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.5128526	-122.0029007	48.5128526	-122.0029007		FALSE	FALSE			41.6			2021/05/11 20:49:28+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:49:28		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.51274749	-122.002843	48.51274749	-122.002843		FALSE	FALSE			38.22			2021/05/11 20:49:56+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:49:56		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.5126993	-122.0027904	48.5126993	-122.0027904		FALSE	FALSE			35.32			2021/05/11 20:50:20+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:50:20		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.51281438	-122.0026648	48.51281438	-122.0026648		FALSE	FALSE			34.09			2021/05/11 20:50:42+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:50:42		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.5130168	-122.0025573	48.5130168	-122.0025573		FALSE	FALSE			30.63			2021/05/11 20:51:03+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:51:03		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.51322467	-122.0025693	48.51322467	-122.0025693		FALSE	FALSE			27.6			2021/05/11 20:51:25+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:51:25		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.51331939	-122.0025827	48.51331939	-122.0025827		FALSE	FALSE			27.14			2021/05/11 20:51:46+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:51:46		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.51338645	-122.0025754	48.51338645	-122.0025754		FALSE	FALSE			28.34			2021/05/11 20:52:08+00	garmin GPSMAP 64x Software Version 230		5/11/2021 13:52:08		
