type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.5401652	-121.818829	48.5401652	-121.818829		TRUE	TRUE			69.86			2021/05/11 16:24:11+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:24:11		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54023108	-121.8187784	48.54023108	-121.8187784		FALSE	FALSE			49.82			2021/05/11 16:24:26+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:24:26		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54023184	-121.8188278	48.54023184	-121.8188278		FALSE	FALSE			45.52			2021/05/11 16:24:47+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:24:47		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54021432	-121.8188438	48.54021432	-121.8188438		FALSE	FALSE			46.39			2021/05/11 16:25:16+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:25:16		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54021398	-121.8188161	48.54021398	-121.8188161		FALSE	FALSE			43.19			2021/05/11 16:25:59+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:25:59		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54022178	-121.8188133	48.54022178	-121.8188133		FALSE	FALSE			45.27			2021/05/11 16:26:33+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:26:33		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54019496	-121.8188538	48.54019496	-121.8188538		FALSE	FALSE			46.56			2021/05/11 16:27:21+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:27:21		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54019571	-121.8188603	48.54019571	-121.8188603		FALSE	FALSE			47			2021/05/11 16:28:17+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:28:17		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54020325	-121.8188548	48.54020325	-121.8188548		FALSE	FALSE			46.9			2021/05/11 16:28:58+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:28:58		
TRACK	Current Track: 11 MAY 2021 09:24	T1	48.54020627	-121.8188491	48.54020627	-121.8188491		FALSE	FALSE			46.66			2021/05/11 16:29:40+00	garmin GPSMAP 64x Software Version 230		5/11/2021 9:29:40		
