type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3538670093	-121.5527133364	48.3538670093	-121.5527133364		False	True			117.14			2021/07/12 19:30:39+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:30:39		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3538194001	-121.5527562518	48.3538194001	-121.5527562518		False	False			124.6			2021/07/12 19:30:59+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:30:59		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3538167179	-121.5527479537	48.3538167179	-121.5527479537		False	False			131.01			2021/07/12 19:31:13+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:31:13		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537921589	-121.5527196229	48.3537921589	-121.5527196229		False	False			135.63			2021/07/12 19:31:24+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:31:24		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537981939	-121.5526663139	48.3537981939	-121.5526663139		False	False			135.01			2021/07/12 19:31:31+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:31:31		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3538012952	-121.5525868535	48.3538012952	-121.5525868535		False	False			126.83			2021/07/12 19:31:43+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:31:43		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537918236	-121.5525659826	48.3537918236	-121.5525659826		False	False			123.81			2021/07/12 19:31:55+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:31:55		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537801728	-121.552544022	48.3537801728	-121.552544022		False	False			122.39			2021/07/12 19:32:03+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:32:03		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537772391	-121.5525329579	48.3537772391	-121.5525329579		False	False			121.11			2021/07/12 19:32:15+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:32:15		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537778258	-121.5525456145	48.3537778258	-121.5525456145		False	False			122.99			2021/07/12 19:32:27+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:32:27		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537781611	-121.5525648091	48.3537781611	-121.5525648091		False	False			127.19			2021/07/12 19:32:41+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:32:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537726291	-121.5525403339	48.3537726291	-121.5525403339		False	False			126.18			2021/07/12 19:32:51+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:32:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537552785	-121.5525474586	48.3537552785	-121.5525474586		False	False			125.86			2021/07/12 19:33:05+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:33:05		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537548594	-121.5525167808	48.3537548594	-121.5525167808		False	False			123.33			2021/07/12 19:33:17+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:33:17		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537334856	-121.5524817444	48.3537334856	-121.5524817444		False	False			123.16			2021/07/12 19:33:24+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:33:24		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537519258	-121.5524819959	48.3537519258	-121.5524819959		False	False			118.92			2021/07/12 19:33:36+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:33:36		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.3537583798	-121.5525096562	48.3537583798	-121.5525096562		False	False			117.83			2021/07/12 19:33:46+00	garmin GPSMAP 64x Software Version 230		2021/07/12 12:33:46		
