type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49395929	-121.493988	48.49395929	-121.493988		FALSE	TRUE			-5.85			2021/04/13 01:57:22+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49400631	-121.4939758	48.49400631	-121.4939758		FALSE	FALSE			-2.29			2021/04/13 01:57:27+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49400925	-121.4939644	48.49400925	-121.4939644		FALSE	FALSE			1.25			2021/04/13 01:57:28+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49401235	-121.4939549	48.49401235	-121.4939549		FALSE	FALSE			4.66			2021/04/13 01:57:29+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49401352	-121.4939437	48.49401352	-121.4939437		FALSE	FALSE			7.9			2021/04/13 01:57:30+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49401386	-121.4939385	48.49401386	-121.4939385		FALSE	FALSE			11			2021/04/13 01:57:31+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49401704	-121.4938985	48.49401704	-121.4938985		FALSE	FALSE			16.8			2021/04/13 01:57:33+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49401872	-121.4938643	48.49401872	-121.4938643		FALSE	FALSE			22.09			2021/04/13 01:57:35+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49400925	-121.4938494	48.49400925	-121.4938494		FALSE	FALSE			26.83			2021/04/13 01:57:37+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49401293	-121.4938432	48.49401293	-121.4938432		FALSE	FALSE			31.13			2021/04/13 01:57:39+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49401788	-121.4938393	48.49401788	-121.4938393		FALSE	FALSE			35.1			2021/04/13 01:57:41+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49402073	-121.4938373	48.49402073	-121.4938373		FALSE	FALSE			38.77			2021/04/13 01:57:43+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49402727	-121.4938366	48.49402727	-121.4938366		FALSE	FALSE			42.17			2021/04/13 01:57:45+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49403674	-121.4938348	48.49403674	-121.4938348		FALSE	FALSE			45.33			2021/04/13 01:57:47+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49405434	-121.4938342	48.49405434	-121.4938342		FALSE	FALSE			49.62			2021/04/13 01:57:50+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49405375	-121.4938374	48.49405375	-121.4938374		FALSE	FALSE			53.42			2021/04/13 01:57:53+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49405468	-121.4938331	48.49405468	-121.4938331		FALSE	FALSE			56.73			2021/04/13 01:57:56+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:57		
TRACK	Current Track: 24 FEB 2021 08:51	T25174	48.49406121	-121.4938281	48.49406121	-121.4938281		FALSE	FALSE			61.46			2021/04/13 01:58:00+00	garmin GPSMAP 64st Software Version 500		4/12/2021 18:58		
