type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874572791	-121.6488640755	48.4874572791	-121.6488640755		True	True			73.96			2021/09/21 18:11:25+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:11:25		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874640685	-121.6488894727	48.4874640685	-121.6488894727		False	False			74.91			2021/09/21 18:11:31+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:11:31		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874708578	-121.6488711163	48.4874708578	-121.6488711163		False	False			74.31			2021/09/21 18:11:36+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:11:36		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874644037	-121.6488451324	48.4874644037	-121.6488451324		False	False			72.96			2021/09/21 18:11:41+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:11:41		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874696005	-121.6488245968	48.4874696005	-121.6488245968		False	False			72.23			2021/09/21 18:11:46+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:11:46		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874704387	-121.6487802565	48.4874704387	-121.6487802565		False	False			72.01			2021/09/21 18:11:51+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:11:51		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874760546	-121.6487449687	48.4874760546	-121.6487449687		False	False			71.09			2021/09/21 18:11:56+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:11:56		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.487481419	-121.6487168055	48.487481419	-121.6487168055		False	False			70.72			2021/09/21 18:12:01+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:12:01		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874817543	-121.6487636603	48.4874817543	-121.6487636603		False	False			71.58			2021/09/21 18:12:06+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:12:06		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.4874767251	-121.648782352	48.4874767251	-121.648782352		False	False			70.64			2021/09/21 18:12:11+00	garmin GPSMAP 64x Software Version 230		2021/09/21 11:12:11		
