type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86857862	-122.2136111	47.86857862	-122.2136111		FALSE	TRUE			109.2			2021/04/14 19:23:03+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:03		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86855641	-122.2136111	47.86855641	-122.2136111		FALSE	FALSE			109.74			2021/04/14 19:23:08+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:08		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86855088	-122.2136384	47.86855088	-122.2136384		FALSE	FALSE			112.03			2021/04/14 19:23:13+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:13		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86854719	-122.2136617	47.86854719	-122.2136617		FALSE	FALSE			113.71			2021/04/14 19:23:18+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:18		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86854685	-122.213681	47.86854685	-122.213681		FALSE	FALSE			115.13			2021/04/14 19:23:23+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:23		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86854752	-122.2137008	47.86854752	-122.2137008		FALSE	FALSE			115.93			2021/04/14 19:23:28+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:28		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86855155	-122.2137265	47.86855155	-122.2137265		FALSE	FALSE			116.37			2021/04/14 19:23:33+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:33		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86855683	-122.2137518	47.86855683	-122.2137518		FALSE	FALSE			116.71			2021/04/14 19:23:38+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:38		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86855716	-122.2137614	47.86855716	-122.2137614		FALSE	FALSE			116.98			2021/04/14 19:23:43+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:43		
TRACK	Current Track: 27 FEB 2021 09:50	T27055	47.86855515	-122.2137522	47.86855515	-122.2137522		FALSE	FALSE			117.12			2021/04/14 19:23:48+00	garmin GPSMAP 64st Software Version 500		4/14/2021 12:23:48		
