type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808679298	-121.5874585882	48.4808679298	-121.5874585882		False	False			96.97			2021/06/09 21:39:11+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:39:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808471426	-121.5874947142	48.4808471426	-121.5874947142		False	False			98.97			2021/06/09 21:39:26+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:39:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808281995	-121.5876809601	48.4808281995	-121.5876809601		False	False			68.9			2021/06/09 21:39:41+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:39:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808414429	-121.5876815468	48.4808414429	-121.5876815468		False	False			70.44			2021/06/09 21:39:58+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:39:58		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808779042	-121.5876914375	48.4808779042	-121.5876914375		False	False			70.6			2021/06/09 21:40:10+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:40:10		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808732942	-121.5876996517	48.4808732942	-121.5876996517		False	False			70.04			2021/06/09 21:40:28+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:40:28		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808597155	-121.5876916889	48.4808597155	-121.5876916889		False	False			69.47			2021/06/09 21:40:43+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:40:43		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808494058	-121.5877111349	48.4808494058	-121.5877111349		False	False			68.38			2021/06/09 21:40:56+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:40:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480827529	-121.5877111349	48.480827529	-121.5877111349		False	False			67.58			2021/06/09 21:41:11+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:41:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480809005	-121.5877116378	48.480809005	-121.5877116378		False	False			65.29			2021/06/09 21:41:29+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:41:29		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807917383	-121.5877240431	48.4807917383	-121.5877240431		False	False			62.38			2021/06/09 21:41:44+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:41:44		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807988629	-121.5877358615	48.4807988629	-121.5877358615		False	False			60.93			2021/06/09 21:42:00+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:42:00		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807902295	-121.5877083689	48.4807902295	-121.5877083689		False	False			62.39			2021/06/09 21:42:11+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:42:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4807878826	-121.5876889229	48.4807878826	-121.5876889229		False	False			61.64			2021/06/09 21:42:25+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:42:25		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808059037	-121.5876895934	48.4808059037	-121.5876895934		False	False			61.6			2021/06/09 21:42:41+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:42:41		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808259364	-121.5876926947	48.4808259364	-121.5876926947		False	False			61.58			2021/06/09 21:42:55+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:42:55		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808401018	-121.5876775235	48.4808401018	-121.5876775235		False	False			62.13			2021/06/09 21:43:13+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:43:13		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808428679	-121.5876547247	48.4808428679	-121.5876547247		False	False			63.4			2021/06/09 21:43:28+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:43:28		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808354918	-121.5876506176	48.4808354918	-121.5876506176		False	False			64.88			2021/06/09 21:43:44+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:43:44		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480841862	-121.5876523778	48.480841862	-121.5876523778		False	False			64.91			2021/06/09 21:43:59+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:43:59		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808468912	-121.5876384638	48.4808468912	-121.5876384638		False	False			64.77			2021/06/09 21:44:19+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:44:19		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808399342	-121.5876326803	48.4808399342	-121.5876326803		False	False			64.58			2021/06/09 21:44:39+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:44:39		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808555245	-121.587644415	48.4808555245	-121.587644415		False	False			64.86			2021/06/09 21:44:52+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:44:52		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808706958	-121.5876768529	48.4808706958	-121.5876768529		False	False			66.91			2021/06/09 21:45:09+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:45:09		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808577038	-121.5877197683	48.4808577038	-121.5877197683		False	False			71.24			2021/06/09 21:45:23+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:45:23		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808535129	-121.5877616778	48.4808535129	-121.5877616778		False	False			71.3			2021/06/09 21:45:40+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:45:40		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808307141	-121.587784728	48.4808307141	-121.587784728		False	False			72.03			2021/06/09 21:45:55+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:45:55		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808380064	-121.5877822973	48.4808380064	-121.5877822973		False	False			71.15			2021/06/09 21:46:10+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:46:10		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808139503	-121.5877612587	48.4808139503	-121.5877612587		False	False			72.74			2021/06/09 21:46:28+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:46:28		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808100108	-121.5877663717	48.4808100108	-121.5877663717		False	False			74.42			2021/06/09 21:46:50+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:46:50		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808188118	-121.5877636895	48.4808188118	-121.5877636895		False	False			75.15			2021/06/09 21:47:03+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:47:03		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480833061	-121.5877537988	48.480833061	-121.5877537988		False	False			76.27			2021/06/09 21:47:19+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:47:19		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808426164	-121.5877331793	48.4808426164	-121.5877331793		False	False			76.2			2021/06/09 21:47:32+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:47:32		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808366653	-121.5876461752	48.4808366653	-121.5876461752		False	False			77.46			2021/06/09 21:47:49+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:47:49		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808619786	-121.5876703989	48.4808619786	-121.5876703989		False	False			76.76			2021/06/09 21:48:01+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:48:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808473103	-121.5876469295	48.4808473103	-121.5876469295		False	False			71.8			2021/06/09 21:48:13+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:48:13		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808516689	-121.5876292437	48.4808516689	-121.5876292437		False	False			69.95			2021/06/09 21:48:26+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:48:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4808742162	-121.58763838	48.4808742162	-121.58763838		False	False			68.79			2021/06/09 21:48:37+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:48:37		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4809092525	-121.5876377095	48.4809092525	-121.5876377095		False	False			69.91			2021/06/09 21:48:48+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:48:48		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4809623938	-121.5876823012	48.4809623938	-121.5876823012		False	False			72.42			2021/06/09 21:49:03+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:49:03		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.480963232	-121.5876913536	48.480963232	-121.5876913536		False	False			71.3			2021/06/09 21:49:17+00	garmin GPSMAP 64x Software Version 230		2021/06/09 14:49:17		
