type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861844033	-121.5904141311	48.4861844033	-121.5904141311		False	True			73.57			2021/08/17 17:31:59+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:31:59		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861883428	-121.5904158913	48.4861883428	-121.5904158913		False	False			75.25			2021/08/17 17:32:10+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:32:10		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861912765	-121.5904335771	48.4861912765	-121.5904335771		False	False			74.9			2021/08/17 17:32:21+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:32:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861824755	-121.5904444735	48.4861824755	-121.5904444735		False	False			73.8			2021/08/17 17:32:35+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:32:35		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861850739	-121.5904412884	48.4861850739	-121.5904412884		False	False			72.55			2021/08/17 17:32:48+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:32:48		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861856606	-121.5904367622	48.4861856606	-121.5904367622		False	False			72.07			2021/08/17 17:32:57+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:32:57		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861841518	-121.5904177353	48.4861841518	-121.5904177353		False	False			73.38			2021/08/17 17:33:08+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:33:08		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861939587	-121.5904003847	48.4861939587	-121.5904003847		False	False			75.59			2021/08/17 17:33:21+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:33:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861829784	-121.5903802682	48.4861829784	-121.5903802682		False	False			74.75			2021/08/17 17:33:35+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:33:35		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861795418	-121.590360906	48.4861795418	-121.590360906		False	False			73.33			2021/08/17 17:33:56+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:33:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861848224	-121.5903841238	48.4861848224	-121.5903841238		False	False			73.03			2021/08/17 17:34:14+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:34:14		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861843195	-121.5903798491	48.4861843195	-121.5903798491		False	False			73.12			2021/08/17 17:34:38+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:34:38		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861784521	-121.5903920867	48.4861784521	-121.5903920867		False	False			73.52			2021/08/17 17:35:03+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:35:03		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861879237	-121.5903880633	48.4861879237	-121.5903880633		False	False			74.33			2021/08/17 17:35:22+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:35:22		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861918632	-121.5903935954	48.4861918632	-121.5903935954		False	False			73.68			2021/08/17 17:35:48+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:35:48		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861946292	-121.5904133767	48.4861946292	-121.5904133767		False	False			74.06			2021/08/17 17:36:14+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:36:14		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861978982	-121.5904117841	48.4861978982	-121.5904117841		False	False			74.2			2021/08/17 17:36:38+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:36:38		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4862027597	-121.5904106107	48.4862027597	-121.5904106107		False	False			75.01			2021/08/17 17:36:57+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:36:57		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861958865	-121.5904182382	48.4861958865	-121.5904182382		False	False			73.15			2021/08/17 17:37:11+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:37:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4862088785	-121.5904092696	48.4862088785	-121.5904092696		False	False			73.56			2021/08/17 17:37:25+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:37:25		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4862065315	-121.590389153	48.4862065315	-121.590389153		False	False			71.75			2021/08/17 17:37:39+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:37:39		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4862046037	-121.5903852973	48.4862046037	-121.5903852973		False	False			68.05			2021/08/17 17:37:56+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:37:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861989878	-121.5903826989	48.4861989878	-121.5903826989		False	False			67.12			2021/08/17 17:38:15+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:38:15		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861877561	-121.59037943	48.4861877561	-121.59037943		False	False			65.86			2021/08/17 17:38:28+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:38:28		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861885943	-121.5903784242	48.4861885943	-121.5903784242		False	False			66.75			2021/08/17 17:38:45+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:38:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861792065	-121.5903635044	48.4861792065	-121.5903635044		False	False			67.78			2021/08/17 17:38:59+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:38:59		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.486122461	-121.5903443936	48.486122461	-121.5903443936		False	False			65.25			2021/08/17 17:39:16+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:39:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861489478	-121.5903434716	48.4861489478	-121.5903434716		False	False			65.6			2021/08/17 17:39:28+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:39:28		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861580003	-121.5903366823	48.4861580003	-121.5903366823		False	False			66.73			2021/08/17 17:39:45+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:39:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861578327	-121.5903419629	48.4861578327	-121.5903419629		False	False			65.85			2021/08/17 17:40:01+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:40:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861590061	-121.5903250314	48.4861590061	-121.5903250314		False	False			67.56			2021/08/17 17:40:17+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:40:17		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861776978	-121.5903347544	48.4861776978	-121.5903347544		False	False			68.15			2021/08/17 17:40:32+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:40:32		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861814696	-121.5903420467	48.4861814696	-121.5903420467		False	False			67.98			2021/08/17 17:40:46+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:40:46		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861707408	-121.5903318208	48.4861707408	-121.5903318208		False	False			68.84			2021/08/17 17:41:01+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:41:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861772787	-121.5903253667	48.4861772787	-121.5903253667		False	False			68.81			2021/08/17 17:41:12+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:41:12		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861745965	-121.5903088544	48.4861745965	-121.5903088544		False	False			68.87			2021/08/17 17:41:24+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:41:24		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.486150708	-121.5902782604	48.486150708	-121.5902782604		False	False			69.04			2021/08/17 17:41:37+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:41:37		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861534741	-121.5902674478	48.4861534741	-121.5902674478		False	False			68.62			2021/08/17 17:41:49+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:41:49		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861218743	-121.5902616642	48.4861218743	-121.5902616642		False	False			68.74			2021/08/17 17:42:01+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:42:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861280769	-121.5902776737	48.4861280769	-121.5902776737		False	False			67.91			2021/08/17 17:42:14+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:42:14		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861245565	-121.5902752429	48.4861245565	-121.5902752429		False	False			66.79			2021/08/17 17:42:26+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:42:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861236345	-121.5902773384	48.4861236345	-121.5902773384		False	False			66.17			2021/08/17 17:42:40+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:42:40		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861583356	-121.5902644303	48.4861583356	-121.5902644303		False	False			66.19			2021/08/17 17:42:56+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:42:56		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861628618	-121.5902167372	48.4861628618	-121.5902167372		False	False			65.71			2021/08/17 17:43:13+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:43:13		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861756023	-121.5902377758	48.4861756023	-121.5902377758		False	False			65.77			2021/08/17 17:43:26+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:43:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861818887	-121.5902545396	48.4861818887	-121.5902545396		False	False			65.54			2021/08/17 17:43:39+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:43:39		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.4861634485	-121.5902531985	48.4861634485	-121.5902531985		False	False			65.26			2021/08/17 17:43:51+00	garmin GPSMAP 64x Software Version 230		2021/08/17 10:43:51		
