type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159305204	-121.8796833325	48.5159305204	-121.8796833325		False	True			44.24			2021/08/16 19:11:43+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:11:43		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159160197	-121.8796654791	48.5159160197	-121.8796654791		False	False			40.65			2021/08/16 19:12:01+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:12:01		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159074701	-121.8796508946	48.5159074701	-121.8796508946		False	False			38.41			2021/08/16 19:12:16+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:12:16		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159140918	-121.8796309456	48.5159140918	-121.8796309456		False	False			39.48			2021/08/16 19:12:33+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:12:33		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159292631	-121.8796749506	48.5159292631	-121.8796749506		False	False			40.47			2021/08/16 19:12:50+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:12:50		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.515925575	-121.8796904571	48.515925575	-121.8796904571		False	False			40.14			2021/08/16 19:13:06+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:13:06		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159225576	-121.8796857633	48.5159225576	-121.8796857633		False	False			40.41			2021/08/16 19:13:19+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:13:19		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.515927922	-121.8796586897	48.515927922	-121.8796586897		False	False			39.75			2021/08/16 19:13:35+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:13:35		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159273352	-121.8796472065	48.5159273352	-121.8796472065		False	False			41.23			2021/08/16 19:13:51+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:13:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159451049	-121.879710909	48.5159451049	-121.879710909		False	False			39.96			2021/08/16 19:14:05+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:14:05		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159448534	-121.8796772975	48.5159448534	-121.8796772975		False	False			37.89			2021/08/16 19:14:20+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:14:20		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159408301	-121.8796354719	48.5159408301	-121.8796354719		False	False			35.82			2021/08/16 19:14:34+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:14:34		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5159400757	-121.8796164449	48.5159400757	-121.8796164449		False	False			33.34			2021/08/16 19:14:49+00	garmin GPSMAP 64x Software Version 230		2021/08/16 12:14:49		
