type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284343921	-121.747673722	48.5284343921	-121.747673722		False	True			71.9			2021/09/23 17:13:43+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:13:43		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284307878	-121.747676488	48.5284307878	-121.747676488		False	False			71.37			2021/09/23 17:13:49+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:13:49		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284236632	-121.7476765718	48.5284236632	-121.7476765718		False	False			71.66			2021/09/23 17:13:54+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:13:54		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284291953	-121.7476763204	48.5284291953	-121.7476763204		False	False			71.87			2021/09/23 17:13:59+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:13:59		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284327995	-121.7476761527	48.5284327995	-121.7476761527		False	False			71.71			2021/09/23 17:14:04+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:04		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284369066	-121.7476935871	48.5284369066	-121.7476935871		False	False			71.24			2021/09/23 17:14:09+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:09		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284345597	-121.7477176432	48.5284345597	-121.7477176432		False	False			70.79			2021/09/23 17:14:14+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:14		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284374095	-121.7477264442	48.5284374095	-121.7477264442		False	False			70.46			2021/09/23 17:14:19+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:19		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284320451	-121.7477251869	48.5284320451	-121.7477251869		False	False			70.31			2021/09/23 17:14:23+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:23		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284225736	-121.7477282044	48.5284225736	-121.7477282044		False	False			69.73			2021/09/23 17:14:29+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:29		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284277704	-121.7477352452	48.5284277704	-121.7477352452		False	False			69.11			2021/09/23 17:14:34+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:34		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284432769	-121.7477350775	48.5284432769	-121.7477350775		False	False			69.47			2021/09/23 17:14:39+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:39		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284593701	-121.7477449682	48.5284593701	-121.7477449682		False	False			68.5			2021/09/23 17:14:44+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:44		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284613818	-121.7477653362	48.5284613818	-121.7477653362		False	False			66.94			2021/09/23 17:14:49+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:49		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284540057	-121.7477868777	48.5284540057	-121.7477868777		False	False			64.84			2021/09/23 17:14:53+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:53		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284477193	-121.7478076648	48.5284477193	-121.7478076648		False	False			64.54			2021/09/23 17:14:59+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:14:59		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284450371	-121.7478300445	48.5284450371	-121.7478300445		False	False			64.33			2021/09/23 17:15:04+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:04		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5284025408	-121.7478395998	48.5284025408	-121.7478395998		False	False			66.5			2021/09/23 17:15:09+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:09		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.528383011	-121.7478450481	48.528383011	-121.7478450481		False	False			66.34			2021/09/23 17:15:14+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:14		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5283649061	-121.7478556093	48.5283649061	-121.7478556093		False	False			67.62			2021/09/23 17:15:19+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:19		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5283453763	-121.7478608899	48.5283453763	-121.7478608899		False	False			66.18			2021/09/23 17:15:24+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:24		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5283284448	-121.7478757259	48.5283284448	-121.7478757259		False	False			64.57			2021/09/23 17:15:29+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:29		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5283101723	-121.7478870414	48.5283101723	-121.7478870414		False	False			64.25			2021/09/23 17:15:34+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:34		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282944143	-121.7478960939	48.5282944143	-121.7478960939		False	False			62.45			2021/09/23 17:15:39+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:39		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282970965	-121.7479202338	48.5282970965	-121.7479202338		False	False			59.27			2021/09/23 17:15:44+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:44		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282914806	-121.7479459662	48.5282914806	-121.7479459662		False	False			56.6			2021/09/23 17:15:49+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:49		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5283015389	-121.7479804996	48.5283015389	-121.7479804996		False	False			54.85			2021/09/23 17:15:54+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:54		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282946657	-121.7480151169	48.5282946657	-121.7480151169		False	False			54.29			2021/09/23 17:15:59+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:15:59		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5283275228	-121.7480637319	48.5283275228	-121.7480637319		False	False			55.01			2021/09/23 17:16:04+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:04		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5283224098	-121.7480820883	48.5283224098	-121.7480820883		False	False			54.04			2021/09/23 17:16:09+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:09		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5283052269	-121.7480865307	48.5283052269	-121.7480865307		False	False			51.77			2021/09/23 17:16:14+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:14		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.52828159	-121.7480638996	48.52828159	-121.7480638996		False	False			52.46			2021/09/23 17:16:19+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:19		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282777343	-121.7480603792	48.5282777343	-121.7480603792		False	False			52.33			2021/09/23 17:16:23+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:23		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282793269	-121.7480813339	48.5282793269	-121.7480813339		False	False			52.39			2021/09/23 17:16:29+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:29		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282691848	-121.748103546	48.5282691848	-121.748103546		False	False			53.28			2021/09/23 17:16:34+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:34		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282722022	-121.748139672	48.5282722022	-121.748139672		False	False			53.96			2021/09/23 17:16:39+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:39		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282757226	-121.7481623869	48.5282757226	-121.7481623869		False	False			54.21			2021/09/23 17:16:44+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:44		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282719508	-121.748179486	48.5282719508	-121.748179486		False	False			54.83			2021/09/23 17:16:49+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:49		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282635689	-121.7481939867	48.5282635689	-121.7481939867		False	False			55.69			2021/09/23 17:16:54+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:54		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282487329	-121.748202201	48.5282487329	-121.748202201		False	False			56.58			2021/09/23 17:16:58+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:16:58		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282276105	-121.748202201	48.5282276105	-121.748202201		False	False			56.95			2021/09/23 17:17:04+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:04		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282377526	-121.7482239939	48.5282377526	-121.7482239939		False	False			55.65			2021/09/23 17:17:09+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:09		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.528234316	-121.748245284	48.528234316	-121.748245284		False	False			54.93			2021/09/23 17:17:14+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:14		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282230005	-121.7482715193	48.5282230005	-121.7482715193		False	False			54.82			2021/09/23 17:17:19+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:19		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282119364	-121.7482991796	48.5282119364	-121.7482991796		False	False			53.86			2021/09/23 17:17:24+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:24		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282128584	-121.7483325396	48.5282128584	-121.7483325396		False	False			52.68			2021/09/23 17:17:29+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:29		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5282062367	-121.7483612057	48.5282062367	-121.7483612057		False	False			52.21			2021/09/23 17:17:34+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:34		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281955078	-121.7484026123	48.5281955078	-121.7484026123		False	False			51.94			2021/09/23 17:17:39+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:39		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281913169	-121.7484443542	48.5281913169	-121.7484443542		False	False			52.58			2021/09/23 17:17:44+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:44		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281809233	-121.7484705057	48.5281809233	-121.7484705057		False	False			53.65			2021/09/23 17:17:49+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:49		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281655006	-121.7484853417	48.5281655006	-121.7484853417		False	False			55.01			2021/09/23 17:17:54+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:54		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.528145384	-121.7485103197	48.528145384	-121.7485103197		False	False			56.83			2021/09/23 17:17:59+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:17:59		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281342361	-121.7485289276	48.5281342361	-121.7485289276		False	False			56.51			2021/09/23 17:18:04+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:04		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281308834	-121.7485516425	48.5281308834	-121.7485516425		False	False			56.33			2021/09/23 17:18:09+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:09		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281196516	-121.7485627066	48.5281196516	-121.7485627066		False	False			56.45			2021/09/23 17:18:13+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:13		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281167179	-121.7485905346	48.5281167179	-121.7485905346		False	False			56.57			2021/09/23 17:18:19+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:19		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281209927	-121.7486204579	48.5281209927	-121.7486204579		False	False			57.08			2021/09/23 17:18:24+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:24		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281478148	-121.7486771196	48.5281478148	-121.7486771196		False	False			58.37			2021/09/23 17:18:29+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:29		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281447973	-121.7487090547	48.5281447973	-121.7487090547		False	False			58.43			2021/09/23 17:18:34+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:34		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281344038	-121.7487471923	48.5281344038	-121.7487471923		False	False			58.56			2021/09/23 17:18:39+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:39		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5281031393	-121.7487444263	48.5281031393	-121.7487444263		False	False			57.64			2021/09/23 17:18:44+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:44		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280854534	-121.7487453483	48.5280854534	-121.7487453483		False	False			58.31			2021/09/23 17:18:49+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:49		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280779097	-121.7487633694	48.5280779097	-121.7487633694		False	False			58.41			2021/09/23 17:18:53+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:53		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280696955	-121.7487894371	48.5280696955	-121.7487894371		False	False			57.6			2021/09/23 17:18:59+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:18:59		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280613974	-121.7488212045	48.5280613974	-121.7488212045		False	False			56.97			2021/09/23 17:19:04+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:04		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280647501	-121.748829335	48.5280647501	-121.748829335		False	False			56.02			2021/09/23 17:19:09+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:09		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280704498	-121.7488490324	48.5280704498	-121.7488490324		False	False			56.33			2021/09/23 17:19:14+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:14		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.52805092	-121.7488692328	48.52805092	-121.7488692328		False	False			55.96			2021/09/23 17:19:19+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:19		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280435439	-121.7488832306	48.5280435439	-121.7488832306		False	False			56.56			2021/09/23 17:19:24+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:24		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.528040275	-121.7488911934	48.528040275	-121.7488911934		False	False			57.03			2021/09/23 17:19:29+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:29		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280386824	-121.7489276547	48.5280386824	-121.7489276547		False	False			58.02			2021/09/23 17:19:33+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:33		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280278698	-121.7489549797	48.5280278698	-121.7489549797		False	False			57.82			2021/09/23 17:19:39+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:39		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280168895	-121.7489570752	48.5280168895	-121.7489570752		False	False			56.33			2021/09/23 17:19:44+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:44		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280206613	-121.7489493638	48.5280206613	-121.7489493638		False	False			54.57			2021/09/23 17:19:49+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:49		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280234274	-121.7489512078	48.5280234274	-121.7489512078		False	False			53.06			2021/09/23 17:19:54+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:54		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280190688	-121.7489603441	48.5280190688	-121.7489603441		False	False			52.25			2021/09/23 17:19:59+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:19:59		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280127823	-121.7489662115	48.5280127823	-121.7489662115		False	False			52.02			2021/09/23 17:20:04+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:04		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.528005071	-121.7489724979	48.528005071	-121.7489724979		False	False			52.5			2021/09/23 17:20:09+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:09		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5280007962	-121.7489667144	48.5280007962	-121.7489667144		False	False			52.22			2021/09/23 17:20:14+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:14		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.527988391	-121.7489628587	48.527988391	-121.7489628587		False	False			52.29			2021/09/23 17:20:19+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:19		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5279824398	-121.7489624396	48.5279824398	-121.7489624396		False	False			51.43			2021/09/23 17:20:23+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:23		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5279851221	-121.7489907704	48.5279851221	-121.7489907704		False	False			51.18			2021/09/23 17:20:29+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:29		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5279895645	-121.7490101326	48.5279895645	-121.7490101326		False	False			50.79			2021/09/23 17:20:34+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:34		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5279876366	-121.7490325123	48.5279876366	-121.7490325123		False	False			50.23			2021/09/23 17:20:39+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:39		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5279779136	-121.7490482703	48.5279779136	-121.7490482703		False	False			50.64			2021/09/23 17:20:44+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:44		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.527952265	-121.7490791157	48.527952265	-121.7490791157		False	False			51.85			2021/09/23 17:20:49+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:49		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5279492475	-121.7491050996	48.5279492475	-121.7491050996		False	False			51.89			2021/09/23 17:20:54+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:54		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5279477388	-121.7491329275	48.5279477388	-121.7491329275		False	False			51.72			2021/09/23 17:20:59+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:20:59		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5279451404	-121.7491579056	48.5279451404	-121.7491579056		False	False			53.13			2021/09/23 17:21:04+00	garmin GPSMAP 64x Software Version 230		2021/09/23 10:21:04		
