type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130792484	-121.7099926248	48.5130792484	-121.7099926248		False	True			62.96			2021/10/18 18:34:35+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:34:35		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130793322	-121.7099860869	48.5130793322	-121.7099860869		False	False			62.96			2021/10/18 18:34:40+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:34:40		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130708665	-121.7099596001	48.5130708665	-121.7099596001		False	False			62.46			2021/10/18 18:34:45+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:34:45		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130691063	-121.7099438421	48.5130691063	-121.7099438421		False	False			61.44			2021/10/18 18:34:50+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:34:50		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130758118	-121.7099367175	48.5130758118	-121.7099367175		False	False			60.36			2021/10/18 18:34:55+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:34:55		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130827688	-121.7099370528	48.5130827688	-121.7099370528		False	False			59.66			2021/10/18 18:35:00+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:00		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130879655	-121.7099342868	48.5130879655	-121.7099342868		False	False			60.16			2021/10/18 18:35:05+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:05		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130918212	-121.70992909	48.5130918212	-121.70992909		False	False			60.24			2021/10/18 18:35:10+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:10		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130959284	-121.7099236418	48.5130959284	-121.7099236418		False	False			60.13			2021/10/18 18:35:15+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:15		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130991973	-121.7099196184	48.5130991973	-121.7099196184		False	False			59.96			2021/10/18 18:35:20+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:20		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.513100706	-121.7099189479	48.513100706	-121.7099189479		False	False			60.02			2021/10/18 18:35:25+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:25		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130992811	-121.7099231388	48.5130992811	-121.7099231388		False	False			59.93			2021/10/18 18:35:30+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:30		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130952578	-121.7099210434	48.5130952578	-121.7099210434		False	False			60.47			2021/10/18 18:35:34+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:34		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130853672	-121.7099148408	48.5130853672	-121.7099148408		False	False			61.17			2021/10/18 18:35:40+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:40		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130884685	-121.709913332	48.5130884685	-121.709913332		False	False			61.57			2021/10/18 18:35:45+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:45		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5130972695	-121.7099025194	48.5130972695	-121.7099025194		False	False			62.08			2021/10/18 18:35:50+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:50		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5131089203	-121.7098944727	48.5131089203	-121.7098944727		False	False			62.68			2021/10/18 18:35:55+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:35:55		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5131195653	-121.7098926287	48.5131195653	-121.7098926287		False	False			62.83			2021/10/18 18:36:00+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:36:00		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5131284501	-121.7098848335	48.5131284501	-121.7098848335		False	False			63.13			2021/10/18 18:36:05+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:36:05		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5131281987	-121.7099010944	48.5131281987	-121.7099010944		False	False			64.56			2021/10/18 18:36:09+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:36:09		
TRACK	Current Track: 21 SEP 2021 11:11	T1	48.5131281987	-121.7099089734	48.5131281987	-121.7099089734		False	False			64.37			2021/10/18 18:36:15+00	garmin GPSMAP 64x Software Version 230		2021/10/18 11:36:15		
