agency_cd	site_no	datetime	tz_cd	151374_00060	151374_00060_cd	151375_00065	151375_00065_cd	151376_00010	151376_00010_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	12181000	2021-04-01 00:00	PDT	5060	A	3.79	A	4.8	A
USGS	12181000	2021-04-01 00:05	PDT	5190	A	3.83	A		
USGS	12181000	2021-04-01 00:10	PDT	5060	A	3.79	A		
USGS	12181000	2021-04-01 00:15	PDT	4900	A	3.74	A	4.7	A
USGS	12181000	2021-04-01 00:20	PDT	5060	A	3.79	A		
USGS	12181000	2021-04-01 00:25	PDT	4900	A	3.74	A		
USGS	12181000	2021-04-01 00:30	PDT	4740	A	3.69	A	4.7	A
USGS	12181000	2021-04-01 00:35	PDT	4900	A	3.74	A		
USGS	12181000	2021-04-01 00:40	PDT	4740	A	3.69	A		
USGS	12181000	2021-04-01 00:45	PDT	4520	A	3.62	A	4.7	A
USGS	12181000	2021-04-01 00:50	PDT	4740	A	3.69	A		
USGS	12181000	2021-04-01 00:55	PDT	4520	A	3.62	A		
USGS	12181000	2021-04-01 01:00	PDT	4360	A	3.57	A	4.7	A
USGS	12181000	2021-04-01 01:05	PDT	4520	A	3.62	A		
USGS	12181000	2021-04-01 01:10	PDT	4360	A	3.57	A		
USGS	12181000	2021-04-01 01:15	PDT	4180	A	3.51	A	4.7	A
USGS	12181000	2021-04-01 01:20	PDT	4360	A	3.57	A		
USGS	12181000	2021-04-01 01:25	PDT	4180	A	3.51	A		
USGS	12181000	2021-04-01 01:30	PDT	4000	A	3.45	A	4.6	A
USGS	12181000	2021-04-01 01:35	PDT	4180	A	3.51	A		
USGS	12181000	2021-04-01 01:40	PDT	4000	A	3.45	A		
USGS	12181000	2021-04-01 01:45	PDT	3880	A	3.41	A	4.6	A
USGS	12181000	2021-04-01 01:50	PDT	4000	A	3.45	A		
USGS	12181000	2021-04-01 01:55	PDT	3880	A	3.41	A		
USGS	12181000	2021-04-01 02:00	PDT	3760	A	3.37	A	4.6	A
USGS	12181000	2021-04-01 02:05	PDT	3880	A	3.41	A		
USGS	12181000	2021-04-01 02:10	PDT	3760	A	3.37	A		
USGS	12181000	2021-04-01 02:15	PDT	3710	A	3.35	A	4.6	A
USGS	12181000	2021-04-01 02:20	PDT	3760	A	3.37	A		
USGS	12181000	2021-04-01 02:25	PDT	3710	A	3.35	A		
USGS	12181000	2021-04-01 02:30	PDT	3680	A	3.34	A	4.6	A
USGS	12181000	2021-04-01 02:35	PDT	3710	A	3.35	A		
USGS	12181000	2021-04-01 02:40	PDT	3680	A	3.34	A		
USGS	12181000	2021-04-01 02:45	PDT	3650	A	3.33	A	4.6	A
USGS	12181000	2021-04-01 02:50	PDT	3680	A	3.34	A		
USGS	12181000	2021-04-01 02:55	PDT	3650	A	3.33	A		
USGS	12181000	2021-04-01 03:00	PDT	3650	A	3.33	A	4.6	A
USGS	12181000	2021-04-01 03:05	PDT	3650	A	3.33	A		
USGS	12181000	2021-04-01 03:10	PDT	3650	A	3.33	A		
USGS	12181000	2021-04-01 03:15	PDT	3620	A	3.32	A	4.6	A
USGS	12181000	2021-04-01 03:20	PDT	3650	A	3.33	A		
USGS	12181000	2021-04-01 03:25	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 03:30	PDT	3620	A	3.32	A	4.6	A
USGS	12181000	2021-04-01 03:35	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 03:40	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 03:45	PDT	3620	A	3.32	A	4.6	A
USGS	12181000	2021-04-01 03:50	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 03:55	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 04:00	PDT	3620	A	3.32	A	4.6	A
USGS	12181000	2021-04-01 04:05	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 04:10	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 04:15	PDT	3650	A	3.33	A	4.6	A
USGS	12181000	2021-04-01 04:20	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 04:25	PDT	3650	A	3.33	A		
USGS	12181000	2021-04-01 04:30	PDT	3680	A	3.34	A	4.6	A
USGS	12181000	2021-04-01 04:35	PDT	3650	A	3.33	A		
USGS	12181000	2021-04-01 04:40	PDT	3680	A	3.34	A		
USGS	12181000	2021-04-01 04:45	PDT	3620	A	3.32	A	4.6	A
USGS	12181000	2021-04-01 04:50	PDT	3680	A	3.34	A		
USGS	12181000	2021-04-01 04:55	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 05:00	PDT	3620	A	3.32	A	4.6	A
USGS	12181000	2021-04-01 05:05	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 05:10	PDT	3620	A	3.32	A		
USGS	12181000	2021-04-01 05:15	PDT	3650	A	3.33	A	4.5	A
